numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
7391817556443117,23052024,Artigo Publicado,Determinação de Modelos Discretos para uma Planta Didática de Monitoração e Controle de Fluxo Comparando Estimadores Recursivos,2014.0,,,,Engevista (UFF),,,"Brehme D'napoli Reis de Mesquita (DE MESQUITA, B. D. R.), Rejane de Barros Araújo (ARAUJO, R. B.)"
7391817556443117,23052024,Artigo Publicado,Estimation and Attitude Control in CONASAT's Nominal Operation Mode: An Approach for SDRE Filter and PID Control,2017.0,,,,IEEE Latin America Transactions,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Hélio Koiti Kuga (KUGA, H. K.), Valdemir Carrara (CARRARA, V.)"
7391817556443117,23052024,Artigo Publicado,SBA Jovem - Student Chapter of the Brazilian Automation Society: A New Approach in the Education of Control Engineering in Brazil,2011.0,,,,IFAC-PAPERSONLINE,,,"DE FREITAS, CLÁUDIO C.S. (DE FREITAS, CLÁUDIO C.S.), PEREIRA, CARLOS E. (PEREIRA, CARLOS E.), FARIAS, VALCIR J.C. (FARIAS, VALCIR J.C.), SOUSA, CASSIO M. (SOUSA, CASSIO M.), Brehme D'napoli Reis de Mesquita (DE MESQUITA, BREHME D.R.)"
7391817556443117,23052024,Artigo Publicado,Controle lógico de processo industrial virtualizado por meio de simulação hardware-in-the-loop para o ensino de controlador lógico programável,2023.0,,,,REVISTA DE ENGENHARIA E TECNOLOGIA,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.)"
7391817556443117,23052024,Artigo Publicado,Proposing Robotics Challenge Centered on Material Transportation in Smart Manufacturing,2023.0,,,,"WORLD ACADEMY OF SCIENCE, ENGINEERING AND TECHNOLOGY",,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Marcus Vinicius de Souza Almeida (ALMEIDA, M. V. S.), Caio Vinícius Silva do Carmo (CARMO, C. V. S.)"
7391817556443117,23052024,Artigo Publicado,Aplicação e Análise de Algoritmo de Auto-Sintonia Embarcado em Controlador Lógico Programável no Controle Angular de Posição,2016.0,,,,Revista de Engenharia e Tecnologia,,,"Brehme D'napoli Reis de Mesquita (DE MESQUITA, B. D. R.), Agesandro Caetano Corrêa (CORREA, A. C.)"
4370694807878074,4022024,Artigo Publicado,"CuO Nanoparticles as An Efficient Heterogeneous Catalyst for the 1,3-Dipolar Cycloaddition of Dicarbonyl Compounds to Azides",2018.0,,,,ChemistrySelect,,,"Cássio da Silva Dias (DA'S.'DIAS, CÁSSIO), DE'M.'LIMA, THIAGO (DE'M.'LIMA, THIAGO), LIMA, CAROLINA G. S. (LIMA, CAROLINA G. S.), ZUEKRMAN-SCHPECTOR, JULIO (ZUEKRMAN-SCHPECTOR, JULIO), SCHWAB, RICARDO S. (SCHWAB, RICARDO S.)"
4370694807878074,4022024,Artigo Publicado,Obtenção e Uso de Microemulsões Combustíveis de Óleo de Babaçu (Orbignya phalerata) em Motor do Ciclo Diesel,2014.0,,,,REVISTA DE QUÍMICA INDUSTRIAL,,,"Cássio da Silva Dias (DIAS, Cássio da Silva), Hilton Costa Louzeiro (LOUZEIRO, H. C.), Fernando Carvalho Silva (SILVA, F. C.), Adeilton Pereira Maciel (Maciel, A. P.)"
4370694807878074,4022024,Artigo Publicado,"4-(4-Acetyl-5-methyl-1 H</i> -1,2,3-triazol-1-yl)benzonitrile: crystal structure and Hirshfeld surface analysis",2018.0,,,,"ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS",,,"ZUKERMAN-SCHPECTOR, JULIO (ZUKERMAN-SCHPECTOR, JULIO), Cássio da Silva Dias (DIAS, CÁSSIO DA S.), SCHWAB, RICARDO S. (SCHWAB, RICARDO S.), JOTANI, MUKESH M. (JOTANI, MUKESH M.), TIEKINK, EDWARD R. T. (TIEKINK, EDWARD R. T.)"
4370694807878074,4022024,Artigo Publicado,The Development and Characterization of Babassu Oil Fuels Nanoemulsions (Attalea speciosa),2022.0,,,,REVISTA VIRTUAL DE QUÍMICA,,,"COSTA LOUZEIRO, HILTON (COSTA LOUZEIRO, HILTON), CARVALHO SILVA, FERNANDO (CARVALHO SILVA, FERNANDO), MARIA C. M. SANTOS, ANGELA (MARIA C. M. SANTOS, ANGELA), ROBERTO B. GOMES, PAULO (ROBERTO B. GOMES, PAULO), ALVES FONTENELE, MARIA (ALVES FONTENELE, MARIA), E. MOUCHREK FILHO, VICTOR (E. MOUCHREK FILHO, VICTOR), DERMONDES SOUZA, RÔMICY (DERMONDES SOUZA, RÔMICY), CANDIDA S. DE SANT?ANNA, MIKELE (CANDIDA S. DE SANT?ANNA, MIKELE), Cássio da Silva Dias (DA SILVA DIAS, CASSIO), PEREIRA MACIEL, ADEILTON (PEREIRA MACIEL, ADEILTON)"
4370694807878074,4022024,Artigo Publicado,Effect of fruit maturity on the composition of high-value components and biological activities of olives from newly developed cultivars,2023.0,,,,Arabian Journal of Chemistry,,,"ULLAH, SAMI (ULLAH, SAMI), ANWAR, FAROOQ (ANWAR, FAROOQ), REHMAN, MUHAMMAD FAYYAZ UR (REHMAN, MUHAMMAD FAYYAZ UR), QADIR, RAHMAN (QADIR, RAHMAN), ANSAR, MUHAMMAD RAMZAN (ANSAR, MUHAMMAD RAMZAN), ALI, HAYSSAM M. (ALI, HAYSSAM M.), MUSTAQEEM, MUHAMMAD (MUSTAQEEM, MUHAMMAD), Cássio da Silva Dias (DA SILVA DIAS, CÁSSIO)"
