numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3591530170527406,5122023,Artigo Publicado,A metodologia de escopo global MWSP aplicada no âmbito local para análise do estresse hidrológico no médio trecho da bacia do Ipojuca- PE: uma contribuição à temática da transposição do rio São Francisco,2011.0,,,,REVISTA BRASILEIRA DE GEOGRAFIA FÍSICA,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Artigo Publicado,Identificação das áreas susceptíveis a processos de desertificação no médio trecho da bacia do Ipojuca - PE através do mapeamento do estresse hídrico da vegetação e da estimativa do índice de aridez,2011.0,,,,REVISTA BRASILEIRA DE GEOGRAFIA FÍSICA,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Artigo Publicado,Water consumption irrigation for banana farming in edaphoclimatic conditions of the stream of Pontal basin in Semiarid of Pernambuco,2015.0,,,,Revista Brasileira de Geografia Física,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), ygor cristiano brito morais (MORAIS, Y. C. B.), Jadson Freire da Silva (SILVA, J. F.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Artigo Publicado,Space-Time Analysis of Environmental Changes and your Reflection on the Development of Phenological of Vegetation of Mangrove,2015.0,,,,JOURNAL OF AGRICULTURE AND ENVIRONMENTAL SCIENCES,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), josé lourenço soares brandão neto (BRANDAO NETO, J. L. S.), ygor cristiano brito morais (MORAIS, Y. C. B.)"
3591530170527406,5122023,Artigo Publicado,Estimativa do Estresse HidrolÃ³gico na Bacia HidrogrÃ¡fica do Riacho do Pontal-PE / Hydrological stress estimate in Pontal watershed-PE,2016.0,,,,Caderno de Geografia,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), MIRANDA, RODRIGO DE QUEIROGA (MIRANDA, RODRIGO DE QUEIROGA), FERREIRA, PEDRO DOS SANTOS (FERREIRA, PEDRO DOS SANTOS), GOMES, VIVIANE PEDROSO (GOMES, VIVIANE PEDROSO), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,5122023,Artigo Publicado,Climatic potential of pineapple fruit growing mapping in the micro region of Araripina - PE,2015.0,,,,Revista Brasileira de Geografia Física,,,"Jadson Freire da Silva (SILVA, J.F), Pedro dos Santos Ferreira (FERREIRA, P. S), Viviane Pedroso Gomes (GOMES, V. P), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.;ALVES-CAVALCANTI, E.R.;ALVES-CAVALCANTI, E.R.S.;SILVA, ELISABETH REGINA ALVES CAVALCANTI;SILVA, ELISABETH REGINA ALVES CAVALCANTI da;ELISABETH REGINA ALVES;ALVES, ELISABETH REGINA), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
3591530170527406,5122023,Artigo Publicado,PRESERVAÇÃO AMBIENTAL E NOVAS TECNOLOGIAS DE MONITORAMENTO AMBIENTAL: POTENCIAL DO SENSORIAMENTO REMOTO PARA AVALIAÇÃO DA DEGRADAÇÃO AMBIENTAL EM ZONAS ESTUARINAS,2017.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Artigo Publicado,"Avaliação dos impactos ambientais na Lagoa do Araçá, Recife, Pernambuco, Brasil",2018.0,,,,Acta Brasiliensis,,,"MELO, JOSÉ AUGUSTO SILVA (MELO, JOSÉ AUGUSTO SILVA), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), ASSIS, DANIELLA ROBERTA SILVA DE (ASSIS, DANIELLA ROBERTA SILVA DE)"
3591530170527406,5122023,Artigo Publicado,A transformação da natureza e as potencialidades do monitoramento ambiental na Lagoa Urbana Olho D&#146;Água-PE: os desafios da complexa relação entre desenvolvimento urbano e a conservação de ambientes naturais,2017.0,,,,GUAJU ¿ REVISTA BRASILEIRA DE DESENVOLVIMENTO TERRITORIAL SUSTENTÁVEL,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), DE SANTANA, SIDNEY HENRIQUE CAMPELO (DE SANTANA, SIDNEY HENRIQUE CAMPELO), MELO, JOSÉ GUSTAVO DA SILVA (MELO, JOSÉ GUSTAVO DA SILVA), MENDES, SANDRA MARIA (MENDES, SANDRA MARIA), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,5122023,Artigo Publicado,ANÁLISE DA TENDÊNCIA TEMPORAL DA PRECIPITAÇÃO PLUVIOMÉTRICA INTERANUAL E INTRA-ANUAL NO SEMIÁRIDO PERNAMBUCANO,2018.0,,,,Revista Brasileira de Climatologia,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D), Katarina Romenia Pinheiro Nascimento (NASCIMENTO, K. R. P.), SIDNEY HENRIQUE CAMPELO DE SANTANA (SANTANA, S. H. C.), WERÔNICA MEIRA DE SOUZA (SOUZA, W. M.), Valéria Sandra de Oliveira Costa (COSTA, V. S. O.)"
3591530170527406,5122023,Artigo Publicado,"USO DA DRAMATIZAÇÃO TEATRAL, COMO FERRAMENTA MOTIVADORA, PARA O ENSINO-APRENDIZAGEM NA DISCIPLINA DE GEOGRAFIA, NA MODALIDADE DE ENSINO DE JOVENS E ADULTOS",2018.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Mariana da Silva Melo (MELO, M. S.), daniella roberta silva de assis (ASSIS, D. R. S.)"
3591530170527406,5122023,Artigo Publicado,Identificação dos índices de vegetação com melhores respostas espectrais para a Mata Atlântica na cidade de São Paulo-SP,2018.0,,,,Journal of Environmental Analysis and Progress,,,"SANTANA, SIDNEY HENRIQUE CAMPELO DE (SANTANA, SIDNEY HENRIQUE CAMPELO DE), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), LAURENTINO, MARIA LUCIELLE SILVA (LAURENTINO, MARIA LUCIELLE SILVA), MELO, JOSÉ GUSTAVO DA SILVA (MELO, JOSÉ GUSTAVO DA SILVA), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,5122023,Artigo Publicado,"PERCEPÇÃO DE ESTUDANTES EM MEIO AMBIENTE SOBRE OS PROBLEMAS AMBIENTAIS, ALCÂNTARA-MA",2018.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), Mayara Danyelle Rodrigues de Oliveira (OLIVEIRA, M. D. R.), Francisca Carla Silva de Oliveira (OLIVEIRA, F. C. S.), José Gustavo da Silva Melo (MELO, J. G. S.)"
3591530170527406,5122023,Artigo Publicado,"ESCOLA-TERRITÓRIO: DINÂMICA NA RELAÇÃO DE PODER, POR MEIO DA CONSTRUÇÃO DA TERRITORIALIZAÇÃO DO ESPAÇO GEOGRÁFICO",2018.0,,,,REVISTA ENSINO DE GEOGRAFIA (RECIFE),,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), Lucas Soares da Silva (SILVA, L. S.), Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.)"
3591530170527406,5122023,Artigo Publicado,Análise espaço-temporal das características do mangue urbano no estuário do Pina (Pernambuco),2018.0,,,,Revista Brasileira de Meio Ambiente,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), daniella roberta silva de assis (ASSIS, D. R. S.), Jadson Freire da Silva (SILVA, J.F), José Gustavo da Silva Melo (MELO, J. G. S.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
