numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
5012476998883237,4032024,Artigo Publicado,Utilização de HoneySpots para Identificação de Tráfego Malicioso em Redes sem Fio,2011.0,,,,Revista Multidisciplinar - FAP Episteme,,,"Ariel Soares Teles (TELES, A. S.), Daniel Lima Sousa (SOUSA, D. L.)"
5012476998883237,4032024,Artigo Publicado,Autonomic Computing applied to Network Security: A Survey,2011.0,,,,Cyber Journals: Multidisciplinary Journals in Science and Technology,,,"Ariel Soares Teles (TELES, A. S.), Zair Abdelouahab (ABDELOUAHAB, Z.), Jean Pablo Marques Mendes (MENDES, J. P. M.)"
5012476998883237,4032024,Artigo Publicado,Enriching Mental Health Mobile Assessment and Intervention with Situation Awareness,2017.0,,,,Sensors (Basel),,,"Ariel Soares Teles (SOARES TELES, ARIEL), ROCHA, ARTUR (ROCHA, ARTUR), JOSÉ DA SILVA E SILVA, FRANCISCO (JOSÉ DA SILVA E SILVA, FRANCISCO), CORREIA LOPES, JOÃO (CORREIA LOPES, JOÃO), O?SULLIVAN, DONAL (O?SULLIVAN, DONAL), VAN DE VEN, PEPIJN (VAN DE VEN, PEPIJN), Markus Endler (ENDLER, Markus)"
5012476998883237,4032024,Artigo Publicado,Situation-based privacy autonomous management for mobile social networks,2017.0,,,,Computer Communications,,,"Ariel Soares Teles (Teles, Ariel Soares), SILVA E SILVA, FRANCISCO JOSÉ DA (SILVA E SILVA, FRANCISCO JOSÉ DA), Markus Endler (ENDLER, Markus)"
5012476998883237,4032024,Artigo Publicado,Quality of Context in a Indoor Navigation Infrastructure,2019.0,,,,JOURNAL OF CONVERGENCE INFORMATION TECHNOLOGY (GYEONGJU),,,"Tércio Santana Silva Sousa (SOUSA, T. S. S.), Samyr Béliche Vale (VALE, S. B.), Ariel Soares Teles (SOARES TELES, ARIEL), MARCELINO MENDES DA SILVA NETO (SILVA NETO, M. M.)"
5012476998883237,4032024,Artigo Publicado,Methylphenidate modifies activity in the prefrontal and parietal cortex accelerating the time judgment,2019.0,,,,NEUROLOGICAL SCIENCES,,,"FARIAS, TIAGO LOPES (FARIAS, TIAGO LOPES), VELASQUES, BRUNA (VELASQUES, BRUNA), CAGY, MAURICIO (CAGY, MAURICIO), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO), SILVA-JUNIOR, FERNANDO (SILVA-JUNIOR, FERNANDO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), MARINHO, VICTOR (MARINHO, VICTOR), CARVALHO, VALÉCIA (CARVALHO, VALÉCIA), ROCHA, KALINE (ROCHA, KALINE), DA SILVA, PAULO RAMILER ALVES (DA SILVA, PAULO RAMILER ALVES), SILVA, FRANCISCA (SILVA, FRANCISCA), Ariel Soares Teles (Teles, Ariel Soares), GUPTA, DAYA (GUPTA, DAYA), RIBEIRO, PEDRO (RIBEIRO, PEDRO)"
5012476998883237,4032024,Artigo Publicado,Kahoot: o uso de tecnologia digital para a aprendizagem de biologia celular no Ifma-Campus Barrerinhas,2019.0,,,,Brazilian Journal of Development,,,"Ariel Soares Teles (Teles, Ariel Soares), COSTA, LUIZ ROBERTO (COSTA, LUIZ ROBERTO), COSTA, BRUNO NUNES (COSTA, BRUNO NUNES), COSTA, BRENO NUNES (COSTA, BRENO NUNES), FERREIRA, JOCELINO SARDINHA (FERREIRA, JOCELINO SARDINHA), PEREIRA, MARIA CLARA RODRIGUES (PEREIRA, MARIA CLARA RODRIGUES), CARVALHO, MARIA ZULEIDE DA SILVA (CARVALHO, MARIA ZULEIDE DA SILVA), VALE, DANIELE FERREIRA (VALE, DANIELE FERREIRA)"
5012476998883237,4032024,Artigo Publicado,Avaliação do Google Sala de Aula como Ferramenta de Apoio ao Processo de Ensino-aprendizagem em um Curso de Licenciatura em Ciências Biológicas Presencial,2019.0,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"Jonatas Moraes Martins (MARTINS, J. M.), Ariel Soares Teles (SOARES TELES, ARIEL), Davi Viana dos Santos (SANTOS, D. V.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), LUCIANO REIS COUTINHO (COUTINHO, L. R.), Silmar Silva Teixeira (TEIXEIRA, S. S.)"
5012476998883237,4032024,Artigo Publicado,Objetos Digitais de Aprendizagem no Ensino de Física Básica: Um estudo de caso com simuladores virtuais em uma escola de ensino público estadual,2019.0,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"Arley de Oliveira Carvalho (CARVALHO, A. O.), Ariel Soares Teles (SOARES TELES, ARIEL), Davi Viana dos Santos (SANTOS, D. V.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), LUCIANO REIS COUTINHO (COUTINHO, L. R.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR)"
5012476998883237,4032024,Artigo Publicado,Multitaper-based method for automatic k-complex detection in human sleep EEG,2020.0,,,,EXPERT SYSTEMS WITH APPLICATIONS,,,"Gustavo Batista Santos Oliveira (OLIVEIRA, G. B. S.), LUCIANO REIS COUTINHO (COUTINHO, L. R.), Josenildo da Silva (SILVA, J.), Ivan Pereira Pinto (PINTO, I. P.), Júlia da Silva Ferreira (FERREIRA, J. S.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Davi Viana dos Santos (SANTOS, D. V.), Ariel Soares Teles (TELES, A. S.)"
