numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
326067842813408,25012024,Artigo Publicado,A crise eo resgate do pensamento de Keynes nas Finanças?,2010.0,,,,Informe Econômico (UFPI),,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.)"
326067842813408,25012024,Artigo Publicado,"RESENHA: stock markets crash: critical events in complex financial systems. Princeton: Princenton University Press, 2004.",2010.0,,,,REVISTA DA SOCIEDADE BRASILEIRA DE ECONOMIA POLÍTICA,,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.)"
326067842813408,25012024,Artigo Publicado,"Hipótese dos Mercados Eficientes vis à vis Incerteza, Convenção e Especulação",2011.0,,,,Pesquisa em Debate (São Paulo. 2004),,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), URPIA, A.G.B.C. (URPIA)"
326067842813408,25012024,Artigo Publicado,"Pattern of fluctuations in the exchange rate change from fixed to floating, in Brazil, Argentina and Mexico",2013.0,,,,Economics Bulletin,,,"Marcus Fernandes da Silva (SILVA, M. F.), Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), Idarai da Silva Santana (SANTANA, I. S.), Jose Garcia Vivas Miranda (MIRANDA, J. G. V.)"
326067842813408,25012024,Artigo Publicado,Quantifying cross-correlation between Ibovespa and Brazilian blue-chips: The DCCA approach,2015.0,,,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,"DA SILVA, MARCUS FERNANDES (DA SILVA, MARCUS FERNANDES), Eder Johnson de Area Leão Pereira (LEÃO PEREIRA, ÉDER JOHNSON DE AREA), DA SILVA FILHO, ALOISIO MACHADO (DA SILVA FILHO, ALOISIO MACHADO), NUNES DE CASTRO, ARLEYS PEREIRA (NUNES DE CASTRO, ARLEYS PEREIRA), MIRANDA, JOSÉ GARCIA VIVAS (MIRANDA, JOSÉ GARCIA VIVAS), ZEBENDE, GILNEY FIGUEIRA (ZEBENDE, GILNEY FIGUEIRA)"
326067842813408,25012024,Artigo Publicado,Quantifying the contagion effect of the 2008 financial crisis between the G7 countries (by GDP nominal),2016.0,,,,Physica. A (Print),,,"DA SILVA, MARCUS FERNANDES (DA SILVA, MARCUS FERNANDES), Eder Johnson de Area Leão Pereira (DE AREA LEÃO PEREIRA, ÉDER JOHNSON), DA SILVA FILHO, ALOISIO MACHADO (DA SILVA FILHO, ALOISIO MACHADO), DE CASTRO, ARLEYS PEREIRA NUNES (DE CASTRO, ARLEYS PEREIRA NUNES), MIRANDA, JOSÉ GARCIA VIVAS (MIRANDA, JOSÉ GARCIA VIVAS), ZEBENDE, GILNEY FIGUEIRA (ZEBENDE, GILNEY FIGUEIRA)"
326067842813408,25012024,Artigo Publicado,Econophysics: Past and present,2017.0,,,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,"Eder Johnson de Area Leão Pereira (DE AREA LEÃO PEREIRA, EDER JOHNSON), DA SILVA, MARCUS FERNANDES (DA SILVA, MARCUS FERNANDES), PEREIRA, H.B.B. (PEREIRA, H.B.B.)"
326067842813408,25012024,Artigo Publicado,Cross-correlation analysis on Brazilian gasoline retail market,2018.0,,,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,"NASCIMENTO FILHO, A.S. (NASCIMENTO FILHO, A.S.), Eder Johnson de Area Leão Pereira (PEREIRA, E.J.A.L.), FERREIRA, PAULO (FERREIRA, PAULO), MURARI, T.B. (MURARI, T.B.), MORET, M.A. (MORET, M.A.)"
326067842813408,25012024,Artigo Publicado,"Greenhouse Gases Emissions and Economic Performance of Livestock, an Environmental Input-Output Analysis",2018.0,,,,Revista de economia e sociologia rural,,,"RIBEIRO, LUIZ CARLOS DE SANTANA (RIBEIRO, LUIZ CARLOS DE SANTANA), Eder Johnson de Area Leão Pereira (Leão, Eder Johnson de Area), FREITAS, LÚCIO FLÁVIO DA SILVA (FREITAS, LÚCIO FLÁVIO DA SILVA)"
326067842813408,25012024,Artigo Publicado,Trump?s Effect on stock markets: A multiscale approach,2018.0,,,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,"Eder Johnson de Area Leão Pereira (DE AREA LEÃO PEREIRA, EDER JOHNSON), DA SILVA, MARCUS FERNANDES (DA SILVA, MARCUS FERNANDES), DA CUNHA LIMA, I.C. (DA CUNHA LIMA, I.C.), PEREIRA, H.B.B. (PEREIRA, H.B.B.)"
326067842813408,25012024,Artigo Publicado,Detrended correlation coefficients between oil and stock markets: The effect of the 2008 crisis,2019.0,,,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,"FERREIRA, PAULO (FERREIRA, PAULO), Eder Johnson de Area Leão Pereira (PEREIRA, ÉDER JOHSON DE AREA LEÃO), SILVA, MARCUS FERNANDES DA (SILVA, MARCUS FERNANDES DA), PEREIRA, HERNANE BORGES (PEREIRA, HERNANE BORGES)"
326067842813408,25012024,Artigo Publicado,The impact of the Brexit referendum on British and European Union bank shares: a cross-correlation analysis with national indices,2019.0,,,,ECONOMICS BULLETIN,,,"FERREIRA, PAULO (FERREIRA, PAULO), Eder Johnson de Area Leão Pereira (PEREIRA, ÉDER JOHSON DE AREA LEÃO)"
