numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1914277573314198,26032024,Artigo Publicado,PERSPECTIVAS DE UTILIZAÇÃO DA FLOR-DE-SEDA (Calotropis procera) NA PRODUÇÃO ANIMAL,2009.0,,,,Caatinga (Mossoró),,,"Roberto Germano Costa (COSTA, R. G.), ARIOSVALDO N. DE MEDEIROS (MEDEIROS, A. N.), Aldivan Rodrigues Alves (ALVES, A. R.), Geovergue Rodrigues de Medeiros (MEDEIROS, G.R.)"
1914277573314198,26032024,Artigo Publicado,CONSUMO E DIGESTIBILIDADE DO FENO DE SABIÁ POR CAPRINOS E OVINOS SUPLEMENTADOS COM POLIETILENOGLICOL,2011.0,,,,Revista Caatinga (UFERSA. Impresso),,,"Aldivan Rodrigues Alves (ALVES, A. R.), Patrícia Mendes Guimarães Beelen (Beelen, P. M. G.), ARIOSVALDO N. DE MEDEIROS (MEDEIROS, A. N.), SEVERINO GONZAGA NETO (GONZAGA NETO, S.), ROGER N. BEELEN (BEELEN, R. N.)"
1914277573314198,26032024,Artigo Publicado,Growth performance of native goats fed diets containing different levels of energy,2012.0,,,,Revista Brasileira de Zootecnia (Online),,,"Lígia Maria Gomes Barreto (Barreto, L.M.G.), ARIOSVALDO N. DE MEDEIROS (MEDEIROS, A. N.), Ângela Maria Vieira Batista (Batista, A.M.V.), Dermeval de Araújo Furtado (Furtado, D.A.), Gherman Garcia Leal de Araújo (Araújo, G.G.L.), Ana Cristina Chacon Lisboa (Lisboa, A.C.C.), Jória Leilane de Albuquerque Paulo (Paulo, J.L.A.), Aldivan Rodrigues Alves (ALVES, A. R.)"
1914277573314198,26032024,Artigo Publicado,Soybean meal or cotton by-products associated with urea as source of nitrogen in the diet of lactating goats,2013.0,,,,Revista Brasileira de Zootecnia (Online),,,"Aldivan Rodrigues Alves (ALVES, A. R.), Ariosvaldo Nunes de Medeiros (MEDEIROS, A. N.), OLIVEIRA, JULIANA SILVA DE (OLIVEIRA, JULIANA SILVA DE), ROBERTO GERMANO COSTA (COSTA, Roberto Germano), COSTA, MARCONE GERALDO (COSTA, MARCONE GERALDO), Queiroga, Rita de Cássia Ramos do Egypto (Queiroga, Rita de Cássia Ramos do Egypto), SOUZA, DARKLÊ LUIZA DE (SOUZA, DARKLÊ LUIZA DE)"
1914277573314198,26032024,Artigo Publicado,Efeito do estresse sobre a qualidade de produtos de origem animal,2016.0,,,,Pubvet (Londrina),,,"Aldivan Rodrigues Alves (ALVES, A. R.), Jalceyr Pessoa Figueiredo Júnior (FIGUEIREDO JUNIOR, J. P.), Marcelo Helder Medeiros Santana (SANTANA, M. H. M.), Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), Joyce Bitencourt Athayde Lima (LIMA, J. B. A.), LIDUÍNA DA SILVA PINTO (PINTO, L. S.), Leila de Medeiros Ribeiro (RIBEIRO, L. M.)"
1914277573314198,26032024,Artigo Publicado,"Fibra para ruminantes: Aspecto nutricional, metodológico e funcional",2016.0,,,,Pubvet (Londrina),,,"Aldivan Rodrigues Alves (ALVES, A.R.), Leonardo Augusto Fonseca Pascoal (PASCOAL, L. A. F.), Gabriela Brito Cambuí (CAMBUI, G. B.), Jaqueline da Silva Trajano (TRAJANO, J. S.), Claudete Maria da Silva (SILVA, C. M.), Glayciane Costa Gois (GOIS, G. C.)"
1914277573314198,26032024,Artigo Publicado,"CARACTERIZAÇÃO DO SISTEMA DE PRODUÇÃO CAPRINO E OVINO NA REGIÃO SUL DO ESTADO DO MARANHÃO, BRASIL",2017.0,,,,VETERINÁRIA E ZOOTECNIA (UNESP),,,"Aldivan Rodrigues Alves (ALVES, A.R.), Márcio Villela da Silva (SILVA, M. V.), Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), LIDUÍNA DA SILVA PINTO (PINTO, L. S.), DJONATA BRITO DE LIMA (LIMA, D. B.), LAILSON LUCAS LOPES LIMA (LIMA, L. L. L.)"
1914277573314198,26032024,Artigo Publicado,Ajuste dos níveis de energia e proteína e suas relações para galinhas poedeiras em diferentes condições térmicas,2018.0,,,,PUBVET (LONDRINA),,,"Marcelo Helder Medeiros Santana (SANTANA, M. H. M.), Edilson Paes Saraiva (SARAIVA, E. P.), Fernando Guilherme Perazzo Costa (COSTA, F. G. P.), Jalceyr Pessoa Figueiredo Júnior (FIGUEIREDO JUNIOR, J. P.), Ana Maria Medeiros de Albuquerque Santana (SANTANA, A. M. M. A.), Aldivan Rodrigues Alves (ALVES, A. R.)"
1914277573314198,26032024,Artigo Publicado,A CAATINGA E A OPORTUNIDADE DE MITIGAÇÃO DAS EMISSÕES DE GASES DE EFEITO ESTUFA PELA ATIVIDADE PASTORIL,2018.0,,,,RAMA : REVISTA EM AGRONEGÓCIO E MEIO AMBIENTE,,,"Aldivan Rodrigues Alves (ALVES, A.R.), Ariosvaldo Nunes de Medeiros (MEDEIROS, A. N.), Albericio Pereira de Andrade (ANDRADE, A. P.), Rosa T. S. Frighetto (FRIGHETTO, R. T. S.), Messias José dos Santos Silva (SILVA, M. J. S.)"
1914277573314198,26032024,Artigo Publicado,QUALIDADE DO LEITE DE CABRAS ALIMENTADAS COM QUIRERA DE ARROZ (Oryza sativa L.),2020.0,,,,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,,,"Rodrigo Maciel Calvet (CALVET, R. M.), Maria da Penha Silva do Nascimento (NASCIMENTO, M. P. S.), Bruno Kaik Alves (ALVES, B. K.), Joyce Bitencourt Athayde Lima (LIMA, J. B. A.), Maria Christina Sanches Muratori (MURATORI, M. C. S.), Maria Marlúcia Gomes Pereira  Nóbrega (NOBREGA, M. M. G. P.), Aline Marques Monte (MONTE, A. M.), Aldivan Rodrigues Alves (ALVES, A.R.)"
1914277573314198,26032024,Artigo Publicado,PROMOÇÃO DO DESENVOLVIMENTO DE Desmanthus virgatus L. WILLD POR AÇÃO DE RIZÓBIOS,2020.0,,,,RAMA - Revista em Agronegócio e Meio Ambiente,,,"Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), EDVANIA DA CONCEIÇÃO SARMENTO (SARMENTO, E. C.), Aldivan Rodrigues Alves (ALVES, A.R.), Liliane Pereira Santana (SANTANA, L. P.), Régia Maria Reis GUALTER (GUALTER, R. M. R.)"
1914277573314198,26032024,Artigo Publicado,Diagnóstico bioclimático para animais de produção na região dos Cocais-MA,2021.0,,,,Brazilian Journal of Development,,,"Aldivan Rodrigues Alves (ALVES, A.R.), Airla da Costa Silva (SILVA, A. C.), Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), Joyce Bitencourt Athayde Lima (LIMA, J. B. A.), LIDUÍNA DA SILVA PINTO (PINTO, L. S.)"
1914277573314198,26032024,Artigo Publicado,A fluência leitora no Ensino Fundamental,2022.0,,,,CONJECTURAS,,,"PINTO, LIDUÍNA DA SILVA (PINTO, LIDUÍNA DA SILVA), SILVA, DERILENE PEREIRA DA (SILVA, DERILENE PEREIRA DA), Aldivan Rodrigues Alves (RODRIGUES ALVES, ALDIVAN), SILVA, JOSEANE MAIA SANTOS (SILVA, JOSEANE MAIA SANTOS)"
1914277573314198,26032024,Artigo Publicado,Inter-relações do ensino integral com ensino integrado no curso técnico de agropecuária,2022.0,,,,CONJECTURAS,,,"CRUZ, JUCILENE MARCIA RAMEIRO DE ARAÚJO (CRUZ, JUCILENE MARCIA RAMEIRO DE ARAÚJO), Aldivan Rodrigues Alves (Alves, Aldivan Rodrigues), OLIVEIRA, JOSIANE SOUSA COSTA DE (OLIVEIRA, JOSIANE SOUSA COSTA DE), PINTO, LIDUÍNA DA SILVA (PINTO, LIDUÍNA DA SILVA)"
1914277573314198,26032024,Artigo Publicado,Consumo e Digestibilidade de Cabras Leiteiras Suplementadas com Diferentes Óleos Vegetais,2012.0,,,,Revista Científica de Produção Animal,,,"DARKLÊ LUIZA DE SOUZA (SOUZA, D.L.), QUEIROGA, R.C.R.E. (QUEIROGA, R.C.R.E.), MEDEIROS, A.N. (MEDEIROS, A.N.), BOMFIM, M.A.D. (BOMFIM, M.A.D.), ARAÚJO, M.J. (ARAÚJO, M.J.), Aldivan Rodrigues Alves (ALVES, A.R.), SILVA JÚNIOR, C.G. (SILVA JÚNIOR, C.G.)"
7596690339462078,15032024,Artigo Publicado,A literatura de cordel como metodologia ativa no ensino e aprendizagem de Química,2021.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"Antonia Carliane Sousa Oliveira (OLIVEIRA, A. C. S.), Joniery Rubim de Souza (SOUZA, J. R.), Karine da Silva Almeida (ALMEIDA, K. S.), Bruna Martina Araújo da Silva (SILVA, B. M. A.), Ana Júlia Rêgo Vieira da Luz (VIEIRA, Ana Júlia Rêgo)"
7596690339462078,15032024,Artigo Publicado,Educação popular Rompendo barreiras educacionais,2022.0,,,,Formação em Movimento,,,"Alessandra Fonseca Farias (FARIAS, A. F.), Vanessa Xavier Silva Sousa Gomes (GOMES, V. X. S. S.), Ana Júlia Rêgo Vieira da Luz (VIEIRA, Ana Júlia Rêgo)"
