numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
9782653543954493,30052024,Artigo Publicado,Influence of Waste Glass on the Physical Properties of Portland Cement Concrete,2014.0,,,,Materials Science Forum (Online),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, E.J.P.), PAIVA, A.E.M. (PAIVA, A.E.M.), RODRIGUES, ERMERSON NEY LEITE (RODRIGUES, ERMERSON NEY LEITE)"
9782653543954493,30052024,Artigo Publicado,Increasing the compressive strength of Portland cement concrete using flat glass powder,2014.0,,,,Materials Research (São Carlos. Impresso),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, EDSON JANSEN PEDROSA DE), BEZERRA, HELTON DE JESUS COSTA LEITE (BEZERRA, HELTON DE JESUS COSTA LEITE), POLITI, FLÁVIO SALGADO (POLITI, FLÁVIO SALGADO), PAIVA, ANTÔNIO ERNANDES MACÊDO (PAIVA, ANTÔNIO ERNANDES MACÊDO)"
9782653543954493,30052024,Artigo Publicado,Determinação Experimental do Coeficiente de Transferência de Calor por Convecção,2016.0,,,,Ifes Ciência,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Rubens Soeiro Gonçalves (GONCALVES, R. S.)"
9782653543954493,30052024,Artigo Publicado,Effect of Flat Glass Powder on the Slump Test and Microstructure of Portland Cement Concrete,2016.0,,,,Materials Science Forum (Online),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., E.J.P.), PAIVA, A.E.M. (PAIVA, A.E.M.)"
9782653543954493,30052024,Artigo Publicado,Influence of Particle Size and Soak Conditions of the Species Simarouba amara</i> on Cement-Wood Composites,2016.0,,,,Materials Science Forum (Online),,,"BEZERRA, H.J.C.L. (BEZERRA, H.J.C.L.), PEREIRA, S.J. (PEREIRA, S.J.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., E.J.P.), PAIVA, A.E.M. (PAIVA, A.E.M.), POLITI, F.S. (POLITI, F.S.)"
9782653543954493,30052024,Artigo Publicado,Elastic Wave Band Gaps in a Two-Dimensional Magnetoelectroelastic Phononic Crystal,2016.0,,,,Revista Interdisciplinar de Pesquisa em Engenharia - RIPE,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), José Maria Campos dos Santos (DOS SANTOS, J. M. C.)"
9782653543954493,30052024,Artigo Publicado,Comparative Study on Plasma Nitriding in Cathodic Cage with Conventional Nitriding of the Austenitic Stainless Steel 316,2017.0,,,,International Journal of Current Research,,,"Marcelo Caethano Souza Cabeça (CABECA, M. C. S.), Samuel Filgueiras Rodrigues (RODRIGUES, S. F.), André Silva Neto (SILVA NETO, A.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Gedeon Silva Reis (REIS, G. S.), Antônio Maia de Oliveira (OLIVEIRA, A. M.)"
9782653543954493,30052024,Artigo Publicado,Band Structure in Carbon Nanostructure Phononic Crystals,2017.0,,,,Materials Research-Ibero-american Journal of Materials,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, EDSON JANSEN PEDROSA DE), SANTOS, JOSÉ MARIA CAMPOS DOS (SANTOS, JOSÉ MARIA CAMPOS DOS)"
9782653543954493,30052024,Artigo Publicado,Flexural Wave Band Gaps in Phononic Crystal Euler-Bernoulli Beams Using Wave Finite Element and Plane Wave Expansion Methods,2018.0,,,,MATERIALS RESEARCH,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN PEDROSA DE), SANTOS, JOSÉ MARIA CAMPOS DOS (SANTOS, JOSÉ MARIA CAMPOS DOS)"
9782653543954493,30052024,Artigo Publicado,Phononic Band Gaps in Al2</sub>O3</sub>/Epoxy Composite,2018.0,,,,MATERIALS SCIENCE FORUM (ONLINE),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN PEDROSA), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)"
9782653543954493,30052024,Artigo Publicado,Complete Band Gaps in Nano-Piezoelectric Phononic Crystals,2017.0,,,,Materials Research-Ibero-american Journal of Materials,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN PEDROSA DE), SANTOS, JOSÉ MARIA CAMPOS DOS (SANTOS, JOSÉ MARIA CAMPOS DOS)"
9782653543954493,30052024,Artigo Publicado,Evanescent Bloch waves and complex band structure in magnetoelectroelastic phononic crystals,2018.0,,,,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,,"Edson Jansen Pedrosa de Miranda Júnior (Miranda Jr., E. J. P.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)"
