numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3256976076328080,16042022,Artigo Publicado,"Características de carcaças de bovinos Nelore comercial inteiros e castrados, criados em pastagens e abatidos em duas idades diferentes",2007.0,,,,Boletim de Indústria Animal,,,"André Mantegazza Camargo (CAMARGO, André Mantegazza), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Bruno Fillipe de Souza Lima e Silva (SILVA, Bruno Fillipe de Souza Lima e), Gustavo Rios Poletto (POLETTO, Gustavo Rios)"
3256976076328080,16042022,Artigo Publicado,"Características das fezes de bovinos Sindi, bovinos F1 Simental x Nelore e búfalos Mediterrâneos confinados",2006.0,,,,Boletim de Indústria Animal,,,"Gabriela de Abreu Saunders (SAUNDERS, Gabriela de Abreu), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Érika Cristina Dias de Oliveira (OLIVEIRA, Érika Cristina Dias de), André Mantegazza Camargo (CAMARGO, André Mantegazza), Wilma Dias Paschoal (PASCHOAL, Wilma Dias), Gustavo Rios Poletto (POLETTO, Gustavo Rios), João Paulo Franco da Silveira (SILVEIRA, João Paulo Franco da), Jucimar Castro Galdino da Silva (SILVA, Jucimar Castro Galdino da)"
3256976076328080,16042022,Artigo Publicado,Projeto Alfa Neruda - Produtores e propriedades leiteiras brasileiras: Algumas características sócio-econômicas,2007.0,,,,Boletim de Indústria Animal,,,"Carlos Augusto de Oliveira (OLIVEIRA, Carlos Augusto de), John Wilkinson (WILKINSON, John), João Carlos Carvalho de Almeida (ALMEIDA, João Carlos Carvalho de), Tânia de França Padilha (PADILHA, Tânia de França), André Mantegazza Camargo (CAMARGO, André Mantegazza), Adilson Esquerdo Ferreira (FERREIRA, Adilson Esquerdo)"
3256976076328080,16042022,Artigo Publicado,Perfil de ácidos graxos de bovinos e búfalos terminados em confinamento,2006.0,,,,Revista Universidade Rural. Série Ciências da Vida,,,"Jucimar Castro Galdino da Silva (SILVA, Jucimar Castro Galdino da), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Otávio Cabral Neto (CABRAL NETO, Otávio), Dorival Pereira Borges da Costa (COSTA, Dorival Pereira Borges da), José Paulo de Oliveira (OLIVEIRA, José Paulo de), André Mantegazza Camargo (CAMARGO, André Mantegazza)"
3256976076328080,16042022,Artigo Publicado,Composição mineral da carne de bovinos de diferentes grupos genéticos com idades distintas,2008.0,,,,Revista Brasileira de Saúde e Produção Animal,,,"André Mantegazza Camargo (CAMARGO, André Mantegazza), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira), Érika Cristina Dias de Oliveira (OLIVEIRA, Érika Cristina Dias de), Luis Fernando Dias Medeiros (MEDEIROS, L. F. D.)"
3256976076328080,16042022,Artigo Publicado,"Características da carcaça de novilhas 1/2 Guzerá x 1/4 Simbrasil x 1/4 Nelore, terminadas em confinamento e abatidas com diferentes pesos",2008.0,,,,Boletim de Indústria Animal,,,"André Mantegazza Camargo (CAMARGO, André Mantegazza), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Jorge Carlos Dias de Sousa (SOUSA, Jorge Carlos Dias de), Mirton José da frota Morenz (MORENZ, Mirton José da Frota), Jucimar Castro Galdino da Silva (SILVA, Jucimar Castro Galdino da), Otávio Cabral Neto (CABRAL NETO, Otávio), Renata de Oliveira Santos Ramalho (RAMALHO, R. O. S.), Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira)"
3256976076328080,16042022,Artigo Publicado,Características da carcaça e composição química dos cortes nobres de frangos de corte submetidos a programas de restrição alimentar,2009.0,,,,Revista Universidade Rural. Série Ciências da Vida,,,"Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira), Augusto Vidal da Costa Gomes (GOMES, A. V. C.), André Mantegazza Camargo (CAMARGO, André Mantegazza), Cristina Amorim Ribeiro de Lima (Lima, Cristina Amorim Ribeiro de), Érika Cristina Dias de Oliveira (OLIVEIRA, Érika Cristina Dias de), Arley Alves de Oliveira (OLIVEIRA, Arley de Oliveira), Vinícius Machado dos Santos (SANTOS, V. M.)"
3256976076328080,16042022,Artigo Publicado,"Avaliação da idade da poedeira, da temperatura de armazenamento e do tipo de embalagem sobre a qualidade de ovos comerciais",2010.0,,,,Revista Universidade Rural. Série Ciências da Vida,,,"Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira), André Mantegazza Camargo (CAMARGO, André Mantegazza), Érika Cristina Dias de Oliveira (OLIVEIRA, Érika Cristina Dias de), Thaiz Marinho Magalhães Cedro (CEDRO, Thaiz Marinho Magalhães), Mirton José da frota Morenz (MORENZ, Mirton José da Frota)"
3256976076328080,16042022,Artigo Publicado,Avaliação de algumas características da carcaça de bovinos e bubalinos,2010.0,,,,Revista Brasileira de Medicina Veterinária,,,"Otávio Cabral Neto (CABRAL NETO, Otávio), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Dorival Pereira Borges da Costa (COSTA, Dorival Pereira Borges da), Luis Fernando Dias Medeiros (MEDEIROS, L. F. D.), Débora Helena Vieira (VIEIRA, D.H.), André Mantegazza Camargo (CAMARGO, André Mantegazza), Fábio Teixeira de Pádua (PÁDUA, Fábio Teixeira de)"
3256976076328080,16042022,Artigo Publicado,Características da carcaça de novilhas de diferentes grupos genéticos terminadas em confinamento,2010.0,,,,Acta Tecnológica,,,"André Mantegazza Camargo (CAMARGO, André Mantegazza), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Jorge Carlos Dias de Sousa (SOUSA, Jorge Carlos Dias de), Mirton José da frota Morenz (MORENZ, Mirton José da Frota), Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira), Otávio Cabral Neto (CABRAL NETO, Otávio)"
3256976076328080,16042022,Artigo Publicado,Desempenho produtivo e econômico de frangos de corte submetidos a programas de restrição alimentar,2011.0,,,,Ciência Animal Brasileira (UFG. Impresso),,,"Kely Cristina Bastos Teixeira Ramos (RAMOS, Kely Cristina Bastos Teixeira), Augusto Vidal da Costa Gomes (GOMES, A. V. C.), Cristina Amorim Ribeiro de Lima (LIMA, C. A. R.), André Mantegazza Camargo (CAMARGO, André Mantegazza), Fernando Augusto Curvello (CURVELLO, Fernando Augusto), Rosani Valéria Marcelina Matoso Silva (SILVA, R. V. M. M.), Priscila de Andrade Massi (Massi, P. A.)"
3256976076328080,16042022,Artigo Publicado,Rendimento de abate de bovinos e bubalinos em confinamento,2011.0,,,,Acta Tecnológica,,,"Otávio Cabral Neto (CABRAL NETO, Otávio), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), André Mantegazza Camargo (CAMARGO, André Mantegazza), Jucimar Castro Galdino da Silva (SILVA, Jucimar Castro Galdino da), Dorival Pereira Borges da Costa (COSTA, Dorival Pereira Borges da)"
3256976076328080,16042022,Artigo Publicado,Avaliação do peso dos cortes cárneos comerciais e vísceras de bubalinos Mediterrâneo e bovinos Sindi terminados em confinamento,2013.0,,,,Acta Tecnológica,,,"Otávio Cabral Neto (CABRAL NETO, Otávio), André Mantegazza Camargo (CAMARGO, André Mantegazza), Sabrina Luzia Gregio de Sousa (SOUSA, S. L. G.), Victor Cruz Rodrigues (RODRIGUES, Victor Cruz), Luis Fernando Dias Medeiros (MEDEIROS, L. F. D.), Fábio Teixeira de Pádua (PÁDUA, Fábio Teixeira de), Débora Helena Vieira (VIEIRA, D.H.)"
3256976076328080,16042022,Artigo Publicado,Características da carcaça de bovinos Sindi e bubalinos Mediterrâneo em confinamento,2013.0,,,,Acta Tecnológica,,,"Otavio Cabral Neto (CABRAL NETO, O.), Sabrina Luzia Gregio de Sousa (SOUSA, S. L. G.), André Mantegazza Camargo (CAMARGO, André Mantegazza), Fábio Teixeira de Pádua (PADUA, F. T.), Luis Fernando Dias Medeiros (MEDEIROS, L. F. D.), Victor Cruz Rodrigues (RODRIGUES, V. C.), Jorge Carlos Dias de Sousa (SOUSA, J. C. D.)"
3256976076328080,16042022,Artigo Publicado,Ácidos Graxos na Carne de Bovinos Nelore e F1 Sindi Nelore,2013.0,,,,Revista Universidade Rural. Série Ciências da Vida (Cessou em 2007. Cont. ISSN 1983-4772 Revista de Ciências da Vida),,,"Renata de Oliveira Santos Ramalho (RAMALHO, R. O. S.), Victor Cruz Rodrigues (RODRIGUES, V. C.), Daniele Duarte Nunes de Souza (SOUZA, D. D. N.), André Mantegazza Camargo (CAMARGO, André Mantegazza)"
3256976076328080,16042022,Artigo Publicado,Características morfométricas e testiculares de búfalos em diferentes idades,2017.0,,,,Ciência Animal Brasileira (Online),,,"Renata de Oliveira Santos Ramalho (RAMALHO, R. O. S.), Douglas Mena do Couto (COUTO, D. M.), Victor Cruz Rodrigues (RODRIGUES, V. C.), André Mantegazza Camargo (CAMARGO, André Mantegazza)"
1270200250025103,17022024,Artigo Publicado,"Biologia de Amblyseius largoensis (Muma) (Acari: Phytoseiidae), um potencial predador de Aceria guerreronis Keifer (Acari: Eriophyidae) em coqueiro",2007.0,,,,Neotropical Entomology,,,"Andréia Serra Galvão (GALVÃO, A. S.), Manoel Guedes Correa Gondim Junior (GONDIM JUNIOR, Manoel Guedes Correa), Gilberto José de Moraes (MORAES, Gilberto José de), José Vargas de Oliveira (OLIVEIRA, José Vargas de)"
1270200250025103,17022024,Artigo Publicado,Exigências térmicas e tabela de vida de fertilidade de Amblyseius largoensis,2008.0,,,,Ciência Rural,,,"Andréia Serra Galvão (GALVÃO, A. S.), Manoel Guedes Correa Gondim Junior (GONDIM JUNIOR, Manoel Guedes Correa), Gilberto José de Moraes (MORAES, Gilberto José de), José Vargas de Oliveira (OLIVEIRA, José Vargas de)"
1270200250025103,17022024,Artigo Publicado,Escala diagramática de dano de Aceria guerreronis Keifer (Acari: Eriophyidae) em coqueiro,2008.0,,,,Neotropical Entomology,,,"Andréia Serra Galvão (GALVÃO, A. S.), Manuel Guedes C.Gondim Junior (C.GONDIM JUNIOR, M. G.), Sami J. Michereff (MICHEREFF, S. J.)"
1270200250025103,17022024,Artigo Publicado,Biologia do ácaro predador Euseius alatus DeLeon (Acari: Phytoseiidae) em diferentes temperaturas,2009.0,,,,Acta Scientiarum. Agronomy (Online),,,"José Wagner da Silva Melo (MELO, José Wagner da Silva), Cleiton Araújo Domingos (DOMINGOS, C. A.), Andréia Serra Galvão (GALVÃO, A. S.), GONDIM JR. Manoel G.C. (G.C., G. J. M.), Gilberto José de Moraes (MORAES, Gilberto José de)"
1270200250025103,17022024,Artigo Publicado,Acarofauna  em produtos alimentícios comercializados em mercados de São Luis-MA,2011.0,,,,MAGISTRA CRUZ DAS ALMAS-BA,,,"Andréia Serra Galvão (Galvão, Andreia, S), Ester Azevedo da Silva (SILVA, E. A.), Josilene Maria de Sousa (SOUSA, J. M.), RAFAEL ROCHA SILVA (Silva, R.R), Maria de Jesus (Silva, M. J. S), ANA ELISABETE LOPES RIBEIRO (RIBEIRO, A. E. L.)"
