numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1770068905157044,30052024,Artigo Publicado,A test of the Hrubÿ parameter to estimate glass-forming ability,1997.0,,,,Journal of Non-Crystalline Solids,,,"Aluísio Alves Cabral Júnior (CABRAL, A)"
1770068905157044,30052024,Artigo Publicado,Crystal Nucleation and Growth Kinetics in a Fresnoite Glass - First Measurements,1998.0,,,,Glass Science And Technology Glastechische Berichte,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.), Cléver Ricardo Chinaglia (CHINAGLIA, C. R.), Vladimir Fokin (FOKIN, V.), Edgar Dutra Zanotto (ZANOTTO, E. D.)"
1770068905157044,30052024,Artigo Publicado,Glass-forming ability versus stability of silicate glasses. I. Experimental test,2003.0,,,,Journal of Non-Crystalline Solids,,,"Aluísio Alves Cabral Júnior (CABRAL, A)"
1770068905157044,30052024,Artigo Publicado,Nanocrystallization of fresnoite glass. I. Nucleation and growth kinetics,2003.0,,,,Journal of Non-Crystalline Solids,,,"Aluísio Alves Cabral Júnior (CABRAL, A)"
1770068905157044,30052024,Artigo Publicado,Nanocrystallization of fresnoite glass. II. Analysis of homogeneous nucleation kinetics,2004.0,,,,Journal of Non-Crystalline Solids,,,"Aluísio Alves Cabral Júnior (CABRAL, A), FOKIN, V (FOKIN, V), ZANOTTO, E (ZANOTTO, E)"
1770068905157044,30052024,Artigo Publicado,Glass forming ability versus glass stability,2002.0,,,,Glass Science And Technology-Glastechnische Berichte,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.), Alexandre A Dib Cardoso (CARDOSO, A. A. D.), Edgar Dutra Zanotto (ZANOTTO, E. D.)"
1770068905157044,30052024,Artigo Publicado,Nucleation time-lag from nucleation and growth experiments in deeply undercooled glass-forming liquids,2008.0,,,,Journal of Non-Crystalline Solids,,,"FOKIN, V (FOKIN, V), YURITSYN, N (YURITSYN, N), ZANOTTO, E (ZANOTTO, E), SCHMELZER, J (SCHMELZER, J), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Artigo Publicado,Effect of different approaches to decouple the dependence of nuclei-liquid surface energy on size and temperature,2009.0,,,,Materials Research,,,"Freitas, Mara Cristina (Freitas, Mara Cristina), Costa, Dalmo Inácio Galdez (Costa, Dalmo Inácio Galdez), Aluísio Alves Cabral Júnior (Cabral, Aluísio Alves), Gomes, Adalto Rodrigues (Gomes, Adalto Rodrigues), Mercury, José Manuel Rivas (Mercury, José Manuel Rivas)"
1770068905157044,30052024,Artigo Publicado,Estudo do Comportamento Térmico e Propriedades Físico-Mecânicas da Lama Vermelha,2010.0,,,,Matéria (UFRJ),,,"José Manuel Rivas Mercury (MERCURY, J. M. R.), LAÉCIO GOMES GLADINO (GALDINO, L. G.), Nazaré do Socorro Lemos Silva Vasconcelos (VASCONCELOS, N. S. L. S.), Antonio Ernandes Macedo Paiva (PAIVA, A. E. M.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Rômulo Simões Angelica (ANGELICA, R. S.)"
1770068905157044,30052024,Artigo Publicado,INFLUENCIA DEL CONTENIDO DE LODO ROJO (RESIDUO DE BAUXITA) EN LAS PROPIEDADES FISICOMECÁNICAS DE MATERIALES CERÁMICOS CONFORMADOS POR EXTRUSIÓN,2009.0,,,,Revista Latinoamericana de Metalurgia y Materiales,,,"José Manuel Rivas Mercury (MERCURY, J. M. R.), LAÉCIO GOMES GLADINO (GALDINO, L. G.), Antonio Ernandes Macedo Paiva (PAIVA, A. E. M.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Rômulo Simões Angelica (ANGELICA, R. S.)"
