numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
9483358630883251,12062024,Artigo Publicado,A instrumentalização do impacto ambiental como mecanismo de mensuração da qualidade ambiental urbana: um estudo de caso em bairros da zona norte do município de Teresina-PI,2014.0,,,,ANAIS ¿ CONGRESSO BRASILEIRO DE GESTÃO AMBIENTAL,,,"Paulo Borges da Cunha (CUNHA, P. B.), Thiciane Maria Barreto Rodrigues (RODRIGUES, T. M. B.), Joécio Santos Sousa (SOUSA, J. S.), Amanda Alves Feitosa (FEITOSA, A. A.), Dinael David Ferreira Lima (FERREIRA-LIMA, D. D.)"
9483358630883251,12062024,Artigo Publicado,Gerenciamento dos resíduos sólidos orgânicos produzidos por um estabelecimento comercial em Teresina-PI,2014.0,,,,Revista Eletronica do IBEAS,,,"Amanda Alves Feitosa (FEITOSA, A. A.), Dinael David Ferreira Lima (FERREIRA-LIMA, D. D.)"
9483358630883251,12062024,Artigo Publicado,Percepção ambiental dos moradores de um agrupamento de bairros na zona norte do monicípio de Teresina-PI acerca do papel das estruturas urbanas na formação da qualidade ambiental,2014.0,,,,Revista Eletronica do IBEAS,,,"Paulo Borges da Cunha (CUNHA, P. B.), Joécio Santos Sousa (SOUSA, J. S.), Amanda Alves Feitosa (FEITOSA, A. A.), Thiciane Maria Barreto Rodrigues (RODRIGUES, T. M. B.), Dinael David Ferreira Lima (FERREIRA-LIMA, D. D.)"
9483358630883251,12062024,Artigo Publicado,Characterization of Biochar Samples of Banana Peels and Orange Bagasse Carbonized at 400 and 600°C,2020.0,,,,REVISTA VIRTUAL DE QUÍMICA,,,"Amanda Alves Feitosa (ALVES FEITOSA, AMANDA), GERALDES TEIXEIRA, WENCESLAU (GERALDES TEIXEIRA, WENCESLAU), RITTER, ELISABETH (RITTER, ELISABETH), ABREU DE RESENDE, FABIANA (ABREU DE RESENDE, FABIANA), KERN, JÜRGEN (KERN, JÜRGEN)"
9483358630883251,12062024,Artigo Publicado,Diagnóstico dos impactos socioambientais decorrentes da Ampliação da Ponte Juscelino Kubitschek em Teresina-PI,2013.0,,,,Revista Eletronica do IBEAS,,,"Dinael David Ferreira Lima (FERREIRA-LIMA, D. D.), Amanda Alves Feitosa (FEITOSA, A. A.)"
9052272123505816,9102023,Artigo Publicado,As causas da Revolução Francesa: como as instituições e os costumes do regime monárquico da França levantaram a revolta.,2008.0,,,,"REVISTA HOMEM, ESPAÇO E TEMPO",,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)"
9052272123505816,9102023,Artigo Publicado,NUANCES DA SOCIOLOGIA DO DESVIO EM ÉMILE DURKHEIM,2012.0,,,,REVISTA CADERNOS DE CIÊNCIAS SOCIAIS DA UFRPE,,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)"
9052272123505816,9102023,Artigo Publicado,"Intencionalidades, desejos e aspirações: estratégias de vida das mulheres no mercado do sexo da cidade de Fortaleza, Ceará",2018.0,,,,"REVISTA HOMEM, ESPAÇO E TEMPO",,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)"
9052272123505816,9102023,Artigo Publicado,"Cidades pequenas, pessoalidade e família na perspectiva do armário Gay",2021.0,,,,"REVISTA HOMEM, ESPAÇO E TEMPO",,,"Bruna Silva Araújo (ARAUJO, Bruna S.), Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)"
9052272123505816,9102023,Artigo Publicado,"Pleasure and protagonism: An interview with Maria de Jesus Almeida Costa, a Black sex worker activist from Brazil?s Northeast region",2022.0,,,,Global Public Health,,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, FERNANDA MARIA VIEIRA)"
9052272123505816,9102023,Artigo Publicado,É possível consentir no mercado do sexo? O difícil diálogo entre feministas e trabalhadoras do sexo,2015.0,,,,REVISTA DE ESTUDOS E INVESTIGAÇÕES ANTROPOLÓGICAS,,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)"
6405349933845573,5062024,Artigo Publicado,Magnetic field induced vortices in graphene quantum dots,2020.0,,,,JOURNAL OF PHYSICS-CONDENSED MATTER,,,"Icaro Rodrigues Lavor (LAVOR, I R), DA COSTA, D R (DA COSTA, D R), CHAVES, A (CHAVES, A), FARIAS, G A (FARIAS, G A), Rair Macêdo (MACÊDO, R), PEETERS, F M (PEETERS, F M)"
6405349933845573,5062024,Artigo Publicado,Probing the structure and composition of van der Waals heterostructures using the nonlocality of Dirac plasmons in the terahertz regime,2021.0,,,,2D Materials,,,"Icaro Rodrigues Lavor (LAVOR, I R), CAVALCANTE, L S R (CAVALCANTE, L S R), CHAVES, ANDREY (CHAVES, ANDREY), PEETERS, F M (PEETERS, F M), VAN DUPPEN, B (VAN DUPPEN, B)"
6405349933845573,5062024,Artigo Publicado,of Moiré Excitons in Twisted Heterobilayers,2021.0,,,,PHYSICAL REVIEW LETTERS,,,"Icaro Rodrigues Lavor (LAVOR, I.'R.), DA COSTA, D.'R. (DA COSTA, D.'R.), COVACI, L. (COVACI, L.), MILO?EVI', M.'V. (MILO?EVI', M.'V.), PEETERS, F.'M. (PEETERS, F.'M.), Andrey Chaves (CHAVES, A.)"
6405349933845573,5062024,Artigo Publicado,Tunable coupling of terahertz Dirac plasmons and phonons in transition metal dichalcogenide-based van der Waals heterostructures,2021.0,,,,2D Materials,,,"Icaro Rodrigues Lavor (RODRIGUES LAVOR, ICARO), CHAVES, ANDREY (CHAVES, ANDREY), PEETERS, FRANCOIS M (PEETERS, FRANCOIS M), VAN DUPPEN, BEN (VAN DUPPEN, BEN)"
6405349933845573,5062024,Artigo Publicado,Ribonucleic acid genome mutations induced by the Casimir effect,2023.0,,,,BIOSYSTEMS,,,"NOGUEIRA, B.P. (NOGUEIRA, B.P.), Icaro Rodrigues Lavor (LAVOR, I.R.), MUNIZ, C.R. (MUNIZ, C.R.)"
6405349933845573,5062024,Artigo Publicado,APLICAÇÃO DE SALA DE AULA INVERTIDA E DE TECNOLOGIAS DIGITAIS NA EDUCAÇÃO PROFISSIONAL,2023.0,,,,BOCA - Boletim de Conjuntura,,,"Thamires Barroso Lima (LIMA, T. B.), Celso Maciel de Meira (MEIRA, C. M.), Ronaldo Silva Junior (SILVA JUNIOR, R.), Icaro Rodrigues Lavor (LAVOR, I. R.)"
6405349933845573,5062024,Artigo Publicado,Ultrastrong plasmon-phonon coupling in double-layer graphene intercalated with a transition-metal dichalcogenide,2023.0,,,,PHYSICAL REVIEW MATERIALS,,,"TAO, Z. H. (TAO, Z. H.), Eduardo Bedê Barros (BARROS, E. B.), NOGUEIRA, J. P. DA C. (NOGUEIRA, J. P. DA C.), Francois Maria Leopold Peeters (PEETERS, F. M.), Andrey Chaves (CHAVES, A.), MILO?EVI', M. V. (MILO?EVI', M. V.), Icaro Rodrigues Lavor (LAVOR, I. R.)"
