numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1030435053294003,13032024,Artigo Publicado,DESNATURALIZANDO: CONTRIBUIÇÃO AOS ESTUDOS SOBRE A INSTITUIÇÃO HISTÓRICO-SOCIAL E GEOGRÁFICA DA GLOBALIZAÇÃO,2011.0,,,,Percurso (Curitiba),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
1030435053294003,13032024,Artigo Publicado,"A GEOGRAFIA POLÍTICA DOS CONFLITOS AMBIENTAIS NO MARANHÃO: TERRITÓRIO, DESENVOLVIMENTO E PODER NO RELATÓRIO DE SUSTENTABILIDADE DA VALE 2009",2011.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
1030435053294003,13032024,Artigo Publicado,A POLÍTICA DE DESENVOLVIMENTO SUSTENTÁVEL DA VALE,2012.0,,,,GEOGRAFIA. ENSINO & PESQUISA (UFSM),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
1030435053294003,13032024,Artigo Publicado,MISÉRIA DA FILOSOFIA: APLICAÇÕES TEÓRICAS E PRÁTICAS EM  GEOGRAFIA HUMANA,2010.0,,,,Ciências Humanas em Revista (UFMA),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Baltazar Macaíba Sousa (SOUSA, B. M.), Juscinaldo Góes Almeida (ALMEIDA, J. G.), Marcelo de Sousa Araújo (ARAUJO, M. S.)"
1030435053294003,13032024,Artigo Publicado,"O ESTADO BRASILEIRO, A ECONOMIA DA VALE NA AMAZÔNIA MARANHENSE E A REDE JUSTIÇA NOS TRILHOS",2014.0,,,,GEOGRAFIA. ENSINO & PESQUISA (UFSM),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Samarone Carvalho Marinho (MARINHO, S. C.)"
1030435053294003,13032024,Artigo Publicado,"IDEALISMO E MATERIALISMO, GEOGRAFIA CRÍTICA E A CONCEPÇÃO DA ABSTRAÇÃO ESPACIAL",2013.0,,,,Geografia em Questão (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,NEIL SMITH E O DESENVOLVIMENTO DESIGUAL DO  CAPITALISMO,2014.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,"ACUMULAÇÃO PRIMITIVA, CAPITAL FICTÍCIO E ACUMULAÇÃO POR ESPOLIAÇÃO: INTRODUÇÃO A UMA LEITURA GEOGRÁFICA DA ECONOMIA CAPITALISTA CONTEMPORÂNEA",2014.0,,,,Revista Tamoios,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, JOSÉ ARNALDO DOS SANTOS)"
1030435053294003,13032024,Artigo Publicado,DAVID HARVEY E A TEORIA DO DESENVOLVIMENTO GEOGRÁFICO DESIGUAL DO CAPITALISMO,2014.0,,,,Geografia em Questão (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,"DESENVOLVIMENTO, CONFLITOS E IMPACTOS  AMBIENTAIS: A TERRITORIALIZAÇÃO DA SUZANO E A  RESISTÊNCIA CAMPONESA NA MESORREGIÃO LESTE  MARANHENSE",2014.0,,,,Geographia Opportuno Tempore,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Saulo Barros da Costa (COSTA, S. B.)"
1030435053294003,13032024,Artigo Publicado,A PRODUÇÃO DA NATUREZA COMO ESTRATÉGIA DE  ACUMULAÇÃO,2015.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,ALGUMAS INFLUÊNCIAS TEÓRICAS DETERMINANTES DO CONCEITO DE DESENVOLVIMENTO EM JOSUÉ DE CASTRO: UM PRELÚDIO,2020.0,,,,Revista Tamoios,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, JOSÉ ARNALDO DOS SANTOS)"
1030435053294003,13032024,Artigo Publicado,"GRANDE ESPACIALIZAÇÃO, YVES LACOSTE E O PRÓLOGO DE UMA GEOGRAFIA DO DESENVOLVIMENTO",2022.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,YVES LACOSTE EM ARGEL: AFINIDADES ELETIVAS E A DESCOBERTA DA OBRA DE IBN KHALDUN,2023.0,,,,GEOGRAFIA EM QUESTÃO (ONLINE),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,YVES LACOSTE E A QUESTÃO DO MÉTODO: INSPIRAÇÃO TRICARTIANA E POSIÇÃO CRÍTICA FACE À ABORDAGEM DA ESCOLA FRANCESA DE GEOGRAFIA,2023.0,,,,https://doi.org/10.28998/contegeo.8i.17.16517,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Artigo Publicado,FRONTEIRA REVISITADO,2013.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
7113764946578925,6112023,Artigo Publicado,Factors that influence quality perception of political candidates: analysis in the view of low income voters,2018.0,,,,CAPITAL CIENTÍFICO,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, L.;COSTA JUNIOR, LINDEMBERG;COSTA JÚNIOR, LINDEMBERG), Danilo Soares Monte-mor (MONTE-MOR, D. S.), Aziz Xavier Beiruth (BEIRUTH, A. X.)"
7113764946578925,6112023,Artigo Publicado,ATRIBUTOS DE QUALIDADE DOS CANDIDATOS AO PODER EXECUTIVO MUNICIPAL: ANÁLISE NA VISÃO DOS ELEITORES/QUALITY ATTRIBUTES OF THE CANDIDATES TO THE MUNICIPAL EXECUTIVE POWER: ANALYSIS IN THE VISION OF THE ELECTORS,2018.0,,,,REAT - REVISTA ELETRÔNICA DE ADMINISTRAÇÃO E TURISMO,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), SILVA, LEONILDE DA CONCEIÇÃO (SILVA, LEONILDE DA CONCEIÇÃO)"
7113764946578925,6112023,Artigo Publicado,Brand orientation of nonprofit organizations and its relationship with the attitude toward charity and donation intention,2020.0,,,,International Review on Public and Nonprofit Marketing,,,"DA SILVA, LEONILDE CONCEIÇÃO (DA SILVA, LEONILDE CONCEIÇÃO), MAINARDES, EMERSON WAGNER (MAINARDES, EMERSON WAGNER), TEIXEIRA, ARILDA MAGNA CAMPAGNARO (TEIXEIRA, ARILDA MAGNA CAMPAGNARO), Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG)"
7113764946578925,6112023,Artigo Publicado,HOMENS E MULHERES: DESVANTAGENS EM DECISÕES DE EMPREGO A CARGOS ADMINISTRATIVOS,2020.0,,,,REAT - REVISTA ELETRÔNICA DE ADMINISTRAÇÃO E TURISMO,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)"
7113764946578925,6112023,Artigo Publicado,PERCEPÇÃO DE QUALIDADE DOS CANDIDATOS A CARGOS PÚBLICOS: Uma comparação entre homens e mulheres na visão do eleitor,2018.0,,,,Revista Acta Tecnológica,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), DUARTE, ALICE SILVA (DUARTE, ALICE SILVA)"
7113764946578925,6112023,Artigo Publicado,Personalidade da Marca de Destinos e sua Relação com o Critério de Escolha dos Turistas Brasileiros,2020.0,,,,REVISTA TURISMO EM ANÁLISE,,,"Leonilde da Conceição Silva (SILVA, L. C.), Lindemberg Costa Júnior (COSTA JÚNIOR, L.)"
7113764946578925,6112023,Artigo Publicado,ATRIBUTOS DE QUALIDADE NAS INSTITUIÇÕES PÚBLICAS DE ENSINO: Na visão dos discentes/egressos de escolas Federal e Estadual,2020.0,,,,ADMINISTRAÇÃO DE EMPRESAS EM REVISTA,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Sueila Silva Viana (VIANA, S. S.)"
7113764946578925,6112023,Artigo Publicado,Fatores que influenciam o stress dos professores da educação infantil da cidade de Buriticupu/MA,2020.0,,,,COMPETÊNCIA - REVISTA DA EDUCAÇÃO SUPERIOR DO SENAC-RS,,,"COUTINHO, FRANCISCA (COUTINHO, FRANCISCA), Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG)"
7113764946578925,6112023,Artigo Publicado,FATORES QUE INFLUENCIAM A PERCEPÇÃO DE QUALIDADE DOS CLIENTES EM SERVIÇOS DE ESTÉTICA E BELEZA,2020.0,,,,CADERNO PROFISSIONAL DE MARKETING,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Elissandra Pedrosa Almeida Costa (COSTA, E. P. A.)"
7113764946578925,6112023,Artigo Publicado,BRANCOS E NEGROS: VANTAGENS EM DECISÕES DE EMPREGO,2021.0,,,,E&G - Revista Economia e Gestão,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)"
7113764946578925,6112023,Artigo Publicado,CALÇADÃO OU SHOPPING CENTER? PERCEPÇÃO DE QUALIDADE NA VISÃO DO CONSUMIDOR BRASILEIRO,2022.0,,,,GESTÃO E DESENVOLVIMENTO (FEEVALE),,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), DA CONCEIÇÃO SILVA, LEONILDE (DA CONCEIÇÃO SILVA, LEONILDE), HENRIQUE SOUZA LIMA, CÉSAR (HENRIQUE SOUZA LIMA, CÉSAR), EIDA MARQUES DOS REIS, LIANA (EIDA MARQUES DOS REIS, LIANA)"
7113764946578925,6112023,Artigo Publicado,Latinos americanos: desvantagens em decisões de emprego no Brasil,2023.0,,,,COMPETÊNCIA - REVISTA DA EDUCAÇÃO SUPERIOR DO SENAC-RS,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)"
7113764946578925,6112023,Artigo Publicado,PERCEPÇÃO DOS ELEITORES NA ESCOLHA DO CANDIDATO A REITOR/DIRETOR GERAL NO INSTITUTO FEDERAL DO  MARANHÃO,2023.0,,,,FOCO (FACULDADE NOVO MILÊNIO),,,"Lara Kethelen Silva de Sousa (SOUSA, L. K. S.), Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Liana Eida Marques dos Reis (REIS, L. E. M.), Suziany Leite Nascimento (NASCIMENTO, S. L.), Leonilde da Conceição Silva (SILVA, L. C.)"
7113764946578925,6112023,Artigo Publicado,"Personalidade da marca de destinos, fontes de informações e sua relação com o critério de escolha da chapada das mesas por parte dos turistas",2021.0,,,,REVISTA DE TURISMO CONTEMPORÂNEO,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), CHRISTYNNE DE SOUZA SAMPAIO, EVELLYN (CHRISTYNNE DE SOUZA SAMPAIO, EVELLYN)"
