numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3789595345955753,16052024,Artigo Publicado,Effect of Utilization of Organic Waste as Agricultural Amendment on Soil Microbial Biomass,2015.0,,,,Annual Research &amp; Review in Biology,,,"SINGH, RAJEEV (SINGH, RAJEEV), SARKAR, ABHIJIT (SARKAR, ABHIJIT), SENGUPTA, CHANDAN (SENGUPTA, CHANDAN), SINGH, POOJA (SINGH, POOJA), Ana Roberta Lima de Miranda (MIRANDA, ANA), NUNES, LUIS (NUNES, LUIS), ARAUJO, ADEMIR (ARAUJO, ADEMIR), MELO, WANDERLEY (MELO, WANDERLEY)"
3789595345955753,16052024,Artigo Publicado,Responses of soil bacterial community after seventh yearly applications of composted tannery sludge,2018.0,,,,GEODERMA,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ROCHA, SANDRA MARA BARBOSA (ROCHA, SANDRA MARA BARBOSA), VAN DEN BRINK, PAUL J. (VAN DEN BRINK, PAUL J.), BEZERRA, WALDERLY MELGAÇO (BEZERRA, WALDERLY MELGAÇO), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), ANTUNES, JADSON EMANUEL LOPES (ANTUNES, JADSON EMANUEL LOPES), ARAUJO, ADEMIR SERGIO FERREIRA (ARAUJO, ADEMIR SERGIO FERREIRA)"
3789595345955753,16052024,Artigo Publicado,Bacterial community associated with rhizosphere of maize and cowpea in a subsequent cultivation,2019.0,,,,APPLIED SOIL ECOLOGY,,,"DE ARAUJO, ADEMIR SERGIO FERREIRA (DE ARAUJO, ADEMIR SERGIO FERREIRA), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), SOUSA, RICARDO SILVA (SOUSA, RICARDO SILVA), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ANTUNES, JADSON EMANUEL LOPES (ANTUNES, JADSON EMANUEL LOPES), OLIVEIRA, LOUISE MELO DE SOUZA (OLIVEIRA, LOUISE MELO DE SOUZA), DE ARAUJO, FABIO FERNANDO (DE ARAUJO, FABIO FERNANDO), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), FIGUEIREDO, MARCIA DO VALE BARRETO (FIGUEIREDO, MARCIA DO VALE BARRETO)"
3789595345955753,16052024,Artigo Publicado,Chemical variables influencing microbial properties in composted tannery sludge-treated soil,2018.0,,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,,,"Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), vilma maria dos santos (SANTOS, V. M.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), NUNES, L. A. P. L. (NUNES, L. A. P. L.), carlos tadeu dos santos dias (DIAS, C. T. S.), DE MELO, W. J. (DE MELO, W. J.)"
3789595345955753,16052024,Artigo Publicado,Less abundant bacterial groups are more affected than the most abundant groups in composted tannery sludge-treated soil,2018.0,,,,Scientific Reports,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Jadson Emanuel Lopes Antunes (ANTUNES, J. E. L.), fabio fernando araujo (ARAUJO, F. F.), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), BEZERRA, WALDERLY MELGAÇO (BEZERRA, WALDERLY MELGAÇO), Paul J van den Brink (van Den BRINK, P. J.), Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.)"
3789595345955753,16052024,Artigo Publicado,Different soil tillage systems influence accumulation of soil organic matter in organic agriculture,2016.0,,,,African Journal of Agricultural Research,,,"Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), Luiz Fernando Carvalho Leite (LEITE, Luiz Fernando Carvalho), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Luis Alfredo Pinheiro Leal Nunes (Nunes, L.A.P.L), Ricardo Silva Sousa (SOUSA, R. S.), Fábio Fernando de Araújo (ARAÚJO, F. F.), Wanderley José de Melo (MELO, W. J.)"
3789595345955753,16052024,Artigo Publicado,Dynamics of archaeal community in soil with application of composted tannery sludge,2019.0,,,,Scientific Reports,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), lucas william mendes (MENDES, L. W.), Leandro Nascimento Lemos (LEMOS, L. N.), Jadson Emanuel Lopes Antunes (ANTUNES, J. E. L.), marineide rodrigues do Amorim (AMORIM, M. R.), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), Wanderley Jose de Melo (MELO, W. J.), Paul J van den Brink (van Den BRINK, P. J.), Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.)"
3789595345955753,16052024,Artigo Publicado,Growth and nodulation of cowpea after 5 years of consecutive composted tannery sludge amendment,2014.0,,,,Spanish Journal of Agricultural Research,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), Luis Alfredo Pinheiro Leal Nunes (Nunes, L.A.P.L), Mara Lucia Jacinto Oliveira (OLIVEIRA, M. L. J.), Wanderley Jose de Melo (MELO, W. J.)"
3789595345955753,16052024,Artigo Publicado,Microbial co-occurrence network and its key microorganisms in soil with permanent application of composted tannery sludge,2021.0,,,,SCIENCE OF THE TOTAL ENVIRONMENT,,,"ISHIMOTO, CAROLINE KIE (ISHIMOTO, CAROLINE KIE), KUROSHU, REGINALDO MASSANOBU (KUROSHU, REGINALDO MASSANOBU), ESPOSITO, ELISA (ESPOSITO, ELISA), ARAUJO, ADEMIR SERGIO FERREIRA (ARAUJO, ADEMIR SERGIO FERREIRA), AONO, ALEXANDRE HILD (AONO, ALEXANDRE HILD), NAGAI, JAMES SHINITI (NAGAI, JAMES SHINITI), SOUSA, HÉRIO (SOUSA, HÉRIO), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ARAUJO, FABIO FERNANDO (ARAUJO, FABIO FERNANDO), DE MELO, WANDERLEY JOSÉ (DE MELO, WANDERLEY JOSÉ)"
3789595345955753,16052024,Artigo Publicado,Microbial communities in the rhizosphere of maize and cowpea respond differently to chromium contamination,2023.0,,,,CHEMOSPHERE,,,"Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), lucas william mendes (MENDES, L. W.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Arthur Prudêncio de Araújo Pereira (PEREIRA, A. P A.), MELO, WANDERLEY JOSÉ (MELO, WANDERLEY JOSÉ), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), SABRINA HERMELINDO VENTURA (VENTURA, S. H.), EUDEMIO SOUSA BRITO JUNIOR (BRITO JUNIOR, E. S.), ERIKA VALENTE DE MEDEIROS (MEDEIROS, E. V de), Fábio Fernando de Araújo (ARAUJO, F. F.)"
3789595345955753,16052024,Artigo Publicado,"Microbiological attributes, organic carbon, and soil hydrothermal regime under Copernicia prunifera waste application",2023.0,,,,International Journal Of Recycling Of Organic Waste In Agriculture,,,"Luiiz Alfredo Pinheiro Leal Nunes (NUNES, L. A. P. L.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ricardo Silva de Sousa (SOUSA, R. S.)"
3789595345955753,16052024,Artigo Publicado,Soil microbial properties after 5&nbsp;years of consecutive amendment with composted tannery sludge,2015.0,,,,Environmental Monitoring and Assessment (Print),,,"ARAUJO, ADEMIR SÉRGIO FERREIRA (ARAUJO, ADEMIR SÉRGIO FERREIRA), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), OLIVEIRA, MARA LUCIA JACINTO (OLIVEIRA, MARA LUCIA JACINTO), SANTOS, VILMA MARIA (SANTOS, VILMA MARIA), NUNES, LUÍS ALFREDO PINHEIRO LEAL (NUNES, LUÍS ALFREDO PINHEIRO LEAL), MELO, WANDERLEY JOSÉ (MELO, WANDERLEY JOSÉ)"
4754106250302979,4042024,Artigo Publicado,An Approach for Construction of Augmented Reality Systems using Natural Markers and Mobile Sensors in Industrial Fields,2017.0,,,,International Journal of Computers Communications & Control,,,"Daniel Lima Gomes Júnior (GOMES JR, DANIEL LIMA), REIS, PAULO ROBERTO JANSEN DOS (REIS, PAULO ROBERTO JANSEN DOS), PAIVA, ANSELMO CARDOSO DE (PAIVA, ANSELMO CARDOSO DE), SILVA, ARIST?FANES CORR?A (SILVA, ARIST?FANES CORR?A), BRAZ JR, GERALDO (BRAZ JR, GERALDO), GATTASS, MARCELO (GATTASS, MARCELO), ARA?JO, ANT?NIO S?RGIO DE (ARA?JO, ANT?NIO S?RGIO DE)"
4754106250302979,4042024,Artigo Publicado,Augmented visualization using homomorphic filtering and Haar-based natural markers for power systems substations,2018.0,,,,COMPUTERS IN INDUSTRY,,,"Daniel Lima Gomes Júnior (GOMES, DANIEL LIMA), PAIVA, ANSELMO CARDOSO DE (PAIVA, ANSELMO CARDOSO DE), SILVA, ARISTÓFANES CORRÊA (SILVA, ARISTÓFANES CORRÊA), BRAZ, GERALDO (BRAZ, GERALDO), ALMEIDA, JOÃO DALLYSON SOUSA DE (ALMEIDA, JOÃO DALLYSON SOUSA DE), ARAÚJO, ANTÔNIO SÉRGIO DE (ARAÚJO, ANTÔNIO SÉRGIO DE), GATTAS, MARCELO (GATTAS, MARCELO)"
