numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1430247353953025,12012024,Artigo Publicado,Para além de um simples movimento: Escola Sem Partido e o ensino de Ciências,2019.0,,,,ENSINO & PESQUISA,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.), Nilvanete Gomes de Lima (LIMA, N. G.)"
1430247353953025,12012024,Artigo Publicado,PROPOSTA DE SEQUÊNCIA DIDÁTICA PARA A DISCUSSÃO DO TEMA HOMOFOBIA NO ENSINO DE CIÊNCIAS,2021.0,,,,ACTA TECNOLÓGICA,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), COSTA, HAWBERTT ROCHA (COSTA, HAWBERTT ROCHA), SÁ-SILVA, JACKSON RONIE (SÁ-SILVA, JACKSON RONIE)"
3744640013966658,25032024,Artigo Publicado,A Recepção Cinematográfica e as Representações Sociais de Gênero na Belém dos Anos de 1920,2011.0,,,,História e-História,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Artigo Publicado,Pola Negri e a recepção cinematográfica,2011.0,,,,Mnemocine,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Artigo Publicado,Das telas aos lares: As representações do feminino nos cinemas da Belém dos anos de 1920.,2011.0,,,,Caderno Espaço Feminino (Online),,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Artigo Publicado,O uso do RPG no ensino de História: um relato de experiência sobre o Maranhão republicano explicado por meio de um jogo,2021.0,,,,REVISTA HISTÓRIA HOJE,,,"Eva Dayna Felix Carneiro (CARNEIRO, EVA FELIX)"
3744640013966658,25032024,Artigo Publicado,Os Espectadores: notas de um cineclube na  Amazônia,2012.0,,,,Revista Estudos Amazônicos,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
5839156446771208,5042024,Artigo Publicado,Modelagens alternativas para os casos de meningite no Maranhão,2016.0,,,,Revista cientifica mathephys,,,"Francisco Pessoa de Paiva Júnior (PAIVA JR, F. P.), Rodney Carlos Bassanezi (BASSANEZI, R. C.)"
5839156446771208,5042024,Artigo Publicado,Maranhão na OBMEP: Uma análise do desempenho dos municípios,2020.0,,,,PESQUISA EM FOCO (UEMA),,,"Daniel Marques de Sousa (SOUSA, D. M.), Francisco Pessoa de Paiva Júnior (PAIVA JÚNIOR, F. P. de)"
5839156446771208,5042024,Artigo Publicado,O impacto do ensino remoto no estágio supervisionado: percepções dos professores em formação,2022.0,,,,Revista Aondê: Revista de Pesquisa em Educação em Ciências e Matemática,,,"Francisco Pessoa de Paiva Júnior (PAIVA JÚNIOR, Francisco P. de)"
872704726864852,21032024,Artigo Publicado,"Composição gravimétrica de resíduos sólidos em escolas públicas e privadas no município de Buriticupu, MA",2017.0,,,,Scientia Amazonia,,,"Josélia da Silva Lima (LIMA, J. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Kleber Sales Pereira (PEREIRA, K. S.), Elson Silva de Sousa (SOUSA, E. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
872704726864852,21032024,Artigo Publicado,Educação ambiental em resíduos sólidos em escolas no município de Buriticupu - MA,2018.0,,,,Scientia Amazonia,,,"Josélia da Silva Lima (LIMA, J. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Elson Silva de Sousa (SOUSA, E. S.), Kleber Sales Pereira (PEREIRA, K. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
