numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
124789976698969,21052024,Artigo Publicado,"A perda da autoridade do narrador como recurso formal na representação da violência em K. relato de uma busca, de Bernardo Kucinski",2021.0,,,,EntreLetras (Online),,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Artigo Publicado,Opressão de gênero e violência de Estado na literatura brasileira contemporânea e sua abordagem no livro didático de Ensino Médio,2021.0,,,,Entrelaces,,,"Jéssica Maria Cruz Silva (SILVA, J. M. C.), Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Artigo Publicado,O caso da vara e Pai contra mãe: narrativas na contracorrente da dissimulação machadiana sobre a escravidão,2021.0,,,,MIGUILIM - REVISTA ELETRÔNICA DO NETLLI,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Artigo Publicado,"Notas sobre violência na canção As caravanas, de Chico Buarque",2021.0,,,,Revista Desenredos,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.), Feliciano José Bezerra Filho (BEZERRA FILHO, F. J.)"
2660971989902220,21042024,Artigo Publicado,"Formação Docente, Ensino De História e Aproximação Com as Tecnologias Digitais Da Informação e Comunicação-TDIC",2019.0,,,,HUMANIDADES & TECNOLOGIA EM REVISTA (FINOM),,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Braz Batista vas (VAS, B. B.)"
2660971989902220,21042024,Artigo Publicado,Prática docente e ensino: o uso do espaço de memória do Campus Dianópolis para ensinar história,2020.0,,,,Brazilian Journal of Development,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Michelle Melo Póvoa (POVOA, M. M.), Geovana Rodrigues Oliveira Gonçalves (GONCALVES, G. R. O.), Giovana Melo Leal (LEAL, G. M.), Debora Ribeiro Pereira (PEREIRA, D. R.), Jorge Luís de Medeiros Bezerra (BEZERRA, J. L. M.)"
2660971989902220,21042024,Artigo Publicado,"IMPRENSA, PESQUISA E ENSINO DE HISTÓRIA: IMPRESSOS DIGITALIZADOS DA HEMEROTECA DIGITAL PARA ESTUDAR A BALAIADA EM SALA DE AULA",2022.0,,,,VEREDAS DA HISTÓRIA,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.)"
2660971989902220,21042024,Artigo Publicado,Webquest?s e ensino: uma experiência tocantinense para aprendizagem de História,2020.0,,,,REVISTA HISTÓRIA HOJE,,,"Antonio Guanacuy Almeida Moura (ALMEIDA MOURA, ANTONIO GUANACUY), VAS, BRAZ BATISTA (VAS, BRAZ BATISTA)"
362748628664811,22122023,Artigo Publicado,Condições físicas e higiênico - sanitária do matadouro público de São João dos Patos ? MA,2020.0,,,,Brazilian Journal of Development,,,"Cristina Zita de Morais Costa Dias-Barbosa (DIAS-BARBOSA, C. Z. M. C.), Rayssa Gabriela Lima Porto Luz (LUZ, R. G. L. P.), Ismael Santos Araújo (ARAUJO, I. S.)"
362748628664811,22122023,Artigo Publicado,Seleção de linhagens elite de feijão-caupi de porte semiereto biofortificadas com ferro e zinco,2020.0,,,,Brazilian Journal of Development,,,"Cristina Zita de Morais Costa Dias-Barbosa (DIAS-BARBOSA, C. Z. M. C.), Maurisrael de Moura Rocha (ROCHA, M. M.)"
362748628664811,22122023,Artigo Publicado,Selection of Cowpea Elite Lines for Iron and Zinc Biofortification,2020.0,,,,CURRENT NUTRITION & FOOD SCIENCE,,,"Cristina Zita de Morais Costa Dias-Barbosa (DIAS-BARBOSA, C. Z. M. C.)"
362748628664811,22122023,Artigo Publicado,Alterações físico químicas de óleos submetidos ao processo de fritura.,2023.0,,,,Brazilian Journal of Development,,,"Cristina Zita de Morais Costa Dias-Barbosa (DIAS-BARBOSA, C. Z. M. C.)"
362748628664811,22122023,Artigo Publicado,Identificação de sujidades em pimenta - do - reino e corante em pó.,2007.0,,,,CADERNOS TEMÁTICOS (IMPRESSO),,,"Cristina Zita de Morais Costa Dias-Barbosa (DIAS, C. Z. M. C.)"
3380086125867975,31052024,Artigo Publicado,"Moda, Memória e Museu",2014.0,,,,ANAIS DO ... ENCONTRO NACIONAL DA ANPAP (ONLINE),,,"Diêgo Jorge Lobato Ferreira (FERREIRA, Diego Jorge Lobato.), Priscila Almeida Cunha Arantes (ARANTES, P. A. C.)"
3380086125867975,31052024,Artigo Publicado,Profissionalidade docente: Saber e busca de reconhecimento,2020.0,,,,Brazilian Journal of Development,,,"Walter Rodrigues Marques (MARQUES,Walter Rodrigues), Diêgo Jorge Lobato Ferreira (FERREIRA, Diego Jorge Lobato.), Dayana Sthéfane Pereira Cutrim (CUTRIM, Dayana Sthéfane Pereira), Maria Neuraildes Gomes Viana (VIANA, Neuraildes Gomes Viana), Marizelia Dielle de Freitas (FREITAS, Marizelia Dielle de), Rosangela Coêlho Costa (COSTA, Coêlho Costa), Hérbia Araújo Soares (SOARES, Hérbia Araújo), Luís Félix de Barros Vieira Rocha (ROCHA, Luís Félix de Barros Vieira)"
3380086125867975,31052024,Artigo Publicado,A moda como dispositivo da memória no espaço museológico,2021.0,,,,"Revista de Ensino em Artes, Moda e Design",,,"Diêgo Jorge Lobato Ferreira (FERREIRA, DIÊGO JORGE LOBATO), ALMEIDA CUNHA ARANTES, PRISCILA (ALMEIDA CUNHA ARANTES, PRISCILA)"
3380086125867975,31052024,Artigo Publicado,Quando as imagens me encontram,2023.0,,,,"PIXO - Revista de Arquitetura, Cidade e Contemporaneidade",,,"Diêgo Jorge Lobato Ferreira (FERREIRA, DIÊGO JORGE LOBATO)"
3573059727962827,23052024,Artigo Publicado,Polysaccharides present in cultivated Teloschistes flavicans symbiosis: Comparison with those of the thallus,2008.0,,,,Plant Physiology and Biochemistry (Paris),,,"RUTHES, A (RUTHES, A), Dirce Leimi Komura (KOMURA, D. L.), CARBONERO, E (CARBONERO, E), CORDEIRO, L (CORDEIRO, L), REIS, R (REIS, R), SASSAKI, G (SASSAKI, G), GORIN, P (GORIN, P), IACOMINI, M (IACOMINI, M)"
3573059727962827,23052024,Artigo Publicado,Lentinus edodes heterogalactan: Antinociceptive and anti-inflammatory effects,2008.0,,,,Food Chemistry,,,"CARBONERO, E (CARBONERO, E), IACOMINI, M (IACOMINI, M), GRACHER, A (GRACHER, A), Dirce Leimi Komura (KOMURA, D. L.), MARCON, R (MARCON, R), FREITAS, C (FREITAS, C), BAGGIO, C (BAGGIO, C), SANTOS, A (SANTOS, A), TORRI, G (TORRI, G), GORIN, P (GORIN, P)"
3573059727962827,23052024,Artigo Publicado,The origin of mannans found in submerged culture of basidiomycetes,2010.0,,,,Carbohydrate Polymers,,,"Dirce Leimi Komura (KOMURA, D. L.), Andrea Caroline Ruthes (RUTHES, A. C.), Elaine Rosechrer Carbonero (CARBONERO, E. R.), Giovana Alquini (ALQUINI, G.), Moira Caroline Costa Rosa (ROSA, M. C. C.), Guilherme L. Sassaki (SASSAKI, G. L.), Marcello Iacomini (IACOMINI, M.)"
3573059727962827,23052024,Artigo Publicado,Structural characterization of the uncommon polysaccharides obtained from Peltigera canina photobiont Nostoc muscorum,2010.0,,,,Carbohydrate Polymers,,,"Ruthes, Andrea C. (Ruthes, Andrea C.), Dirce Leimi Komura (KOMURA, D. L.), Carbonero, Elaine R. (Carbonero, Elaine R.), Sassaki, Guilherme L. (Sassaki, Guilherme L.), Gorin, Philip A.J. (Gorin, Philip A.J.), Iacomini, Marcello (Iacomini, Marcello)"
3573059727962827,23052024,Artigo Publicado,Yeasts found on an ephemeral reproductive caste of the leaf-cutting ant Atta sexdens rubropilosa,2014.0,,,,Antonie van Leeuwenhoek (Gedrukt),,,"ARCURI, SILVIO LOVATO (ARCURI, SILVIO LOVATO), PAGNOCCA, FERNANDO CARLOS (PAGNOCCA, FERNANDO CARLOS), DA PAIXÃO MELO, WEILAN GOMES (DA PAIXÃO MELO, WEILAN GOMES), NAGAMOTO, NILSON SATORU (NAGAMOTO, NILSON SATORU), Dirce Leimi Komura (KOMURA, DIRCE LEIMI), RODRIGUES, ANDRE (RODRIGUES, ANDRE)"
3573059727962827,23052024,Artigo Publicado,Water-soluble polysaccharides from Pleurotus ostreatus var. florida mycelial biomass,2014.0,,,,International Journal of Biological Macromolecules,,,"Dirce Leimi Komura (KOMURA, DIRCE L.), Ruthes, Andrea C. (Ruthes, Andrea C.), Carbonero, Elaine R. (Carbonero, Elaine R.), Gorin, Philip A.J. (Gorin, Philip A.J.), Iacomini, Marcello (Iacomini, Marcello)"
3573059727962827,23052024,Artigo Publicado,Structure of Agaricus spp. fucogalactans and their anti-inflammatory and antinociceptive properties,2010.0,,,,Bioresource Technology,,,"Dirce Leimi Komura (KOMURA, DIRCE L.), Carbonero, Elaine R. (Carbonero, Elaine R.), Gracher, Ana Helena P. (Gracher, Ana Helena P.), Baggio, Cristiane H. (Baggio, Cristiane H.), Freitas, Cristina S. (Freitas, Cristina S.), Marcon, Rodrigo (Marcon, Rodrigo), Santos, Adair R.S. (Santos, Adair R.S.), Gorin, Philip A.J. (Gorin, Philip A.J.), Iacomini, Marcello (Iacomini, Marcello)"
3573059727962827,23052024,Artigo Publicado,Structure and antinociceptive effects of &#946;-d-glucans from Cookeina tricholoma,2016.0,,,,Carbohydrate Polymers,,,"MORENO, ROBERTA B. (MORENO, ROBERTA B.), Ruthes, Andrea C. (Ruthes, Andrea C.), Baggio, Cristiane H. (Baggio, Cristiane H.), VILAPLANA, FRANCISCO (VILAPLANA, FRANCISCO), Dirce Leimi Komura (KOMURA, DIRCE L.), Iacomini, Marcello (Iacomini, Marcello)"
3573059727962827,23052024,Artigo Publicado,Filling in the gaps of the papilionoid legume phylogeny: The enigmatic Amazonian genus Petaladenium is a new branch of the early-diverging Amburaneae clade,2015.0,,,,Molecular Phylogenetics and Evolution (Print),,,"CARDOSO, DOMINGOS (CARDOSO, DOMINGOS), LEWIS, GWILYM (LEWIS, GWILYM), PENNINGTON, R. TOBY (PENNINGTON, R. TOBY), DE QUEIROZ, LUCIANO PAGANUCCI (DE QUEIROZ, LUCIANO PAGANUCCI), SÃO-MATEUS, WALLACE M.B. (SÃO-MATEUS, WALLACE M.B.), DA CRUZ, DAIANE TRABUCO (DA CRUZ, DAIANE TRABUCO), ZARTMAN, CHARLES E. (ZARTMAN, CHARLES E.), Dirce Leimi Komura (KOMURA, DIRCE L.), KITE, GEOFFREY (KITE, GEOFFREY), PRENNER, GERHARD (PRENNER, GERHARD), WIERINGA, JAN J. (WIERINGA, JAN J.), CLARK, ALEXANDRA (CLARK, ALEXANDRA)"
3573059727962827,23052024,Artigo Publicado,Unexplored Amazonian diversity: rare and phylogenetically enigmatic tree species are newly collected,2015.0,,,,Neodiversity (Feira de Santana),,,"Domingo Cardoso (CARDOSO, D.), Jefferson G. Carvalho-Sobrinho (CARVALHO-SOBRINHO, J. G.), Charles Eugene Zartman (ZARTMAN, C. E.), Dirce Leimi Komura (KOMURA, D. L.), Luciano Paganucci de Queiroz (QUEIROZ, L. P.)"
3573059727962827,23052024,Artigo Publicado,Marasmius calvocystidiatus sp. nov. and M. horridulus (Marasmiaceae): characterization of two unusual species from central Amazonia,2016.0,,,,Phytotaxa (on-line),,,"Dirce Leimi Komura (KOMURA, DIRCE L.), OLIVEIRA, JADSON J. S. DE (OLIVEIRA, JADSON J. S. DE), MONCALVO, JEAN-MARC (MONCALVO, JEAN-MARC), MARGARITESCU, SIMONA (MARGARITESCU, SIMONA), ZARTMAN, CHARLES E. (ZARTMAN, CHARLES E.)"
3573059727962827,23052024,Artigo Publicado,"How do seasonality, substrate and management history influence macrofungal fruiting assemblages in a central Amazonian Forest?",2017.0,,,,BIOTROPICA,,,"Dirce Leimi Komura (KOMURA, D. L.), Jean-Marc Moncalvo (MONCALVO, J.M.), Cristian de Sales Dambros (DAMBROS, C. S.), Larissa Santos Bento (BENTO, L. S.), Maria Alice Neves (NEVES, M. A.), Charles Eugene Zartman (ZARTMAN, C. E.)"
3573059727962827,23052024,Artigo Publicado,"<p>Sarcodon atroviridis </em>sensu lato, a stipitate hydnoid from Amazonian campinarana, Roraima, Brazil</p>",2015.0,,,,"CHECK LIST, JOURNAL OF SPICIES LIST AND DISTRIBUTION",,,"Dirce Leimi Komura (KOMURA, DIRCE LEIMI), WARTCHOW, FELIPE (WARTCHOW, FELIPE), ZARTMAN, CHARLES E. (ZARTMAN, CHARLES E.)"
3573059727962827,23052024,Artigo Publicado,"<p>Six new species of Tetrapyrgos</em> (Basidiomycota, Agaricales, Marasmiaceae) from the Brazilian Amazon</strong></p>",2020.0,,,,Phytotaxa (on-line),,,"Dirce Leimi Komura (KOMURA, D. L.), Jadson José Sousa Oliveira (OLIVEIRA, J. J. S.), Jean-Marc Moncalvo (MONCALVO, J.M.), Simona Margaritescu (MARGARITESCU, S.), Charles Eugene Zartman (ZARTMAN, C. E.)"
