numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1.15754E+15,11062024,Artigo Publicado,Ricina: Um Impasse para Utillização da Torta de Mamona e suas Aplicações,2007,,,,DOCUMENTOS( EMBRAPA ALGODÃO),,,"Lucia Vieira Hoffmann (HOFFMANN, L. V.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), everaldo (MEDEIROS, E. P de), SOARES, L.V(LIIV SEVERINO sOARES) (SOARES, L. S.)"
1.15754E+15,11062024,Artigo Publicado,USO DE METODOLOGIA CIENTÍFICA EM JOVENS DE ENSINO MÉDIO DESPERTANDO O INTERESSE PELA PESQUISA,2011,,,,Educação Agrícola Superior,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), PRISCILA (MEDEIROS, P. V. Q de), RICHARDSON (MELO, R. S. de S.), rodrigo (PEREIRA, R. G.)"
1.15754E+15,11062024,Artigo Publicado,SSR markers to detect gene flow from upland to mocó cotton,2012,,,,Revista ciência agronômica (UFC. Online),,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), PAULO (BARROSO, P. A. V.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), Milena (ALVES, M. F.), Francisco P de Andrade (ANDRADE, F. P.)"
1.15754E+15,11062024,Artigo Publicado,Efeito da salinidade sobre a germinação de acessos de meloeiro,2011,,,,Proceedings of the Tropical Region - American Society for Horticultural Science,,,"Livia (MAIA, L. K. R.), HAMILTON (FILHO, J. H. C), GABRIEL (COSTA, G. G.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), ALEXIS (MEDEIROS, A. C.), GLAUBER (NUNES, G. H. S.), FERNANDO (ARAGÃO, F. A. de S.)"
1.15754E+15,11062024,Artigo Publicado,CARACTERIZAÇÃO MOLECULAR DE ACESSOS DE MELÃO COLETADOS NO NORDESTE BRASILEIRO,2012,,,,Revista Brasileira de Fruticultura,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), GLAUBER (NUNES, G. H. S.), iona (ARAÚJO, I. S.), LEIDIANE (ALBUQUERQUE, L. B.)"
1.15754E+15,11062024,Artigo Publicado,Diversity of Melon Accessions from Northeastern Brazil and Their Relationships with Germplasms of Diverse Origins,2015,,,,Journal of the American Society for Horticultural Science,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Ioná Santos Araújo Holanda (HOLANDA, I. S. A.), Cristina Esteras (ESTERAS, C.), GLAUBER (NUNES, G. H. S.), María Belén Picó (PICO, M. B.)"
1.15754E+15,11062024,Artigo Publicado,DIAGNÓSTICO ESPACIAL DA ARBORIZAÇÃO URBANA DE SÃO RAIMUNDO  DAS MANGABEIRAS - MA,2020,,,,revista educare,,,"Ivany Pereira dos Santos (SANTOS, I. P.), RICHARDSON (MELO, R. S. de S.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.)"
1.15754E+15,11062024,Artigo Publicado,CARACTERIZAÇÃO MORFOLÓGICA DE CAJUÍ (ANACARDIUM SP.) DO CERRADO SUL MARANHENSE.,2021,,,,ACTA TECNOLÓGICA,,,"Ana Carolina de Assis Dantas (DANTAS, ANA CAROLINA DE ASSIS), FRANÇA, KAELLY DE MARIA ALVES (FRANÇA, KAELLY DE MARIA ALVES), SOUSA, LAYLA FERNANDA CAMARA (SOUSA, LAYLA FERNANDA CAMARA), ROCHA, LUIS FERNANDO CAMARA SOUSA (ROCHA, LUIS FERNANDO CAMARA SOUSA), MELO, RICHARDSON SOARES DE SOUZA (MELO, RICHARDSON SOARES DE SOUZA)"
1.15754E+15,11062024,Artigo Publicado,Genetic control of quality melon traits,2023,,,,CIÊNCIA RURAL,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Anânkia de Oliveira Ricarte (RICARTE, A. O.), jose maria (COSTA, J. M. da), Rafaela Priscila Antonio (ANTONIO, R. P.), Francisco Linco de Souza Tomaz (TOMAZ, F. L. S.), Glauber Henrique de Sousa Nunes (NUNES, G. H. S.)"
1.15754E+15,11062024,Artigo Publicado,Screening a variable germplasm collection of Cucumis melo L. for seedling resistance to Macrophomina phaseolina,2015,,,,Euphytica (Wageningen),,,"Márcia Michelle de Queiroz AMBRÓSIO (AMBROSIO, M. M. Q.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Eva Martínez-Perez (MARTINEZ-PEREZ, E.), ALEXIS (MEDEIROS, A. C.), GLAUBER (NUNES, G. H. S.), María Belén Picó (PICO, M. B.)"
