numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3147835299657656,20042023,Artigo Publicado,Vinculação afetiva a quintais urbanos do Nordeste Brasileiro,2015.0,,,,Espacios (Caracas),,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Denis Barros de Carvalho (CARVALHO, D. B.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Artigo Publicado,"Composição, Uso Potencial E Gerenciamento De Recursos Vegetais Em Um Tipo De Sistema Agroflorestal Como Estratégia De Manutenção E Conservação",2020.0,,,,"Fronteiras: Journal of Social, Technological and Environmental Science",,,"Karen Veloso Ribeiro (RIBEIRO, K.V.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Artigo Publicado,A flora e fauna úteis de pescadores artesanais.,2010.0,,,,SAPIÊNCIA (FAPEPI. IMPRESSO),,,"Rosemary da Silva Sousa (SOUSA, R. da S.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
8635822084355007,23052024,Artigo Publicado,POLÍTICAS PÚBLICAS PARA A PROMOÇÃO DO TURISMO E DA CULTURA DO BUMBA MEU BOI,2024.0,,,,CULTUR: REVISTA DE CULTURA E TURISMO,,,"Antônio Jorlan Soares de Abreu (ABREU, Antonio Jorlan Soares de.), André Riani Costa Perinotto (PERINOTTO, A. R. C.)"
5180636601720520,20042023,Artigo Publicado,Aspectos da Disponibilidade e dos Usos da água na Bacia do Rio Bacanga/Ilha do Maranhão(I. de São Luís)-MA,2006.0,,,,Boletim do Laboratório de Hidrobiologia,,,"Cristiano Jackson da Costa Coelho (COELHO, C. J. C.;COELHO, CRISTIANO JACKSON DA COSTA), Eduardo Damázio (DAMÁZIO, E.)"
5180636601720520,20042023,Artigo Publicado,"Isolation, Culture and Differentiation Potential of Collared Peccary (Tayassu tajacu) Adipose-Derived Stem Cells",2014.0,,,,Acta Scientiae Veterinariae (Online),,,"Gerson Tavares Pessoa (PESSOA, G. T.), Maria Acelina Martins de Carvalho (CARVALHO, M. A. M.), Matheus Levi Tajra Feitosa (FEITOSA, M. L. T.), Napoleão Martins Argolo Neto (ARGOLO NETO, N. M.), Andressa Rego da Rocha (ROCHA, A. R.), Clautina Ribeiro de Moraes da Costa (COSTA, C. R. M.), Gustavo Cardoso da Silva (SILVA, G. C.), Dayseanny de Oliveira Bezerra (BEZERRA, D. O.), Cristiano Jackson da Costa Coelho (COELHO, C. J. C.;COELHO, CRISTIANO JACKSON DA COSTA), Simony Silva Sousa (SOUSA, S. S.)"
5180636601720520,20042023,Artigo Publicado,CORRELATION BETWEEN SCIENTIFIC PUBLICATIONS AND PATENTS WITH INDUCED PLURIPOTENT STEM CELLS (iPS): BASIS FOR A TECHNOLOGICAL FORECASTING,2014.0,,,,"Revista GEINTEC: gestao, inovacao e tecnologias",,,"Cristiano Jackson da Costa Coelho (COELHO, C. J. C.;COELHO, CRISTIANO JACKSON DA COSTA), CARVALHO, Y. K. P. (CARVALHO, Y. K. P.), SILVA, M. A. (SILVA, M. A.), MARQUES, L. G. A. (MARQUES, L. G. A.), SANTOS, M. R. M. C. (SANTOS, M. R. M. C.), Maria Acelina Martins de Carvalho (CARVALHO, M. A. M.)"
5180636601720520,20042023,Artigo Publicado,"AVALIAÇÃO DA SUSTENTABILIDADE HÍDRICA QUANTITATIVA NA PORÇÃO HIDROGRÁFICA DA BACIA DO RIO PARNAÍBA EM TIMON, MARANHÃO",2018.0,,,,Revista Gestão e Sustentabilidade Ambiental,,,"SILVA, TIAGO RODRIGUES DA (SILVA, TIAGO RODRIGUES DA), BARBOSA, BEATRIZ BACELAR (BARBOSA, BEATRIZ BACELAR), Cristiano Jackson da Costa Coelho (COELHO, CRISTIANO JACKSON DA COSTA)"
5180636601720520,20042023,Artigo Publicado,"Unidades de Conservação no Brasil: um enfoque para a Região dos Cocais, no Leste Maranhense",2020.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"Beatriz Bacelar Barbosa (BARBOSA, B. B.), Cristiano Jackson da Costa Coelho (COELHO, C. J. C.), Lorran André Moraes (MORAES, L. A.), Leilson Alves Dos Santos (SANTOS, L. A.)"
5180636601720520,20042023,Artigo Publicado,"ANÁLISE DE ASPECTOS HIDROLÓGICOS DAS SUB-BACIAS DO PARNAÍBA E ITAPECURU EM TIMON, MA",2018.0,,,,Ravista Geonorte,,,"SILVA, TIAGO RODRIGUES DA (SILVA, TIAGO RODRIGUES DA), Cristiano Jackson da Costa Coelho (COELHO, CRISTIANO JACKSON DA COSTA)"
5681003804521683,5052022,Artigo Publicado,ANÁLISE EXPERIMENTAL E NUMÉRICA DE VIGAS DE CONCRETO ARMADO REFORÇADAS AO CISALHAMENTO COM LAMINADOS DE CFRP,2013.0,,,,CADERNOS DE ENGENHARIA DE ESTRUTURAS (ONLINE),,,"Danilo Mascarenhas Prado (PRADO, D. M.), HAACH, VLADIMIR G. (HAACH, VLADIMIR G.)"
