numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
7263871448497310,5042024,Artigo Publicado,CARCINICULTURA NO ESTADO DO MARANHÃ?O: EVOLUÃ?Ã?O E PERSPECTIVAS FUTURAS,2023.0,,,,REVISTA BRASILEIRA DE ENGENHARIA DE PESCA / BRAZILIAN JOURNAL OF FISHING ENGINEERING,,,"MACHADO FERREIRA, MATHEUS WILLY (MACHADO FERREIRA, MATHEUS WILLY), Santos, Jadson Pinheiro (Santos, Jadson Pinheiro), SANTOS FERREIRA, ACHILLES NINA (SANTOS FERREIRA, ACHILLES NINA), Bruna Larissa Ferreira de Carvalho (Ferreira de Carvalho, Bruna Larissa), CAVALCANTE BEZERRA, JOÃO HENRIQUE (CAVALCANTE BEZERRA, JOÃO HENRIQUE), SILVA DE BRITO, PÂMELLA (SILVA DE BRITO, PÂMELLA), GUIMARÃES, ERICK CRISTOFORE (GUIMARÃES, ERICK CRISTOFORE), SOUSA SOARES, JESSICA ADRIANE LEITE (SOUSA SOARES, JESSICA ADRIANE LEITE), SANTOS DE CASTRO, CLAÚDIO URBANO (SANTOS DE CASTRO, CLAÚDIO URBANO), DE ANDRADE, THALLES PASSOS (DE ANDRADE, THALLES PASSOS)"
2660500676381170,9042024,Artigo Publicado,Kierkegaard: Entre a angústia e o desespero de se tornar autêntico,2014.0,,,,Revista Húmus,,,"Leonardo Silva Sousa (SOUSA, L.S.)"
2660500676381170,9042024,Artigo Publicado,Educomunicação: Um novo olhar sobre os meios de comunicação,2013.0,,,,Múltiplos Olhares em Ciência da Informação,,,"Juliana Rabelo do Carmo (CARMO, Juliana Rabelo do), Leonardo Silva Sousa (SOUSA, L.S.)"
2660500676381170,9042024,Artigo Publicado,"Entre a sedução e o sonho: uma leitura de 'O homem dos sonhos', de Mário de Sá-Carneiro à luz da filosofia de Soren Kierkegaard",2016.0,,,,FRAGMENTUM (UFSM),,,"Leonardo Silva Sousa (SOUSA, L.S.), Márcia Manir Miguel Feitosa (FEITOSA, M. M. M.)"
2660500676381170,9042024,Artigo Publicado,'A CARTA A D?ALEMBERT: CRÍTICA AO ESPETÁCULO E AMOR PELA PÁTRIA POR JEAN-JACQUES ROUSSEAU',2018.0,,,,SABERES (NATAL),,,"Leonardo Silva Sousa (SOUSA, L. S.), Luciano da Silva Façanha (FAÇANHA, S. L.)"
2660500676381170,9042024,Artigo Publicado,É PREFERÍVEL A ANGÚSTIA DA BUSCA À PAZ DA ACOMODAÇÃO: KIERKEGAARD E O EXERCÍCIO DA SINGULARIDADE,2018.0,,,,TRILHAS FILOSÓFICAS (ONLINE),,,"Leonardo Silva Sousa (SOUSA, L. S.), Kamila Fernanda Barbosa Sampaio (SAMPAIO, K. F. B.)"
2660500676381170,9042024,Artigo Publicado,ANGÚSTIA E DESESPERO COMO POSSIBILIDADE DE CONSTRUÇÃO DA EXISTÊNCIA HUMANA A PARTIR DA FILOSOFIA DE SÖREN KIERKEGAARD,2018.0,,,,CONJECTURA: FILOSOFIA E EDUCAÇÃO (UCS),,,"FAÇANHA, LUCIANO DA SILVA (FAÇANHA, LUCIANO DA SILVA), Leonardo Silva Sousa (SOUSA, LEONARDO SILVA)"
2660500676381170,9042024,Artigo Publicado,Do desespero à fragmentação da vida:,2020.0,,,,TRILHAS FILOSÓFICAS (ONLINE),,,"Leonardo Silva Sousa (SOUSA, LEONARDO SILVA)"
2660500676381170,9042024,Artigo Publicado,DIÁLOGOS SOBRE A ESTÉTICA NA CONTEMPORANEIDADE: A BELEZA DOS CULTOS ÀS ENTIDADES E AO ESPÍRITO SANTO EM SÃO LUÍS-MA,2021.0,,,,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,,,"FAÇANHA, LUCIANO DA SILVA (FAÇANHA, LUCIANO DA SILVA), aynara Pereira Silveira (SILVEIRA, A. P.), ana caroline amorim oliveira ) (OLIVEIRA , A. C. A.), Conceição de Maria Belfort (BELFORT, C. M.), Zilmara de Jesus Viana de Carvalho (CARVALHO, Z. J. V.), Kamila Fernanda Barbosa Sampaio (SAMPAIO, K. F. B.), Leonardo Silva Sousa (SOUSA, LEONARDO SILVA)"
2660500676381170,9042024,Artigo Publicado,LEITURA COMO EXPERIÊNCIA CRÍTICA E EMANCIPATÓRIA: PROPOSIÇÃO À CONSTRUÇÃO DO LEITOR-PROBLEMATIZADOR COM A LITERATURA E A FILOSOFIA,2023.0,,,,AFLUENTE,,,"Leonardo Silva Sousa (SOUSA, LEONARDO SILVA), Ana patricia sá martins (SÁ MARTINS)"
