numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3805487333774491,9042024,Artigo Publicado,Determination of &#945;-Lipoic acid on a Pyrolytic Graphite Electrode Modified with Cobalt Phthalocyanine,2014.0,,,,ELECTROANALYSIS,,,"FERREIRA, ANA PAULA M. (FERREIRA, ANA PAULA M.), Laise Nayra dos Santos Pereira (DOS'SANTOS'PEREIRA, LAISE N.), DA'SILVA, IRANALDO SANTOS (DA'SILVA, IRANALDO SANTOS), TANAKA, SÔNIA M. C. N. (TANAKA, SÔNIA M. C. N.), TANAKA, AURO A. (TANAKA, AURO A.), ANGNES, LÚCIO (ANGNES, LÚCIO)"
3805487333774491,9042024,Artigo Publicado,Fast quantification of &#945;-lipoic acid in biological samples and dietary supplements using batch injection analysis with amperometric detection,2016.0,,,,TALANTA,,,"Laise Nayra dos Santos Pereira (SANTOS PEREIRA, LAISE NAYRA DOS), DA SILVA, IRANALDO SANTOS (DA SILVA, IRANALDO SANTOS), ARAÚJO, THAYLAN PINHEIRO (ARAÚJO, THAYLAN PINHEIRO), TANAKA, AURO ATSUSHI (TANAKA, AURO ATSUSHI), ANGNES, LÚCIO (ANGNES, LÚCIO)"
3805487333774491,9042024,Artigo Publicado,Development of nanoparticulate systems with action in breast and ovarian cancer: nanotheragnostics,2018.0,,,,JOURNAL OF DRUG TARGETING,,,"SOUSA CUNHA, FABIANA DE (SOUSA CUNHA, FABIANA DE), Laise Nayra dos Santos Pereira (PEREIRA, LAISE NAYRA DOS SANTOS), SILVA, THÂMARA PRYSCILLA DE COSTA E (SILVA, THÂMARA PRYSCILLA DE COSTA E), LUZ, ROBERTO ALVES DE SOUSA (LUZ, ROBERTO ALVES DE SOUSA), NOGUEIRA MENDES, ANDERSON (NOGUEIRA MENDES, ANDERSON)"
3805487333774491,9042024,Artigo Publicado,Gold Supported on Strontium Surface-Enriched CoFe2O4 Nanoparticles: a Strategy for the Selective Oxidation of Benzyl Alcohol,2019.0,,,,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE),,,"Laise Nayra dos Santos Pereira (PEREIRA, LAISE), RIBEIRO, CARLOS (RIBEIRO, CARLOS), TOFANELLO, ARYANE (TOFANELLO, ARYANE), COSTA, JEAN (COSTA, JEAN), DE MOURA, CARLA (DE MOURA, CARLA), GARCIA, MARCO (GARCIA, MARCO), DE MOURA, EDMILSON (DE MOURA, EDMILSON)"
3805487333774491,9042024,Artigo Publicado,Au-Pd selectivity-switchable alcohol-oxidation catalyst: controlling the duality of the mechanism using a multivariate approach,2019.0,,,,ChemCatChem,,,"MELO, ITACIARA E. M. DA S. (MELO, ITACIARA E. M. DA S.), DE SOUSA, SAMUEL A. A. (DE SOUSA, SAMUEL A. A.), Laise Nayra dos Santos Pereira (PEREIRA, LAÍSE N. DOS S.), OLIVEIRA, JEFFERSON M. (OLIVEIRA, JEFFERSON M.), CASTRO, KARLA P. R. (CASTRO, KARLA P. R.), COSTA, JEAN C. S. (COSTA, JEAN C. S.), DE MOURA, EDMILSON M. (DE MOURA, EDMILSON M.), DE MOURA, CARLA V. R. (DE MOURA, CARLA V. R.), GARCIA, MARCO AURELIO SULLER (GARCIA, MARCO AURELIO SULLER)"
3805487333774491,9042024,Artigo Publicado,Screening of the Au:Pt atomic ratio supported in SrCO3: effects on the performance of the solvent-free oxidation of benzyl alcohol,2020.0,,,,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE),,,"Francisco Samuel S L Batista (BATISTA, F. S. S. L.), Marco Aurélio Suller Garcia (GARCIA, M. A. S.), Edimilson Miranda de Moura (MOURA, E. M.), MELO, ITACIARA E. M. DA S. (MELO, ITACIARA E. M. DA S.), Laise Nayra dos Santos Pereira (PEREIRA, LAÍSE N. DOS S.), Alexia G. P. Lima (LIMA, A. G. P.), Ali H. Bashal (BASHAL, A. H.), Jean Claudio Silva Costa (COSTA, J. C. S.), Janildo L. Magalhães (MAGALHAES, J. L.), Francisco C. A. Lima (LIMA, F. C. A.), Carla Verônica Rodarte de Moura (MOURA, C. V. R)"
3805487333774491,9042024,Artigo Publicado,Accessing Basic Sites on Modified CoFe2O4 Nanoparticles: Addressing the Selective e 4 Oxidation of Benzyl Alcohol and Unraveling the Au:Pd Ratio Effects by XPS,2020.0,,,,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,,,"Laise Nayra dos Santos Pereira (PEREIRA, LAÍSE N. DOS S.), Marco Aurélio Suller Garcia (GARCIA, M. A. S.), ROZENDO, J. (ROZENDO, J.), Pedro Vidinha (VIDINHA, P.), Alfredo Duarte (DUARTE, A.), Carla Verônica Rodarte de Moura (MOURA, C. V. R), Edimilson Miranda de Moura (MOURA, E. M.)"
3805487333774491,9042024,Artigo Publicado,Reusable Heterogeneous SnO2/ZnO Catalyst for Biodiesel Production from Acidified/Acid Oils,2021.0,,,,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,,,"Daiane F Dall?Oglio (DALL?OGLIO, D. F.), Carla Verônica Rodarte de Moura (MOURA, C. V. R), Marco Aurélio Suller Garcia (GARCIA, M. A. S.), Jhonatan L. Fiorio (FIORIO, J. L.), Wiury C. de Abreu (ABREU, W. C.), Laise Nayra dos Santos Pereira (PEREIRA, L. N. S.), Adriano Braga (BRAGA, A.), DE MOURA, EDMILSON (DE MOURA, EDMILSON), Abhishek Guldhe (GULDHE, A.), Faizal Bux (BUX, F.)"
3805487333774491,9042024,Artigo Publicado,Gold Supported on Strontium Surface-Enriched CoFe2O4 Nanoparticles: a Strategy for the Selective Oxidation of Benzyl Alcohol,2019.0,,,,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE),,,"Laise Nayra dos Santos Pereira (PEREIRA, L. N. S.), Carlos Emanuel Silva Ribeiro (RIBEIRO, C. E. S.), Aryane Tofanello (TOFANELLO, A.), Jean C. S. Costa (COSTA, J. C. S.), Carla V. R. de Moura (MOURA, C. V. R.), Marco A. S. Garcia (GARCIA, M. A. S.), Edmilson M. de Moura (MOURA, E. M.)"
3805487333774491,9042024,Artigo Publicado,Correlating composition and electronic effects of self-assembled PtMo electrocatalysts for ethylene glycol oxidation: An experimental and theoretical approach,2023.0,,,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,,,"DINIZ COUTINHO, JOSÉ WILLIAM (DINIZ COUTINHO, JOSÉ WILLIAM), SILVA DE FIGUEIREDO, PATRICK BENEDITO (SILVA DE FIGUEIREDO, PATRICK BENEDITO), COLMATI, FLÁVIO (COLMATI, FLÁVIO), TOFANELLO, ARYANE (TOFANELLO, ARYANE), Laise Nayra dos Santos Pereira (NAYRA DOS SANTOS PEREIRA, LAÍSE), AZEVEDO SILVA, AUGUSTO CÉSAR (AZEVEDO SILVA, AUGUSTO CÉSAR), SULLER GARCIA, MARCO AURÉLIO (SULLER GARCIA, MARCO AURÉLIO), BATISTA DE LIMA, ROBERTO (BATISTA DE LIMA, ROBERTO)"
