numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3591530170527406,05122023,Trabalho em Evento,ANÁLISE DA AMPLIAÇÃO DO GÁS NATURAL COMO MATRIZ ENERGÉTICA-O CASO DO GASODUTO NORDESTÃO,2010,Brasil,62° REUNIÃO ANUAL DA SBPC,NATAL,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), MARIANA PESSÔA COELHO (COELHO, M. P.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,"AS COMUNIDADES DE V8, V9 E ILHA DO MARUIM: A PARTIR DA MOBILIDADE E DOS SERVIÇOS DE TRANSPORTES PÚBLICOS",2010,Brasil,62° REUNIÃO ANUAL DA SBPC,NATAL,,,,"CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), MICHEL SATURNINO BARBOZA (BARBOZA, M. S.)"
3591530170527406,05122023,Trabalho em Evento,ELABORAÇÃO DE MAPA DE USO E OCUPAÇÃO DO SOLO DO ENTORNO DO PORTO DE SUAPE ATRAVÉS DE IMAGENS DOS SENSORES HRC E CCD DO SATÉLITE CBERS,2009,Brasil,III COLÓQUIO DE TECNOLOGIAS DA GEOINFORMAÇÃO,RECIFE,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,ESTIMATIVA DO ESTRESSE HÍDRICO NO MÉDIO TRECHO DA BACIA DO IPOJUCA,2010,Brasil,II Workshop de Mudanças Climáticas e Recursos Hídricos,RECIFE,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Antônio Marcos dos Santos (SANTOS, A. M.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,Análise Comparativa de Técnicas de Fusão CBERS 2B CCD/HRC para auxiliar no Mapeamento de uso e Ocupação do Solo,2011,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Hewerton Alves da Silva (SILVA, H. A.), Liwistone Galdino da Silva (SILVA, L. G.), Daniel Rodrigues de Lira (LIRA, D. R.), Antônio Marcos dos Santos (SANTOS, A. M.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Rejane Magalhães de Mendonça Pimentel (PIMENTEL, R. M. M.)"
3591530170527406,05122023,Trabalho em Evento,"Variação da Linha de Costa da Praia do Janga/Paulista-PE,",2011,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Hewerton Alves da Silva (SILVA, H. A.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Valdir do Amaral Vaz Manso (MANSO, V. A. V.)"
3591530170527406,05122023,Trabalho em Evento,Distribuição Espaço Temporal do Ecossistema Manguezal no Estuário Rio Itapessoca - Goiana-PE,2011,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Janaina Barbosa da Silva (SILVA, J. B.), Daniel Rodrigues de Lira (LIRA, D. R.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Maria Fernanda Abrantes Torres (TORRES, M. F. A.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Hewerton Alves da Silva (SILVA, H. A.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Juliana Lyra Teixeira (TEIXEIRA, J. P.), Dinah Maria da Paz (PAZ, D. M.)"
3591530170527406,05122023,Trabalho em Evento,Mapeamento do estresse hídrico na vegetação a partir da utilização do NDWI: comparação com a adaptação da metodologia australiana MWSP aplicada ao médio trecho da Bacia Hidrográfica do Ipojuca-PE,2011,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Lucielle Silva Laurentino (LAURENTINO, L. S.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Hewerton Alves da Silva (SILVA, H. A.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,Geoprocessamento aplicado na gestão do patrimônio histórico: um estudo de caso no município de Igarassu-PE.,2012,Brasil,VI Geonordeste - Simpósio Regional de Geoprocessamento e Sensoriamento Remoto,Aracaju - SE,,,,"CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.)"
3591530170527406,05122023,Trabalho em Evento,Identificação de feições morfológicas de praias através de Imagens de Satélite Quickbird,2013,Brasil,XVI Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Foz do Iguaçu - PR,,,,"Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), RENÊ JOSÉ ARRUDA DE MACEDO (MACEDO, R. J. A.), Hewerton Alves da Silva (SILVA, H. A.), EDUARDO PAES BARRETO (BARRETO, E. P.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Valdir do Amaral Vaz Manso (MANSO, V. A. V.)"
3591530170527406,05122023,Trabalho em Evento,"Baixo curso do rio Capibaribe, Recife&#8208;PE: Avaliação da desestruturação ambiental do manguezal, em área urbana",2013,Brasil,XVI Simpósio Brasileiro de Sensoriamento Remoto ? SBSR,Foz do Iguaçu - PR,,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Hewerton Alves da Silva (SILVA, H. A.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Maria Fernanda Abrantes Torres (TORRES, M. F. A.)"
3591530170527406,05122023,Trabalho em Evento,"Análise da dinâmica da degradação ambiental no uso das terras entre os anos de 1989 a 2007, nas áreas entorno do Complexo Industrial e Portuário de Suape",2013,Brasil,XVI Simpósio Brasileiro de Sensoriamento Remoto ? SBSR,Foz do Iguaçu - PR,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.), josé lourenço soares brandão neto (BRANDAO NETO, J. L. S.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,A ANALISE DO GEOPOTENCIAL A FRUTICULTURA DO ABACAXI NA MICRORREGIÃO DE ARARIPINA FRENTE AO CENÁRIO B2 DE MUDANÇAS CLIMÁTICAS,2015,Brasil,"XV Jornada de Ensino, Pesquisa e Extensão da UFRPE",Recife,,,,"Jadson Freire da Silva (SILVA, J. F.), Pedro dos Santos Ferreira (FERREIRA, P. S.), Viviane Pedroso Gomes (GOMES, V. P.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Trabalho em Evento,"O Núcleo de desertificação de Cabrobó de fato existe? Vegetação, sensoriamento remoto e conservação",2018,Brasil,3° Encontro de Biologia Vegetal,Recife,,,,"Katarina Romenia Pinheiro Nascimento (NASCIMENTO, K. R. P.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Marccus alves (ALVES, M.)"
3591530170527406,05122023,Trabalho em Evento,Desenvolvimento de parâmetros de vegetação para as grandes e pequenas culturas usando os modelos SWAT e APEX em estudos nos biomas brasileiros (CAPES PVE A103/2013),2017,Brasil,VIII Workshop de Mudanças Climáticas e Recursos Hídricos do Estado de Pernambuco / V Workshop Internacional de Mudanças Climáticas e Biodiversidade (VIII WMCRHPE / V WIMB),Recife,,,,"JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Magna Soelma Beserra de Moura (MOURA, M. S. B.), MIRANDA, RODRIGO DE QUEIROGA (MIRANDA, RODRIGO DE QUEIROGA), YENÊ M. PAZ (PAZ, Y. M.), L. M. A. FRANCA (FRANCA, L. M. A.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), C. E. S. LIMA (LIMA, C. E. S.), E. L. R. SILVA (SILVA, E. L. R.), T. O. SANTOS (SANTOS, T. O.), V. B. S. ALBUQUERQUE (ALBUQUERQUE, V. B. S.), R. H. O. SILVA (SILVA, R. H. O.), Maria do Socorro Beserra (BESERRA, M. S.), Viviane Pedroso Gomes (GOMES, V. P.), Z. F. LOPES (LOPES, Z. F.), A. P. SILVA JUNIOR (SILVA JUNIOR, A. P.), A. G. SENA (SENA, A. G.), ygor cristiano brito morais (MORAIS, Y. C. B.), J. N. B. SILVA (SILVA, J. N. B.), Jadson Freire da Silva (SILVA, J.F), M. C. G. LIMA (LIMA, M. C. G.), P. V. S. BRITO (BRITO, P. V. S.), P. P. L. SILVA (SILVA, P. P. L.), WERÔNICA MEIRA DE SOUZA (SOUZA, W. M.), Aldenice Correia Lacerda (LACERDA, A. C.), Valéria Sandra de Oliveira Costa (COSTA, V. S. O.), S. M. G. L. montenegro (MONTENEGRO, S. M. G. L.), D. A. BRESSIANI (BRESSIANI, D. A.), Charles Allan Jones Raghavan-Srinivasan (RAGHAVAN-SRINIVASAN, C. A. J.), M. B. G. S. FREIRE (FREIRE, M. B. G. S.), J. G.  FERNANDES (FERNANDES, J. G.)"
3591530170527406,05122023,Artigo Publicado,A metodologia de escopo global MWSP aplicada no âmbito local para análise do estresse hidrológico no médio trecho da bacia do Ipojuca- PE: uma contribuição à temática da transposição do rio São Francisco,2011,,,,REVISTA BRASILEIRA DE GEOGRAFIA FÍSICA,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Artigo Publicado,Identificação das áreas susceptíveis a processos de desertificação no médio trecho da bacia do Ipojuca - PE através do mapeamento do estresse hídrico da vegetação e da estimativa do índice de aridez,2011,,,,REVISTA BRASILEIRA DE GEOGRAFIA FÍSICA,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Artigo Publicado,Water consumption irrigation for banana farming in edaphoclimatic conditions of the stream of Pontal basin in Semiarid of Pernambuco,2015,,,,Revista Brasileira de Geografia Física,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), ygor cristiano brito morais (MORAIS, Y. C. B.), Jadson Freire da Silva (SILVA, J. F.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Artigo Publicado,Space-Time Analysis of Environmental Changes and your Reflection on the Development of Phenological of Vegetation of Mangrove,2015,,,,JOURNAL OF AGRICULTURE AND ENVIRONMENTAL SCIENCES,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), josé lourenço soares brandão neto (BRANDAO NETO, J. L. S.), ygor cristiano brito morais (MORAIS, Y. C. B.)"
3591530170527406,05122023,Artigo Publicado,Estimativa do Estresse HidrolÃ³gico na Bacia HidrogrÃ¡fica do Riacho do Pontal-PE / Hydrological stress estimate in Pontal watershed-PE,2016,,,,Caderno de Geografia,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), MIRANDA, RODRIGO DE QUEIROGA (MIRANDA, RODRIGO DE QUEIROGA), FERREIRA, PEDRO DOS SANTOS (FERREIRA, PEDRO DOS SANTOS), GOMES, VIVIANE PEDROSO (GOMES, VIVIANE PEDROSO), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,05122023,Artigo Publicado,Climatic potential of pineapple fruit growing mapping in the micro region of Araripina - PE,2015,,,,Revista Brasileira de Geografia Física,,,"Jadson Freire da Silva (SILVA, J.F), Pedro dos Santos Ferreira (FERREIRA, P. S), Viviane Pedroso Gomes (GOMES, V. P), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.;ALVES-CAVALCANTI, E.R.;ALVES-CAVALCANTI, E.R.S.;SILVA, ELISABETH REGINA ALVES CAVALCANTI;SILVA, ELISABETH REGINA ALVES CAVALCANTI da;ELISABETH REGINA ALVES;ALVES, ELISABETH REGINA), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
3591530170527406,05122023,Artigo Publicado,PRESERVAÇÃO AMBIENTAL E NOVAS TECNOLOGIAS DE MONITORAMENTO AMBIENTAL: POTENCIAL DO SENSORIAMENTO REMOTO PARA AVALIAÇÃO DA DEGRADAÇÃO AMBIENTAL EM ZONAS ESTUARINAS,2017,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Artigo Publicado,"Avaliação dos impactos ambientais na Lagoa do Araçá, Recife, Pernambuco, Brasil",2018,,,,Acta Brasiliensis,,,"MELO, JOSÉ AUGUSTO SILVA (MELO, JOSÉ AUGUSTO SILVA), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), ASSIS, DANIELLA ROBERTA SILVA DE (ASSIS, DANIELLA ROBERTA SILVA DE)"
3591530170527406,05122023,Artigo Publicado,A transformação da natureza e as potencialidades do monitoramento ambiental na Lagoa Urbana Olho D&#146;Água-PE: os desafios da complexa relação entre desenvolvimento urbano e a conservação de ambientes naturais,2017,,,,GUAJU ¿ REVISTA BRASILEIRA DE DESENVOLVIMENTO TERRITORIAL SUSTENTÁVEL,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), DE SANTANA, SIDNEY HENRIQUE CAMPELO (DE SANTANA, SIDNEY HENRIQUE CAMPELO), MELO, JOSÉ GUSTAVO DA SILVA (MELO, JOSÉ GUSTAVO DA SILVA), MENDES, SANDRA MARIA (MENDES, SANDRA MARIA), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,05122023,Artigo Publicado,ANÁLISE DA TENDÊNCIA TEMPORAL DA PRECIPITAÇÃO PLUVIOMÉTRICA INTERANUAL E INTRA-ANUAL NO SEMIÁRIDO PERNAMBUCANO,2018,,,,Revista Brasileira de Climatologia,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D), Katarina Romenia Pinheiro Nascimento (NASCIMENTO, K. R. P.), SIDNEY HENRIQUE CAMPELO DE SANTANA (SANTANA, S. H. C.), WERÔNICA MEIRA DE SOUZA (SOUZA, W. M.), Valéria Sandra de Oliveira Costa (COSTA, V. S. O.)"
3591530170527406,05122023,Artigo Publicado,"USO DA DRAMATIZAÇÃO TEATRAL, COMO FERRAMENTA MOTIVADORA, PARA O ENSINO-APRENDIZAGEM NA DISCIPLINA DE GEOGRAFIA, NA MODALIDADE DE ENSINO DE JOVENS E ADULTOS",2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Mariana da Silva Melo (MELO, M. S.), daniella roberta silva de assis (ASSIS, D. R. S.)"
3591530170527406,05122023,Artigo Publicado,Identificação dos índices de vegetação com melhores respostas espectrais para a Mata Atlântica na cidade de São Paulo-SP,2018,,,,Journal of Environmental Analysis and Progress,,,"SANTANA, SIDNEY HENRIQUE CAMPELO DE (SANTANA, SIDNEY HENRIQUE CAMPELO DE), Elisabeth Regina Alves Cavalcanti Silva (SILVA, ELISABETH REGINA ALVES CAVALCANTI), LAURENTINO, MARIA LUCIELLE SILVA (LAURENTINO, MARIA LUCIELLE SILVA), MELO, JOSÉ GUSTAVO DA SILVA (MELO, JOSÉ GUSTAVO DA SILVA), GALVÍNCIO, JOSICLÊDA DOMICIANO (GALVÍNCIO, JOSICLÊDA DOMICIANO)"
3591530170527406,05122023,Artigo Publicado,"PERCEPÇÃO DE ESTUDANTES EM MEIO AMBIENTE SOBRE OS PROBLEMAS AMBIENTAIS, ALCÂNTARA-MA",2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), Mayara Danyelle Rodrigues de Oliveira (OLIVEIRA, M. D. R.), Francisca Carla Silva de Oliveira (OLIVEIRA, F. C. S.), José Gustavo da Silva Melo (MELO, J. G. S.)"
3591530170527406,05122023,Artigo Publicado,"ESCOLA-TERRITÓRIO: DINÂMICA NA RELAÇÃO DE PODER, POR MEIO DA CONSTRUÇÃO DA TERRITORIALIZAÇÃO DO ESPAÇO GEOGRÁFICO",2018,,,,REVISTA ENSINO DE GEOGRAFIA (RECIFE),,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), Lucas Soares da Silva (SILVA, L. S.), Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.)"
3591530170527406,05122023,Artigo Publicado,Análise espaço-temporal das características do mangue urbano no estuário do Pina (Pernambuco),2018,,,,Revista Brasileira de Meio Ambiente,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.), daniella roberta silva de assis (ASSIS, D. R. S.), Jadson Freire da Silva (SILVA, J.F), José Gustavo da Silva Melo (MELO, J. G. S.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
3591530170527406,05122023,Artigo Publicado,"Avaliação do estuário do Capibaribe (Recife/Pernambuco, Brasil) acerca da degradação ambiental nos manguezais em ambientes urbanos",2018,,,,Revista Brasileira de Meio Ambiente,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.)"
3591530170527406,05122023,Artigo Publicado,Degradação socioespacial: análise dos impactos provocados pela construção do complexo hidroelétrico de Paulo Afonso,2018,,,,Revista Brasileira de Meio Ambiente,,,"José Gustavo da Silva Melo (MELO, J. G. S.), josimar Vieira dos Reis (REIS, J. V.), Jadson Freire da Silva (SILVA, J.F), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.)"
3591530170527406,05122023,Artigo Publicado,"ESTRATÉGIAS SUSTENTÁVEIS DE PRODUÇÃO TRADICIONAL DE CERÂMICA NA COMUNIDADE QUILOMBOLA DE ITAMATATIUA, ALCÂNTARA/MA",2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.), José Gustavo da Silva Melo (MELO, J. G. S.), josimar Vieira dos Reis (REIS, J. V.), Jadson Freire da Silva (SILVA, J.F), Carlos Eduardo Santos de Lima (LIMA, C. E. S.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,05122023,Artigo Publicado,PERCEPÇÃO DE ESTUDANTES DA EDUCAÇÃO BÁSICA SOBRE A IMPORTÂNCIA DAS ABELHAS PARA O MEIO AMBIENTE,2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Danilo Fernandes Dantas Moura (MOURA, D. F. D.), Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), José Gustavo da Silva Melo (MELO, J. G. S.), Mayara Danyelle Rodrigues de Oliveira (OLIVEIRA, M. D. R.), Lúcia da Silva Fontes (FONTES, L. S.)"
3591530170527406,05122023,Artigo Publicado,CONHECIMENTO AMBIENTAL DE LICENCIANDOS EM CIÊNCIAS BIOLÓGICAS DA UNIVERSIDADE FEDERAL DO PIAUÍ,2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Lucas Soares da Silva (SILVA, L. S.), Neyla Cristiane Rodrigues de Oliveira (OLIVEIRA, N. C. R.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Mayara Danyelle Rodrigues de Oliveira (OLIVEIRA, M. D. R.), José Gustavo da Silva Melo (MELO, J. G. S.), José de Ribamar Sousa Rocha (ROCHA, J. R. S.)"
3591530170527406,05122023,Artigo Publicado,JARDINS BOTÂNICOS DO RECIFE: ESTRATÉGIAS PARA A TRANSVERSALIDADE NA EDUCAÇÃO E CONSERVAÇÃO AMBIENTAL DOS ESPAÇOS NATURAIS,2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"José Gustavo da Silva Melo (MELO, J. G. S.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Ana Claudia Caminha de Melo (MELO, A. C. C.), Elizabeth Sharllyda Cantanhede Santos (SANTOS, E. S. C.), josimar Vieira dos Reis (REIS, J. V.)"
3591530170527406,05122023,Artigo Publicado,ANÁLISE MULTITEMPORAL E UTILIZAÇÃO DE MAPAS COMO FERRAMENTA PARA O MONITORAMENTO AMBIENTAL EM ESCALA DE BACIA HIDROGRÁFICA,2018,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Carlos Eduardo Santos de Lima (LIMA, C. E. S.), Elisabeth Regina Alves Cavalcanti Silva (ALVES-CAVALCANTI, E.R.S.), Daniel Dantas Moreira Gomes (GOMES, D. D. M.)"
3591530170527406,05122023,Artigo Publicado,O DESAFIO DA GESTÃO AMBIENTAL DE FLORESTAS URBANAS: ANÁLISE DA DEGRADAÇÃO AMBIENTAL DA RESERVA DE FLORESTA URBANA MATA DO JANGA-PE ATRAVÉS DE TÉCNICAS DE SENSORIAMENTO REMOTO,2018,,,,Revista Gestão e Sustentabilidade Ambiental,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.), daniella roberta silva de assis (ASSIS, D. R. S.), SIDNEY HENRIQUE CAMPELO DE SANTANA (SANTANA, S. H. C.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
3591530170527406,05122023,Artigo Publicado,AVALIAÇÃO ESPAÇO-TEMPORAL DOS IMPACTOS AMBIENTAIS PROVENIENTES DA INSTALAÇÃO DO COMPLEXO INDUSTRIAL E PORTUÁRIO DE SUAPE SOBRE SUA HINTERLÂNDIA,2018,,,,BOLETIM DE GEOGRAFIA (ONLINE),,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.), Johnny Mayron Santana Ferreira (FERREIRA, J. M. S.), Josiclêda Domiciano Galvíncio (GALVÍNCIO, J. D)"
