numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
5012476998883237,04032024,Trabalho em Evento,Uma Proposta de Metodologia para Gerenciamento de Projetos de Redes Locais Sem Fio Vinculada às Práticas do Guia PMBOK,2009,Brasil,"III Escola Regional de Computação Ceará, Maranhão e Piauí - ERCEMAPI 2009",Parnaíba,,,,"Ariel Soares Teles (TELES, A. S.), Nécio de Lima Veras (VERAS, Nécio de Lima)"
5012476998883237,04032024,Trabalho em Evento,Honeypots para Redes Sem Fio,2010,Brasil,Jornada de Informática do Maranhão - JIM,São Luís,,,,"Ariel Soares Teles (TELES, A. S.), Zair Abdelouahab (ABDELOUAHAB, Z.)"
5012476998883237,04032024,Trabalho em Evento,Infraestrutura e Aplicações de Redes Sociais Móveis para Colaboração em Saúde,2012,Brasil,XIII Congresso Brasileiro de Informática em Saúde - CBIS 2012,Curitiba - Paraná,,,,"Ariel Soares Teles (TELES, A. S.), Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Vitor Pinheiro (PINHEIRO, V.), Markus Endler (ENDLER, Markus)"
5012476998883237,04032024,Trabalho em Evento,Um Modelo de Segurança e Privacidade para Redes Sociais Móveis Aplicadas à Área da Saúde,2012,Brasil,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,Curitiba-PR,,,,"Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Ariel Soares Teles (TELES, A. S.), Francisco José da Silva e Silva (SILVA, F. J. S. E.)"
5012476998883237,04032024,Trabalho em Evento,MobileHealthNet: A Middleware for Mobile Social Networks in m-Health,2012,França,3rd International Conference on Wireless Mobile Communication and Healthcare - MobiHealth,Paris,,,,"Ariel Soares Teles (TELES, A. S.), Dejailson Nascimento Pinheiro (PINHEIRO, D. N.), Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Rômulo de Carvalho Batista (BATISTA, R. C.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Vitor Pinheiro (PINHEIRO, V.), Edward Haeusler (Haeusler, E.), Markus Endler (ENDLER, Markus)"
5012476998883237,04032024,Trabalho em Evento,MHNSS: A Middleware for Developing Speech-based Interaction Mobile Applications,2014,Brasil,XIII Simpósio Brasileiro Sobre Fatores Humanos em Sistemas Computacionais,Foz do Iguaçu - PR,,,,"Arikleyton de Oliveira Ferreira (FERREIRA, A. O.), Ariel Soares Teles (TELES, A. S.), Francisco José da Silva e Silva (SILVA, F. J. S. E.)"
5012476998883237,04032024,Trabalho em Evento,How to support the user's dynamic and contextual desires regarding privacy in UbiComp? An intersection between issues: ubiquity and privacy,2014,Brasil,XIII Simpósio Brasileiro Sobre Fatores Humanos em Sistemas Computacionais,Foz do Iguaçu - PR,,,,"Ariel Soares Teles (TELES, A.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Markus Endler (ENDLER, Markus)"
5012476998883237,04032024,Trabalho em Evento,Context-aware and user-centric triggering of mobile interventions,2016,Estados Unidos,International Society for Research on Internet interventions - 8th Scientific Meeting,"Seattle, USA",,,,"Ariel Soares Teles (Teles, Ariel Soares), Silva, Francisco José (Silva, Francisco José), Artur Rocha (ROCHA, A.), Donal O'Sullivan (OSULLIVAN, D.), J. Nelson (NELSON, J.), R. Msetfi (MSETFI, R.), João António Correia Lopes (LOPES, J. A. C.), Pepijn Van de Ven (VEN, P. V.)"
5012476998883237,04032024,Trabalho em Evento,Towards Situation-Aware Mobile Applications in Mental Health,2016,Irlanda,2016 IEEE 29th International Symposium on ComputerBased Medical Systems (CBMS),Belfast and Dublin,,,,"Ariel Soares Teles (TELES, ARIEL S.), ROCHA, ARTUR (ROCHA, ARTUR), SILVA, FRANCISCO J. (SILVA, FRANCISCO J.), LOPES, JOAO CORREIA (LOPES, JOAO CORREIA), OSULLIVAN, DONAL (OSULLIVAN, DONAL), VEN, PEPIJN VAN DE (VEN, PEPIJN VAN DE), Markus Endler (ENDLER, Markus)"
5012476998883237,04032024,Trabalho em Evento,Using Brain-Computer Interface and Internet of Things to Improve Healthcare for Wheelchair Users,2017,Espanha,"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies - UBICOMM",Barcelona,,,,"Ariel Soares Teles (TELES, ARIEL S.), Maur&#305;&#769;cio Cagy (CAGY, M.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Markus Endler (ENDLER, Markus), Victor Hugo Bastos (BASTOS, V. H.), Silmar Silva Teixeira (TEIXEIRA, S. S.)"
