numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
6097010898113537,07042024,Trabalho em Evento,INVESTIGAÇÕES SOBRE A HOSPEDAGEM BED AND BREAKFAST: UMA VISÃO DAS PESQUISAS REALIZADAS NO PERÍODO DE 1991 A 2013,2015,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Joniery Rubim de Souza (SOUZA, J. R.), Luísa Belo Cutrim (CUTRIM, L. B.), Mauro Santos (SANTOS, M.)"
6097010898113537,07042024,Trabalho em Evento,A QUALIDADE NO SERVIÇO DOS HOTÉIS NO DESTINO RIO DE JANEIRO (RJ) E O IMPACTO NA SATISFAÇÃO DO CLIENTE: UMA ANÁLISE DAS AVALIAÇÕES DO WEBSITE TRIPADVISOR,2015,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Joniery Rubim de Souza (SOUZA, J. R.), Sara Joana Gadotti dos Anjos (ANJOS, S. J. G.)"
6097010898113537,07042024,Trabalho em Evento,ANÁLISE DO PERFIL HOTELEIRO DE SÃO LUÍS DO MARANHÃO: UMA ANÁLISE DO MERCADO DE MEIOS DE HOSPEDAGEM EM CIDADES PATRIMÔNIO HISTÓRICO DA HUMANIDADE,2015,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Mauro Santos (SANTOS, M.), Luis Carlos da Silva Flores (FLORES, L. C. S.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,07042024,Trabalho em Evento,COMUNICAÇÕES INTERCULTURAIS: UM RELATO DE EXPERIÊNCIA EM TERRAS TEXANAS,2016,Brasil,"II Seminário de Internacionalização do IFMA com o tema ?Os desafios da mobilidade no IFMA: estratégias, resultados e perspectivas?.",SÃO LUIS (MA),,,,"Cláudia Cristina Cólins Pereira (PEREIRA, C. C. C.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,07042024,Trabalho em Evento,A MOBILIDADE NO ENSINO DA LÍNGUA INGLESA SUSTENTADA A PARTIR DE UMA EXPERIÊNCIA DO PDPI NOS EUA,2016,Brasil,"II Seminário de Internacionalização do IFMA com o tema ?Os desafios da mobilidade no IFMA: estratégias, resultados e perspectivas?.",SÃO LUIS (MA),,,,"Themístocles Vieira (VIEIRA, T.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,07042024,Trabalho em Evento,Formação e prática docente na inclusão de alunos com TEA: desafios e possibilidades no IFMA,2023,Brasil,10º Congresso Brasileiro de Educação Especial - CBEE,São Carlos,,,,"Joniery Rubim de Souza (DE SOUZA, JONIERY RUBIM), MARTINS, MORGANA DE FÁTIMA AGOSTINI (MARTINS, MORGANA DE FÁTIMA AGOSTINI)"
6097010898113537,07042024,Artigo Publicado,ELEMENTOS DA ECOGASTRONOMIA COMO FATOR DE CONTRIBUIÇÃO PARA POTENCIALIZAR O TURISMO NO PARQUE NACIONAL DOS LENÇÓIS MARANHENSES,2017,,,,Applied Tourism,,,"BELEZE, RONALDO LUIZ (BELEZE, RONALDO LUIZ), Joniery Rubim de Souza (SOUZA, JONIERY RUBIM DE)"
6097010898113537,07042024,Artigo Publicado,EDUCAÇÃO INCLUSIVA NO ENSINO DE CIÊNCIAS,2018,,,,"REVISTA DE ESTUDOS DE GESTÃO, INFORMAÇÃO E TECNOLOGIA",,,"Ediane Soares Martins (MARTINS, E. S.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,07042024,Artigo Publicado,A INFLUÊNCIA DA QUALIDADE NO SERVIÇO HOTELEIRO NA ESCOLHA POR UM ESTABELECIMENTO TURÍSTICO,2019,,,,"REVISTA DE ESTUDOS DE GESTÃO, INFORMAÇÃO E TECNOLOGIA",,,"Joniery Rubim de Souza (SOUZA, J. R.), Monique de Oliveira Serra (SERRA, M. O.)"
6097010898113537,07042024,Artigo Publicado,A Psicologia na Escolaridade e Aprendizagem na Formação de Sistemas Educativos: As Bases Conceptuais Fundadoras sobre Aprendizagem e Ensino,2020,,,,Revista Internacional de Estudos Científicos,,,"Joniery Rubim de Souza (SOUZA, J. R.), Renata dos Santos Ferreira (FERREIRA, R. S.)"
