numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
7384789678919705,21042024,Artigo Publicado,Global monopole in Palatini <math display=''inline''> <mi>f</mi> <mo stretchy=''false''>(</mo> <mi mathvariant=''script''>R</mi> <mo stretchy=''false''>)</mo> </math> gravity,2019,,,,PHYSICAL REVIEW D,,,"NASCIMENTO, J.'R. (NASCIMENTO, J.'R.), OLMO, GONZALO J. (OLMO, GONZALO J.), PORFÍRIO, P.'J. (PORFÍRIO, P.'J.), PETROV, A. YU. (PETROV, A. YU.), Adriano Rocha Soares (SOARES, A.'R.)"
7384789678919705,21042024,Artigo Publicado,Nonlinear &#963;-models in the Eddington-inspired Born-Infeld gravity,2020,,,,PHYSICAL REVIEW D,,,"NASCIMENTO, J.'R. (NASCIMENTO, J.'R.), OLMO, GONZALO J. (OLMO, GONZALO J.), PORFÍRIO, P.'J. (PORFÍRIO, P.'J.), PETROV, A. YU. (PETROV, A. YU.), Adriano Rocha Soares (SOARES, A. R.)"
7384789678919705,21042024,Artigo Publicado,Scalar field and deflection of light under the effects of topologically charged Ellis-Bronnikov-type wormhole spacetime,2020,,,,EUROPEAN PHYSICAL JOURNAL C,,,"H. Aounallah (AOUNALLAH, H.), Adriano Rocha Soares (SOARES, A. R.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.)"
7384789678919705,21042024,Artigo Publicado,Gravitational lensing in black-bounce spacetimes,2020,,,,PHYSICAL REVIEW D,,,"NASCIMENTO, J.'R. (NASCIMENTO, J.'R.), PETROV, A. YU. (PETROV, A. YU.), PORFÍRIO, P.'J. (PORFÍRIO, P.'J.), Adriano Rocha Soares (SOARES, A.'R.)"
7384789678919705,21042024,Artigo Publicado,Strong gravitational lensing in a spacetime with topological charge within the Eddington-inspired Born-Infeld gravity,2021,,,,PHYSICAL REVIEW D,,,"Claudio Furtado (FURTADO, C.), NASCIMENTO, J.'R. (NASCIMENTO, J.'R.), PETROV, A.'YU. (PETROV, A.'YU.), PORFÍRIO, P.'J. (PORFÍRIO, P.'J.), Adriano Rocha Soares (SOARES, A.'R.)"
7384789678919705,21042024,Artigo Publicado,On the Klein-Gordon oscillator in topologically charged Ellis-Bronnikov-type wormhole spacetime,2021,,,,European Physical Journal Plus,,,"Adriano Rocha Soares (SOARES, A. R.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.), H. Aounallah (AOUNALLAH, H.)"
7384789678919705,21042024,Artigo Publicado,Bosonic quantum dynamics in Eddington-inspired Born-Infeld gravity global monopole spacetime,2023,,,,EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS,,,"PEREIRA, C. F. S. (PEREIRA, C. F. S.), Adriano Rocha Soares (SOARES, A. R.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.), BELICH, H. (BELICH, H.)"
7384789678919705,21042024,Artigo Publicado,Gravitational lensing in a topologically charged Eddington-inspired Born?Infeld spacetime,2023,,,,EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS,,,"Adriano Rocha Soares (SOARES, A. R.), Ricardo Luis Lima Vitoria (VITORIA, R. L. L.), PEREIRA, C. F. S. (PEREIRA, C. F. S.)"
7384789678919705,21042024,Artigo Publicado,Klein-Gordon oscillator under gravitational effects in a topologically charged Ellis-Bronnikov wormhole,2023,,,,MODERN PHYSICS LETTERS A,,,"PEREIRA, C. F. S. (PEREIRA, C. F. S.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.), Adriano Rocha Soares (SOARES, A. R.), BELICH, H. (BELICH, H.)"
7384789678919705,21042024,Artigo Publicado,Holonomy corrected Schwarzschild black hole lensing,2023,,,,PHYSICAL REVIEW D,,,"Adriano Rocha Soares (SOARES, A.'R.), PEREIRA, C.'F.'S. (PEREIRA, C.'F.'S.), VITÓRIA, R.'L.'L. (VITÓRIA, R.'L.'L.), ROCHA, ERICK MELO (ROCHA, ERICK MELO)"
7384789678919705,21042024,Artigo Publicado,Non-relativistic quantum dynamics in Born-Infeld gravity inspired by Eddington spacetime global monopole,2023,,,,INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS,,,"PEREIRA, C. F. S. (PEREIRA, C. F. S.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.), Adriano Rocha Soares (SOARES, A. R.), BEZERRA, V. B. (BEZERRA, V. B.), BELICH, H. (BELICH, H.)"
7384789678919705,21042024,Artigo Publicado,On the Klein-Gordon oscillators in Eddington-inspired Born-Infeld gravity global monopole spacetime and a Wu-Yang magnetic monopole,2024,,,,EUROPEAN PHYSICAL JOURNAL C. PARTICLES AND FIELDS,,,"MUSTAFA, OMAR (MUSTAFA, OMAR), Adriano Rocha Soares (SOARES, A. R.), PEREIRA, C. F. S. (PEREIRA, C. F. S.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.)"
7384789678919705,21042024,Artigo Publicado,Gravitational Effects on a Position-Dependent Mass Quantum Particle in Eddington-Inspired Born-Infeld Spacetime,2023,,,,International Journal of Theoretical Physics,,,"PEREIRA, C. F. S. (PEREIRA, C. F. S.), VITÓRIA, R. L. L. (VITÓRIA, R. L. L.), Adriano Rocha Soares (SOARES, A. R.), BELICH, H. (BELICH, H.)"
0079132488060600,29032024,Trabalho em Evento,Impactos ambientais causados pelo lixo urbano no município de Buriticupu - Maranhão,2011,Brasil,"Seminário de Pesquisa, Pós-graduação, Inovação e Extensão","São Luís, MA",,,,"Vilson de Almeida Sousa (SOUSA, V. A.), Ana Paula de Almeida Sousa (SOUSA, A. P. A.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,A autoavalição discente como instrumento de regulação no processo de avaliação da aprendizagem,2016,Brasil,VII Congresso Internacional de Pesquisa (Auto)biográfica (CIPA),Cuiabá,,,,"Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Elson Silva de Sousa (SOUSA, E. S.), Isabel Cristina Rodrigues de Lucena (LUCENA, I. C. R.), Denize Rodrigues Martins (MARTINS, D. R.), Ronivaldo Castro Pacheco (PACHECO, R. C.)"
0079132488060600,29032024,Trabalho em Evento,Refletindo o Feedback nas aulas de Física,2016,Brasil,VII Congresso Internacional de Pesquisa (Auto)Biográfica (CIPA),"Cuiabá, MT",,,,"Ronivaldo Castro Pacheco (PACHECO, R. C.), Denize Rodrigues Martins (MARTINS, D. R.), Isabel Cristina Rodrigues de Lucena (LUCENA, I. C. R.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,Concepções ambientais de estudantes de uma escola da rede federal de ensino: subsídios para educação ambiental,2013,Brasil,VIII Congresso Norte Nordeste de Pesquisa e Inovação (CONNEPI),Salvador,,,,"Elson Silva de Sousa (SOUSA, E. S.), Marly Soares da Costa (COSTA, M. S.)"
0079132488060600,29032024,Trabalho em Evento,Fator de proteção solar: conscientização quanto aos riscos da exposição solar sem proteção e a forma correta e eficaz do uso de protetores,2013,Brasil,VIII Congresso Norte Nordeste de Pesquisa e Inovação (CONNEPI),Salvador,,,,"Léo Ruben Lopes Dias (DIAS, L. R. L.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,Regulação das aprendizagens por meio da autoavaliação,2017,Brasil,XI Encontro Nacional de Pesquisa em Educação em Ciências,"Florianópolis, SC",,,,"Elson Silva de Sousa (SOUSA, E. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.)"
0079132488060600,29032024,Trabalho em Evento,O ensino de artrópodes mediado por uma sequência de ensino investigativa,2017,Brasil,XI Encontro Nacional de Pesquisa em Educação em Ciências,"Florianópolis, SC",,,,"Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Elson Silva de Sousa (SOUSA, E. S.), Carla Regina da Silva Machado (MACHADO, C. R. S.)"
0079132488060600,29032024,Trabalho em Evento,"A criação de uma horta pedagógica numa escola da rede pública municipal de Buriticupu, Maranhão: relato de uma ação do PIBID/BIOLOGIA/IFMA",2017,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Francisca Andreza Pereira da Silva (SILVA, F. A. P.), Kaíres Mayane Araújo da Silva (SILVA, K. M. A.), Elen Cristina Vieira Conceição (CONCEIÇÃO, E. C. V.), Luciane de Almeida Silva (SILVA, L. A.), Domingas Ferreira Silva (SILVA, D. F.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,"Contribuições para a formação docente a partir da análise de atividades desenvolvidas no âmbito do PIBID, no município de Buriticupu-MA",2017,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Amália dos Anjos Beims (BEIMS, A. A.), Andreson de Carvalho Alves (ALVES, A. C.), Gabriela de Sousa Lopes (LOPES, G. S.), Deuvanir Sousa da Silva (SILVA, D. S.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,"Puberdade, DST e gravidez na adolescência: o desenvolvimento de uma palestra socioeducativa sobre sexualidade numa escola pública em Buriticupu, Maranhão",2017,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Maria Gonçalves (GONÇALVES, M.), Iara Avelino da Rocha Brito (BRITO, I. A. R.), Francisca Andreza Pereira da Silva (SILVA, F. A. P.), Kaíres Mayane Araújo da Silva (SILVA, K. M. A.), Domingas Ferreira Silva (SILVA, D. F.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,A revitalização de uma horta orgânica pedagógica numa escola da rede pública estadual do Maranhão: relato de uma ação do PIBID de Biologia do IFMA,2017,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Andreson de Carvalho Alves (ALVES, A. C.), Gabriela de Sousa Lopes (LOPES, G. S.), Deuvanir Sousa da Silva (SILVA, D. S.), Amália dos Anjos Beims (BEIMS, A. A.), Elielton Ferreira da Rocha (ROCHA, E. F.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,Educação inclusiva com foco na educação de surdos: uma investigação dos anais do FIPED de 2012 a 2016,2017,Brasil,Fórum Internacional de Pedagogia - FIPED,Abaetetuba-PA,,,,"Elson Silva de Sousa (SOUSA, E. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.)"
0079132488060600,29032024,Trabalho em Evento,Sequencia de ensino investigativa: alternativa para o ensino de artrópodes nos anos finais do ensino fundamental,2017,Brasil,IX Fórum Internacional de Pedagogica,Abaetetuba-PA,,,,"Cleide Renata da Silva Machado (MACHADO, C. R. S.), Denize Rodrigues Martins (MARTINS, D. R.), Ronivaldo Castro Pacheco (PACHECO, R. C.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,"O perfil do professor de ciências dos anos finais do ensino fundamental das escolas públicas municipais de Buriticupu, Maranhão, Brasil",2018,Brasil,Semana Nacional de Ciência e Tecnologia,Buriticupu,,,,"Valteires Moura de Almeida (ALMEIDA, V. M.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,Uma proposta de compostagem de resíduos orgânicos em uma escola estadual no município de Buriticupu-MA,2018,Brasil,Anais da Semana Nacional de Ciência e Tecnologia IFMA/BTC,IFMA,,,,"ALVES, ANDRESON DE CARVALHO (ALVES, ANDRESON DE CARVALHO), LOPES, GABRIELA DE SOUSA (LOPES, GABRIELA DE SOUSA), BEIMS, AMÁLIA DOS ANJOS (BEIMS, AMÁLIA DOS ANJOS), SILVA, DEUVANIR SOUSA DA (SILVA, DEUVANIR SOUSA DA), Elson Silva de Sousa (SOUSA, ELSON SILVA DE)"
0079132488060600,29032024,Trabalho em Evento,Bioeconomia e livro didático de Biologia: uma análise da temática SNCT 2019 para o ensino médio,2019,Brasil,Semana Nacional de Ciência e Tecnologia IFMA/BTC,"Buriticupu, MA",,,,"Francisco Maciel Barbosa dos Santos (SANTOS, F. M. B.), Rogerio Soares Cordeiro (CORDEIRO, R. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Wully Barreto da Silva (SILVA, W. B.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Trabalho em Evento,Plantas medicinais como fonte de renda alternativa em Buriticupu-Ma,2019,Brasil,Semana Nacional de Ciência e Tecnologia IFMA/BTC,"Buriticupu, MA",,,,"Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Elson Silva de Sousa (SOUSA, E. S.), Kleber Sales Pereira (PEREIRA, K. S.), Wully Barreto da Silva (SILVA, W. B.), Francisco Maciel Barbosa dos Santos (SANTOS, F. M. B.), Kaíres Mayane Araújo da Silva (SILVA, K. M. A.), Karoline Nicásio (NICASIO, K.)"
0079132488060600,29032024,Trabalho em Evento,"Relação professor-aluno nos cursos de licenciatura em Biologia e em Matemática do Instituto Federal de Educação, Ciência e Tecnologia do Maranhão Campus Buriticupu: o que dizem os licenciandos",2019,Brasil,Semana Nacional de Ciência e Tecnologia IFMA/BTC,,,,,"Edilene Freitas Silva (SILVA, E. F.), Elson Silva de Sousa (SOUSA, E. S.), Lara Vanessa Alves de Sousa (SOUSA, L. V. A.)"
0079132488060600,29032024,Trabalho em Evento,O uso de infográficos para ampliação de conhecimentos sobre artrópodes: uma proposta de  atividade para ensino médio,2019,Brasil,Encontro regional de Ensino de Biologia - Regional 1,"Dourados, MS",,,,"Rogerio Soares Cordeiro (CORDEIRO, R. S.), Elson Silva de Sousa (SOUSA, E. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
0079132488060600,29032024,Trabalho em Evento,O etnoconhecimento e a inovação na sala de aula,2021,Brasil,Simpósio Lasera Manaus,Manaus - AM,,,,"Cleide Aparecida Ferreira da Silva Gusmão (GUSMAO, C. A. F. S.), Elson Silva de Sousa (SOUSA, E. S.), Polyanna Possani da Costa Petry (PETRY, P. P. C.)"
0079132488060600,29032024,Trabalho em Evento,"Fruta, fruto ou legume? O tomate e a ?cegueira botânica?",2019,Brasil,Encontro regional de Ensino de Biologia - Regional 1,"Dourados, MS",,,,"Rogerio Soares Cordeiro (CORDEIRO, R. S.), Elson Silva de Sousa (SOUSA, E. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
0079132488060600,29032024,Artigo Publicado,Uma experiência docente na aplicação de uma sequência didática lúdica para o ensino dos filhos do reino animal,2016,,,,Revista da SBEnBIO,,,"Ijanilson Lago dos Santos (SANTOS, I. L.), Elson Silva de Sousa (SOUSA, E. S.)"
0079132488060600,29032024,Artigo Publicado,O ensino do fluxo de informação gênica mediado por modelos didáticos: do DNA à proteína,2016,,,,Revista da SBEnBIO,,,"Elson Silva de Sousa (SOUSA, E. S.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Ronivaldo Castro Pacheco (PACHECO, R. C.), Denize Rodrigues Martins (MARTINS, D. R.), Carla Regina da Silva Machado (MACHADO, C. R. S.)"
0079132488060600,29032024,Artigo Publicado,Zoo Kids: o seu zoológico digital ? um recurso complementar ao ensino dos animais vertebrados nas séries iniciais do ensino fundamental,2016,,,,Revista da SBEnBIO,,,"Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Carla Regina da Silva Machado (MACHADO, C. R. S.), Denize Rodrigues Martins (MARTINS, D. R.), Elson Silva de Sousa (SOUSA, E. S.), Fábio Júnior da Silva Castro (CASTRO, F. J. S.), Ronivaldo Castro Pacheco (PACHECO, R. C.)"
0079132488060600,29032024,Artigo Publicado,"Composição gravimétrica de resíduos sólidos em escolas públicas e privadas no município de Buriticupu, MA",2017,,,,Scientia Amazonia,,,"Josélia da Silva Lima (LIMA, J. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Kleber Sales Pereira (PEREIRA, K. S.), Elson Silva de Sousa (SOUSA, E. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
0079132488060600,29032024,Artigo Publicado,Educação Ambiental em resíduos sólidos em escolas no município de Buriticupu-MA,2018,,,,Scientia Amazonia,,,"Josélia da Silva Lima (LIMA, J. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Kleber Sales Pereira (PEREIRA, K. S.), Elson Silva de Sousa (SOUSA, E. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
0079132488060600,29032024,Artigo Publicado,A importância da prática de coleta seletiva como ação de Educação Ambiental no contexto escolar: estudo de caso em uma escola pública do município de Buriticupu/MA,2018,,,,Scientia Amazonia,,,"Mayara Alves Lima (LIMA, M. A.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Elson Silva de Sousa (SOUSA, E. S.), Kleber Sales Pereira (PEREIRA, K. S.), Vilson de Almeida Sousa (SOUSA, V. A.)"
0079132488060600,29032024,Artigo Publicado,"Estudo etnobotânico do conhecimento e uso de plantas medicinais em Santa Luzia, Maranhão, Brasil",2018,,,,Revista Ibero-americana de Ciências Ambientais,,,"Maria dos Milagres Monsão Gonçalves (GONCALVES, M. M. M.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Wully Barreto da Silva (SILVA, W. B.), Elson Silva de Sousa (SOUSA, E. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Kleber Sales Pereira (PEREIRA, K. S.), Vilson de Almeida Sousa (SOUSA, V. A.)"
0079132488060600,29032024,Artigo Publicado,CONHECIMENTOS E ATITUDES DOS MORADORES DE UM MUNICÍPIO DA AMAZÔNIA LEGAL MARANHENSE EM RELAÇÃO AOS MORCEGOS,2018,,,,Enciclopedia Biosfera,,,"Emanuel Roberto Rodrigues de Lima (LIMA, E. R. R.), Elson Silva de Sousa (SOUSA, E. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.)"
