numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
9782653543954493,30052024,Trabalho em Evento,Análise de Placas Usando o Método de Elementos de Contorno de Reciprocidade Dual,2008,Brasil,14° Congresso Brasileiro de Engenheiros Civis - CBENC 2008,Blumenau,,,,"André Pereira Santana (SANTANA, A. P.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Paulo César Marques Doval (DOVAL, P. C. M.)"
9782653543954493,30052024,Trabalho em Evento,Análise de Problemas Estáticos usando o Método de Elementos de Contorno de Reciprocidade Dual,2008,Brasil,IBERIAN LATIN AMERICAN CONGRESS ON COMPUTATIONAL METHODS IN ENGINEERING - CILAMCE,Maceió,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Paulo César Marques Doval (DOVAL, P. C. M.), André Pereira Santana (SANTANA, A. P.)"
9782653543954493,30052024,Trabalho em Evento,Estudo do Raio Crítico de Isolamento Térmico em Cabos/Fios Elétricos,2009,Brasil,IV Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação Tecnológica - Connepi,Belém,,,,"Mayara FloraMarinho Aires (AIRES, M. F.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), GONCALVES, R. S. (GONCALVES, R. S.), Karlos Roberto da Silva Braga Martins (MARTINS, K. R. S. B.)"
9782653543954493,30052024,Trabalho em Evento,Análise de Chapas de Aço 1020 Usando o Método dos Elementos de Contorno de Reciprocidade Dual,2008,Brasil,III Congresso de Pesquisa e Inovação da Rede Norte Nordeste de Educação Tecnológica,Fortaleza,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Paulo César Marques Doval (DOVAL, P. C. M.), André Pereira Santana (SANTANA, A. P.)"
9782653543954493,30052024,Trabalho em Evento,Utilização de termografia infravermelha para diagnosticar problemas em fornos de pelotização,2010,Brasil,VI CONGRESSO NACIONAL DE ENGENHARIA MECÂNICA,Campina Grande,,,,"GONCALVES, R. S. (GONCALVES, R. S.), Jaelton Queides da Silva (SILVA, J. Q.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Karlos Roberto da Silva Braga Martins (MARTINS, K. R. S. B.)"
9782653543954493,30052024,Trabalho em Evento,Caracterização das Propriedades Físico-Mecânicas de Gessos Comercializados na Região Metropolitana de São Luís - Ma,2011,Brasil,55º Congresso Brasileiro de Cerâmica,Porto de Galinhas,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Augusto Gomes Bastos Filho (BASTOS FILHO, A. G.), Leonardo Tadeu Boaes Mendonça (MENDONCA, L. T. B.), Antônio Ernandes Macêdo Paiva (PAIVA, A. E. M.), Gricirene Sousa Correia (CORREIA, G. S.), José Manuel Rivas Mercury (MERCURY, J. M. R.)"
9782653543954493,30052024,Trabalho em Evento,Analysis of a Prototype of Continuous Press Developed for Obtaining Oil from Feeds of Castor,2011,Brasil,21st International Congress of Mechanical Engineering,Natal,,,,"Hellen Cristina Silva Pires (PIRES, H. C. S.), Keyll Carlos Ribeiro Martins (Martins, K. C. R.), Lídia Santos Pereira Martins (Martins, L. S. P.), Luciano Galvão Viana (VIANA, L. G.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Ana Patricia da Silva Mafra (MAFRA, A. P. S.)"
9782653543954493,30052024,Trabalho em Evento,Influência dos Resíduos Vítreos na Resistência à Compressão Axial do Concreto de Cimento Portland,2012,Brasil,Congresso Brasileiro de Cerâmica,Curitiba,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Antônio Ernandes Macêdo Paiva (PAIVA, A. E. M.)"
9782653543954493,30052024,Trabalho em Evento,Determinação Experimental do Coeficiente de Transferência de Calor por Convecção,2012,Brasil,VII Congresso Nacional de Engenharia Mecânica,São Luís,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Rubens Soeiro Gonçalves (GONCALVES, R. S.)"
9782653543954493,30052024,Trabalho em Evento,Concreto de Cimento Portland Contendo Resíduo Vítreo como Agregado Miúdo: Resistência à Compressão e Índice de Vazios,2012,Brasil,20° Congresso Brasileiro de Engenharia e Ciência dos Materiais,Joinville,,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JÚNIOR, E. J. P.), Antônio Ernandes Macêdo Paiva (PAIVA, A. E. M.)"
