numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3018280579305038,09052024,Trabalho em Evento,A IMPRESCINDIBILIDADE DOS CULTIVOS MEDICINAIS NA ASSISTÊNCIA HOSPITALAR,2010,Brasil,13º CONGRESSO BRASILEIRO DOS CONSELHOS DE ENFERMAGEM E 7º CONGRESSO NACIONAL DE RESIDÊNCIA EM ENFERMAGEM,NATAL - RN,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.), ELBIA CRISTINE SILVEIRA DOS SANTOS (SANTOS, E. C. S.), JAYNARA SUELLEN CARDOSO (CARDOSO, J. S), ADRIANA LAIS OLIVEIRA SARAIVA (SARAIVA, A. L. O.)"
3018280579305038,09052024,Trabalho em Evento,AÇÕES DE ENFERMAGEM NA ATENÇÃO PRIMÁRIA QUANTO ÀS NECESSIDADES HUMANAS BASICAS DA CRIANÇA,2010,Brasil,13º CONGRESSO BRASILEIRO DOS CONSELHOS DE ENFERMAGEM E 7º CONGRESSO NACIONAL DE RESIDÊNCIA EM ENFERMAGEM,NATAL - RN,,,,"JAYNARA SUELLEN CARDOSO (CARDOSO, J. S), ELBIA CRISTINE SILVEIRA DOS SANTOS (SANTOS, E. C. S.), Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.), FELIPE BARROS NOLETO (NOLETO, F. B.)"
3018280579305038,09052024,Trabalho em Evento,BRINCADEIRAS: PARA MENINOS OU MENINAS?,2015,Brasil,I SIMPOSIO INTERNACIONAL INTERDISCIPLINAR EM CULTURA E SOCIEDADE (I SIICS) PGCULT-UFMA,SAO LUIS - MA,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,EDUCAÇÃO COMO UM DIREITO E UM DEVER: UMA ANALISE À LUZ DA CONSTITUIÇÃO FEDERAL DE 1988,2015,Brasil,XXVII SEMINÁRIO DE INICIAÇÃO CIENTIFICA DA UNIVERSIDADE ESTADUAL DO MARANHÃO,SAO LUIS-MA,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,AÇÕES DE ENFERMAGEM PEDIATRICA NO UNIVERSO DA ATENÇÃO BASICA EM SAUDE EM SAO LUIS-MA,2010,Brasil,XXII SEMINARIO DE INICIAÇÃO CIENTIFICA DA UNIVERSIDADE FEDERAL DO MARANHÃO,SAO LUIS-MA,,,,"RONALDO SILVA JUNIOR (SILVA JUNIOR, R.), Antonio José Araujo Lima (LIMA, A. J. A.), VANESSA DURANS SILVA (SILVA, V. D.), MARIA ELIZABETH DURANS SILVA (SILVA, M. E. D.)"
3018280579305038,09052024,Trabalho em Evento,DE VOLTA PARA CASA: REAÇÃO DA CRIANÇA APÓS A ALTA HOSPITALAR,2015,Brasil,XXVII SEMINÁRIO DE INICIAÇÃO CIENTÍFICA DA UNIVERSIDADE ESTADUAL DO MARANHAO,SAO LUIS-MA,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), VANESSA DURANS SILVA (SILVA, V. D.)"
3018280579305038,09052024,Trabalho em Evento,O PEDAGOGO HOSPITALAR: ATUAÇÃO E CONTRIBUIÇÕES,2016,Brasil,III CONGRESSO NACIONAL DE EDUCAÇAO- CONEDU,NATAL-RN,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,"O LÚDICO EM CLÁSSICOS DA FILOSOFIA: UMA ANÁLISE EM PLATÃO, ARISTÓTELES E ROUSSEAU",2015,Brasil,II CONGRESSO NACIONAL DE EDUCALÇAO- CONEDU,CAMPINA GRANDE - PB,,,,"Antonio José Araujo Lima (LIMA, A. J. A.)"
3018280579305038,09052024,Trabalho em Evento,A BRINQUEDOTECA HOSPITALAR E O CURRÍCULO,2016,Brasil,II CONGRESSO INTERNACIONAL DE EDUCAÇÃO INCLUSIVA E II JORNADA CHILENA BRASILEIRA DE EDUCAÇÃO INCLUSIVA,CAMPINA GRANDE - PB,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,BRINQUEDOTECA HOSPITALAR: O LÚDICO EM AMBIENTES NÃO ESCOLARES,2016,Brasil,II CONGRESSO INTERNACIONAL DE EDUCAÇÃO INCLUSIVA E II JORNADA CHILENA BRASILEIRA DE EDUCAÇÃO INCLUSIVA,CAMPINA GRANDE - PB,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,A PEDAGOGIA HOSPITALAR: o atendimento lúdico-pedagogico  a crianças  internadas  no Hospital Municipal Infantil de Imperatriz-MA,2016,Brasil,VII CONGRESSO BRASILEIRO DE EDUCAÇÃO ESPECIAL,SAO CARLOS SP,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,CONTRIBUIÇÕES DA BRINQUEDOTECA HOSPITALAR NA EDUCAÇÃO E SAÚDE,2016,Brasil,VIII Fórum Internacional de Pedagogia,IMPERATRIZ MA,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
3018280579305038,09052024,Trabalho em Evento,DESOCULTANDO O CURRICULO DA BRINQUEDOTECA HOSPITALAR,2016,Brasil,VIII Fórum Internacional de Pedagogia,Imperatriz MA,,,,"Antonio José Araujo Lima (LIMA, A. J. A.), RONALDO SILVA JUNIOR (SILVA JUNIOR, R.)"
