numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
2992915467192808,30052024,Trabalho em Evento,PRÁTICAS CORPORAIS INTERGERACIONAIS: ESTRATÉGIA DE AÇÃO MULTIPROFISSIONAL,2015,Brasil,Congresso Brasileira de Atividade Física e Saúde,São Luís-MA,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Maycom Nascimento Moura (MOURA, M. N.), Nayara Holanda Vieira (VIEIRA, N. H.), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.), Maria Luci Esteves Santiago (SANTIAGO, M. L. E.)"
2992915467192808,30052024,Trabalho em Evento,CARACTERIZAÇÃO DO USUÁRIO E PADRÃO DE USO DAS ACADEMIAS DA TERCEIRA IDADE DE TERESINA-PI,2015,Brasil,Congresso Brasileiro de Atividade Física e Saúde,São Luís,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Maycom Nascimento Moura (MOURA, M. N.), Maria Luci Esteves Santiago (SANTIAGO, M. L. E.), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.)"
2992915467192808,30052024,Trabalho em Evento,EXPERIÊNCIA DE TERRITORIALIZAÇÃONA ATENÇÃO BÁSICA: UM FOCO NOS ESPAÇOS DE LAZER,2014,Brasil,COPISP,PARNAÍBA,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Camila do Vale Matos (MATOS, C. V.), Nayara Holanda Vieira (VIEIRA, N. H.), Paula Indira Nunes Carvalho (CARVALHO, P. I. N.), Leonardo Sales Lima (LIMA, L. S.)"
2992915467192808,30052024,Trabalho em Evento,ATIVIDADE FÍSICA NO LAZER DA POPULAÇÃO DE TERESINA: UM ESTUDO A PARTIR DOS DADOS DO VIGITEL,2015,Brasil,Congresso Piauiense de Saúde Pública,Parnaíba,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), LUCI ESTEVES SANTIAGO, MARIA (LUCI ESTEVES SANTIAGO, MARIA), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.), Maycom Nascimento Moura (MOURA, M. N.)"
2992915467192808,30052024,Trabalho em Evento,Prevensão do suicídio no ambiente escolar,2018,Brasil,III Congresso Internacional de Saúde Pública do Delta do Piauí,Paranaíba,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Maycom Nascimento Moura (MOURA, M. N.), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.)"
2992915467192808,30052024,Trabalho em Evento,ATIVIDADES FÍSICAS E ESPORTES: UMA PROPOSTA DE PROMOÇÃO DA SAÚDE DO TRABALHADOR.,2018,Brasil,III Congresso Internacional de Saúde Pública do Delta do Piauí,Parnaíba,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Maycom Nascimento Moura (MOURA, M. N.), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.)"
2992915467192808,30052024,Trabalho em Evento,INCLUSÃO: COMEÇA COM EMPATIA E UM LUGAR ACESSÍVEL,2024,Brasil,Universo IFMA,São Luís,,,,"Ana Regina Leão Ibiapina Moura (MOURA, ARLI), João Vitor de Aquino Sousa Morais (MORAIS, J. V. A. S.), Francisco Claudinan dos Santos Lima (LIMA, F. C. S.)"
2992915467192808,30052024,Trabalho em Evento,?DIÁRIO AFETIVO COMO FERRAMENTA DE AVALIAÇÃO NA EDUCAÇÃO FÍSICA,2024,Brasil,V SEVEN INTERNATIONAL MULTIDISCIPLINARY CONGRESS,São José dos Pianhais,,,,"Ana Regina Leão Ibiapina Moura (ANA REGINA LEÃO IBIAPINA MOURA), Ludimilla Esteffane Sousa Noleto (NOLETO, L. E. S.)"
2992915467192808,30052024,Trabalho em Evento,O Olhar Multiprofissional e Interdisciplinar de um Território Vivo,2014,Brasil,IV Congresso Piauiense de Saúde Pública,Parnaíba,,,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Leonardo Sales Lima (LIMA, L. S.), Camila do Vale Matos (MATOS, C. V.), Nayara Holanda Vieira (VIEIRA, N. H.), Paula Indira Nunes Carvalho (CARVALHO, P. I. N.)"
2992915467192808,30052024,Artigo Publicado,Educação Popular na Atenção Básica: um enfoque na integralidade,2015,,,,REVISTA GESTÃO & SAÚDE (BRASÍLIA),,,"Ana Regina Leão Ibiapina Moura (IBIAPINA, A. R. L.), Ana Lídia Lima Freire (FREIRE, A. L. L.), Camila do Vale Matos (MATOS, C. V.), Nayara Holanda Vieira (VIEIRA, N. H.), Paula Indira Nunes Carvalho (CARVALHO, P. I. N.), Thaís Norberta Bezerra de Moura (MOURA, T. N. B.)"
