numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3789595345955753,16052024,Trabalho em Evento,Estudo fitossociológico de Humiria balsamifera (Aubl.) A. St. Hil em área de pasto apícola em Floresta Ombrófila para determinação de seus usos na Agricultura Familiar,2009,Brasil,VI Congresso Brasileiro de Agroecologia e II Congresso Latino Americano de Agroecologia,Curitiba,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ariadne Enes Rocha (ROCHA, A. E.)"
3789595345955753,16052024,Trabalho em Evento,Analise Polínica de mel de abelhas Apis mellifera em área de restinga no municipio de Morros - Maranhão,2006,Brasil,VII Encontro sobre Abelhas,Ribeirão Preto -SP,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), José Malheiros Silva (SILVA, J. M.), Francisca Helena Muniz (MUNIZ, F. H.)"
3789595345955753,16052024,Trabalho em Evento,Bacterial Community in soil contaminated with chromium,2018,Eslováquia,International Conference Contaminated sites 2018,Bansaká Bystrica,,,,"Ademir Sergio de Ferreira Araújo (ARAUJO, A. S. F.), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA)"
3789595345955753,16052024,Trabalho em Evento,Soil Contamination by the presence of Chromium and temporal effects on bacterial community,2018,Eslováquia,International Conference Contaminated Sites 2018,Banská Bystrica,,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), Ademir Sergio de Ferreira Araújo (ARAUJO, A. S. F.)"
3789595345955753,16052024,Trabalho em Evento,SOIL BACTERIAL DIVERSITY AFTER EIGHT YEARS OF COMPOSTED TANNERY SLUDGE AMENDMENT,2017,Holanda,Wageningen Soil Conference 2017,Wageningen,,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA)"
3789595345955753,16052024,Trabalho em Evento,Avaiação de atributos microbianos do solo em Cerrado Maranhense,2019,Brasil,Semana Nacional de Ciencia e Tecnologia,Caxias,,,,"Louhana dos Santos Oliveira (OLIVEIRA, L. S.), Francinete Sousa de Oliveira (OLIVEIRA, F. S.), Roniclecia Figuereido e Silva (SILVA, R. F. E.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Regia Maria Reis Gualter (GUALTER, R. M. R.)"
3789595345955753,16052024,Artigo Publicado,Effect of Utilization of Organic Waste as Agricultural Amendment on Soil Microbial Biomass,2015,,,,Annual Research &amp; Review in Biology,,,"SINGH, RAJEEV (SINGH, RAJEEV), SARKAR, ABHIJIT (SARKAR, ABHIJIT), SENGUPTA, CHANDAN (SENGUPTA, CHANDAN), SINGH, POOJA (SINGH, POOJA), Ana Roberta Lima de Miranda (MIRANDA, ANA), NUNES, LUIS (NUNES, LUIS), ARAUJO, ADEMIR (ARAUJO, ADEMIR), MELO, WANDERLEY (MELO, WANDERLEY)"
3789595345955753,16052024,Artigo Publicado,Responses of soil bacterial community after seventh yearly applications of composted tannery sludge,2018,,,,GEODERMA,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ROCHA, SANDRA MARA BARBOSA (ROCHA, SANDRA MARA BARBOSA), VAN DEN BRINK, PAUL J. (VAN DEN BRINK, PAUL J.), BEZERRA, WALDERLY MELGAÇO (BEZERRA, WALDERLY MELGAÇO), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), ANTUNES, JADSON EMANUEL LOPES (ANTUNES, JADSON EMANUEL LOPES), ARAUJO, ADEMIR SERGIO FERREIRA (ARAUJO, ADEMIR SERGIO FERREIRA)"
3789595345955753,16052024,Artigo Publicado,Bacterial community associated with rhizosphere of maize and cowpea in a subsequent cultivation,2019,,,,APPLIED SOIL ECOLOGY,,,"DE ARAUJO, ADEMIR SERGIO FERREIRA (DE ARAUJO, ADEMIR SERGIO FERREIRA), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), SOUSA, RICARDO SILVA (SOUSA, RICARDO SILVA), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ANTUNES, JADSON EMANUEL LOPES (ANTUNES, JADSON EMANUEL LOPES), OLIVEIRA, LOUISE MELO DE SOUZA (OLIVEIRA, LOUISE MELO DE SOUZA), DE ARAUJO, FABIO FERNANDO (DE ARAUJO, FABIO FERNANDO), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), FIGUEIREDO, MARCIA DO VALE BARRETO (FIGUEIREDO, MARCIA DO VALE BARRETO)"
3789595345955753,16052024,Artigo Publicado,Chemical variables influencing microbial properties in composted tannery sludge-treated soil,2018,,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,,,"Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), vilma maria dos santos (SANTOS, V. M.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), NUNES, L. A. P. L. (NUNES, L. A. P. L.), carlos tadeu dos santos dias (DIAS, C. T. S.), DE MELO, W. J. (DE MELO, W. J.)"
