numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
2024498635058109,16112023,Trabalho em Evento,Glaucoma Diagnosis over Eye Fundus Image through Deep Features,2018,Brasil,"2018 25th International Conference on Systems, Signals and Image Processing (IWSSIP)",Maribor,,,,"Alan Carlos de Moura Lima (DE MOURA LIMA, ALAN CARLOS), PINHEIRO PEREIRA, ROBERTO MATHEUS (PINHEIRO PEREIRA, ROBERTO MATHEUS), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ), DALLYSON SOUSA DE ALMEIDA, JOAO (DALLYSON SOUSA DE ALMEIDA, JOAO), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
2024498635058109,16112023,Trabalho em Evento,Evolving Convolutional Neural Networks for Glaucoma Diagnosis,2018,Brasil,SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE (SBCAS) (WIM 2018),Natal,,,,"Alan Carlos de Moura Lima (LIMA, A. C. M.), MAIA, LUCAS BEZERRA (MAIA, LUCAS BEZERRA), PINHEIRO PEREIRA, ROBERTO MATHEUS (PINHEIRO PEREIRA, ROBERTO MATHEUS), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ), DALLYSON SOUSA DE ALMEIDA, JOAO (DALLYSON SOUSA DE ALMEIDA, JOAO), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
2024498635058109,16112023,Trabalho em Evento,Evaluation of Melanoma Diagnosis using Deep Features,2018,Brasil,"2018 25th International Conference on Systems, Signals and Image Processing (IWSSIP)",Maribor,,,,"MAIA, LUCAS BEZERRA (MAIA, LUCAS BEZERRA), Alan Carlos de Moura Lima (LIMA, ALAN), PINHEIRO PEREIRA, ROBERTO MATHEUS (PINHEIRO PEREIRA, ROBERTO MATHEUS), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ), DALLYSON SOUSA DE ALMEIDA, JOAO (DALLYSON SOUSA DE ALMEIDA, JOAO), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
2024498635058109,16112023,Trabalho em Evento,Meta Aprendizagem de Extração de Caracter¿¿sticas Aplicada ao Diagnóstico de Glaucoma,2019,Brasil,XIX Simpósio Brasileiro de Computação Aplicada à Saúde,Niterói,,,,"FERNANDES, ARTHUR GUILHERME SANTOS (FERNANDES, ARTHUR GUILHERME SANTOS), MARTINS, CAIO MANFREDINI DA SILVA (MARTINS, CAIO MANFREDINI DA SILVA), Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ), DE ALMEIDA, JOÃO DALLYSON SOUSA (DE ALMEIDA, JOÃO DALLYSON SOUSA), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
2024498635058109,16112023,Trabalho em Evento,Estimation of Individual Electricity Consumption Range Using Quantile Regression Forest,2019,França,International Research Conference Proceedings,Paris,,,,"Petterson Souza Diniz (DINIZ, P. S.), Marcia Izabel Alves da Silva (SILVA, M. I. A.), João Otávio Bandeira Diniz (DINIZ, J. O. B.), Eduardo Camacho Fernandes (FERNANDES, E. C.), Luis Fernando Marin Sepulveda (SEPULVEDA, L. F. M.), Alexandre de Carvalho Araújo (ARAUJO, A. C.), Layane Menezes AZEVEDO (AZEVEDO, L. M.), Alan Carlos de Moura Lima (LIMA, A. C. M.), Vitor Henrique Bezerra de Lemos (LEMOS, V. H. B.), João Dallyson Sousa de Almeida (ALMEIDA, J. D. S.), Anselmo Cardoso de Paiva (PAIVA, A. C.), Eliana Márcia Garros Monteiro (MONTEIRO, E. M. G.)"
2024498635058109,16112023,Trabalho em Evento,Mask Overlaying: a Deep Learning Approach for Individual Optic Cup Segmentation from Fundus Image,2020,Brasil,"2020 International Conference on Systems, Signals and Image Processing (IWSSIP)",Niterói,,,,"LIMA, ARTHUR AZEVEDO (LIMA, ARTHUR AZEVEDO), DE CARVALHO ARAUJO, ALANA C. (DE CARVALHO ARAUJO, ALANA C.), Alan Carlos de Moura Lima (DE MOURA LIMA, ALAN C.), DE SOUSA, JEFFERSON ALVES (DE SOUSA, JEFFERSON ALVES), DE ALMEIDA, JOAO DALLYSON S. (DE ALMEIDA, JOAO DALLYSON S.), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ)"
2024498635058109,16112023,Trabalho em Evento,Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss,2021,Brasil,Encontro Nacional de Inteligência Artificial e Computacional,Brasil,,,,"PAIVA, LISLE FARAY DE (PAIVA, LISLE FARAY DE), Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), BRAZ JÚNIOR, GERALDO (BRAZ JÚNIOR, GERALDO), PAIVA, ANSELMO CARDOSO DE (PAIVA, ANSELMO CARDOSO DE), SILVA, ARISTÓFANES CORREA (SILVA, ARISTÓFANES CORREA)"
2024498635058109,16112023,Trabalho em Evento,Evaluation of Melanoma Diagnosis using Imbalanced Learning,2018,Brasil,18º SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE (SBCAS) (WIM 2018),Natal,,,,"MAIA, LUCAS BEZERRA (MAIA, LUCAS BEZERRA), Alan Carlos de Moura Lima (LIMA, A. C. M.), Pedro Thiago Cutrim dos Santos (SANTOS, P. T. C.), Nigel da Silva Lima (LIMA, N. S.), Humberto Oliveira Serra (SERRA, H. O.), JUNIOR, GERALDO BRAZ (JUNIOR, GERALDO BRAZ), DALLYSON SOUSA DE ALMEIDA, JOAO (DALLYSON SOUSA DE ALMEIDA, JOAO), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
2024498635058109,16112023,Artigo Publicado,Evolving Convolutional Neural Networks for Glaucoma Diagnosis,2020,,,,Brazilian Journal of Health Review,,,"Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), MAIA, LUCAS BEZERRA (MAIA, LUCAS BEZERRA), SANTOS, PEDRO THIAGO CUTRIM DOS (SANTOS, PEDRO THIAGO CUTRIM DOS), BRAZ JUNIOR, GERALDO (BRAZ JUNIOR, GERALDO), ALMEIDA, JOÃO D. S. DE (ALMEIDA, JOÃO D. S. DE), PAIVA, ANSELMO CARDOSO DE (PAIVA, ANSELMO CARDOSO DE)"
2024498635058109,16112023,Artigo Publicado,A Two-Stage Method for Polyp Detection in Colonoscopy Images Based on Saliency Object Extraction and Transformers,2023,,,,IEEE Access,,,"Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), DE PAIVA, LISLE FARAY (DE PAIVA, LISLE FARAY), BRÁZ, GERALDO (BRÁZ, GERALDO), DE ALMEIDA, JOÃO DALLYSON S. (DE ALMEIDA, JOÃO DALLYSON S.), SILVA, ARISTÓFANES CORRÉA (SILVA, ARISTÓFANES CORRÉA), COIMBRA, MIGUEL TAVARES (COIMBRA, MIGUEL TAVARES), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)"
