numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
5520499679953825,08042024,Trabalho em Evento,Análise Sistemática de um Conversor Forward a duas Chaves Simulado em Ambiente Spice,2009,Brasil,Congresso de Pesquisa e Inovação da Rede Norte Nordeste de Educação Tecnológica,Belém,,,,"GOMES, E. C. (GOMES, E. C.), Miranda, R.S. (MIRANDA, R.S.), GOMES, A. P. M. (GOMES, A. P. M.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Trabalho em Evento,Nova estratégia de desguarnecimento e renovação na Estrada de Ferro Carajás,2013,Brasil,IV Encontro de Ferrovias ANTF,Vitória,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Eduardo Antônio Freire de Medeiros Filho (MEDEIROS FILHO, E. A. F.), Marcelo Augusto Santos (SANTOS, M. A.)"
5520499679953825,08042024,Trabalho em Evento,Arranjo Físico do Sistema Produtivo de uma Fábrica de Uniformes,2014,Brasil,XXXIV Encontro Nacional de Engenharia de Produção,Curitiba,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Mauro Enrique Carozzo Todaro (TODARO, M. E. C.)"
5520499679953825,08042024,Trabalho em Evento,Teste de Flexibilidade Sentar e Alcançar Automatizado com Arduino,2018,Brasil,III Simpósio Nacional de Tecnologias Digitais na Educação,São Luís,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Ana Karine Pires Miranda (MIRANDA, A. K. P.), Lethycia Pereira Rosa (ROSA, L. P.), Annya Gabryelle Costa Moura (MOURA, A. G. C.), Anderson Araújo Meireles (MEIRELES, A. A.), Renan de Andrade Correa (CORREA, R. A.)"
5520499679953825,08042024,Trabalho em Evento,Algoritmos de Otimização Combinados Aplicados à Identificação de Sistemas,2019,Brasil,"Conferência Brasileira de Dinâmica, Controle e Aplicações - DINCON 2019",São Carlos,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Gideon Villar Leandro (LEANDRO, G. V.)"
5520499679953825,08042024,Trabalho em Evento,PARAMETER ESTIMATION OF THE HYDRAULIC AMPLIFIER PLUS HYDRAULIC TURBINE USING METAHEURISTICS,2019,Brasil,25th International Congress of Mechanical Engineering,,,,,"BERGAMINI, MARIANE (BERGAMINI, MARIANE), ORLANDO DE MORAES, CARLA EDUARDA (ORLANDO DE MORAES, CARLA EDUARDA), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, ÁDAMO), COSTA OLIVEIRA, GUSTAVO HENRIQUE (COSTA OLIVEIRA, GUSTAVO HENRIQUE), LEANDRO, GIDEON (LEANDRO, GIDEON), PARENTE RIBEIRO, EDUARDO (PARENTE RIBEIRO, EDUARDO)"
5520499679953825,08042024,Trabalho em Evento,INVERSE MODEL BASED ON NEURAL NETWORKS TRAINED WITH EXTREME LEARNING MACHINE AND LEVENBERG-MARQUARDT ALGORITHM,2019,Brasil,25th International Congress of Mechanical Engineering,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, ÁDAMO), LEANDRO, GIDEON (LEANDRO, GIDEON)"
5520499679953825,08042024,Trabalho em Evento,Fluxo de Potência Ótimo Aplicado à Programação da Operação de um Dia à Frente de Microrredes Isoladas,2020,Brasil,VIII Simpósio Brasileiro de Sistemas Elétricos,Santo André - SP,,,,"Wagner Felipe Santana Souza (SOUZA, W. F. S.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Roman Kuiava (KUIAVA, R.), Gideon Villar Leandro (LEANDRO, G. V.)"
5520499679953825,08042024,Trabalho em Evento,Programação da Operação de um Dia à Frente de Microrredes Isoladas,2022,Brasil,XXIV Congresso Brasileiro de Automática,Online,,,,"WAGNER F. S. SOUZA (WAGNER F. S. SOUZA), Ádamo Henrique Rocha de Oliveira (ÁDAMO H. R. DE OLIVEIRA), ROMAN KUIAVA (ROMAN KUIAVA), GIDEON V. LEANDRO (GIDEON V. LEANDRO)"
5520499679953825,08042024,Trabalho em Evento,Stochastic Optimal Power Flow Applied in Day-Ahead Planning of Isolated Microgrids,2020,Canadá,2020 IEEE Power & Energy Society General Meeting (PESGM),Montreal,,,,"SOUZA, WAGNER F. S. (SOUZA, WAGNER F. S.), Ádamo Henrique Rocha de Oliveira (DE OLIVEIRA, ADAMO H. R.), RODRIGUES, LUCAS FARIAS M. (RODRIGUES, LUCAS FARIAS M.), KUIAVA, ROMAN (KUIAVA, ROMAN), LEANDRO, GIDEON V. (LEANDRO, GIDEON V.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ageu Ribeiro de Sousa (Sousa, A.R.), Juan Carlos Gabriel Braga Farias (Farias, J. C. G. B. F.), Kayo José de Oliveira Ramos (Ramos, K. J. O.), Thiago de Jesus Pereira de Souza (Souza, T. J. P.), Angela Maria Correa Mouzinho Santos (Santos, A. M. C. M.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Karine Pires Miranda (MIRANDA, A. K. P.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Lethycia Pereira Rosa (ROSA, L. P.), Annya Gabryelle Costa Moura (MOURA, A. G. C.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Pedro Batalha Gonçalves Filho (GONCALVES FILHO, P. B.)"
5520499679953825,08042024,Outro Tipo de Produção Técnica,,,,,,,,,"Pablo Virgolino Freitas (FREITAS, P. V.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
1430247353953025,12012024,Trabalho em Evento,INTOLERÂNCIA DE GÊNERO NO ESPAÇO DAS REDES SOCIAIS,2018,Brasil,VII ENALIC - Encontro Nacional das Licenciaturas,Fortaleza - CE,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.), Maria Consuelo Alves Lima (LIMA, M. C. A.), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.)"
1430247353953025,12012024,Artigo Publicado,Para além de um simples movimento: Escola Sem Partido e o ensino de Ciências,2019,,,,ENSINO & PESQUISA,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.), Nilvanete Gomes de Lima (LIMA, N. G.)"
1430247353953025,12012024,Artigo Publicado,PROPOSTA DE SEQUÊNCIA DIDÁTICA PARA A DISCUSSÃO DO TEMA HOMOFOBIA NO ENSINO DE CIÊNCIAS,2021,,,,ACTA TECNOLÓGICA,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), COSTA, HAWBERTT ROCHA (COSTA, HAWBERTT ROCHA), SÁ-SILVA, JACKSON RONIE (SÁ-SILVA, JACKSON RONIE)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.), Weyffson Henrique Luso dos Santos (SANTOS, W. H. L.)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, Daniel Barcelos da), Maria Consuelo Alves Lima (LIMA, M. C. A.), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.), Nilvanete Gomes de Lima (LIMA, N. G.), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.), Bárbara Lethicya Silva Sousa (SOUSA, B. L. S.), Mariana Guelero do Valle (VALLE, M. G.)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.)"
1430247353953025,12012024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.)"
