numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
0124789976698969,21052024,Trabalho em Evento,"A posição do narrador na representação da violência da ditadura civil-militar brasileira em K. relato de uma busca, de Bernardo Kucinski",2021,Brasil,"III Encontro Nacional de Estudos Linguísticos e Literários e I Encontro Internacional de Pesquisas em Letras: Língua, Literatura e Educação",Caxias,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Trabalho em Evento,"Literatura brasileira e violência: um olhar sobre o romance Essa gente, de Chico Buarque",2021,Brasil,"IV Congresso Internacional de Letras, Línguas e Literatura",Bacabal,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.), Silvana Maria Pantoja dos Santos (SANTOS, S. M. P.)"
0124789976698969,21052024,Artigo Publicado,"A perda da autoridade do narrador como recurso formal na representação da violência em K. relato de uma busca, de Bernardo Kucinski",2021,,,,EntreLetras (Online),,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Artigo Publicado,Opressão de gênero e violência de Estado na literatura brasileira contemporânea e sua abordagem no livro didático de Ensino Médio,2021,,,,Entrelaces,,,"Jéssica Maria Cruz Silva (SILVA, J. M. C.), Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Artigo Publicado,O caso da vara e Pai contra mãe: narrativas na contracorrente da dissimulação machadiana sobre a escravidão,2021,,,,MIGUILIM - REVISTA ELETRÔNICA DO NETLLI,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Artigo Publicado,"Notas sobre violência na canção As caravanas, de Chico Buarque",2021,,,,Revista Desenredos,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.), Feliciano José Bezerra Filho (BEZERRA FILHO, F. J.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
0124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
6540334430329383,10072023,Trabalho em Evento,Sobre Schiller e Kant na ?Reconciliação? de dois Acordos,2019,Brasil,IMPASSES DA RACIONALIDADE,SÃO PAULO,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Trabalho em Evento,Multidisciplinaridade e sustentabilidade em debate: educação ambiental além da escola,2018,Brasil,"Anais do X Seminário Internacional de Desenvolvimento Rural   Sustentável, Cooperativismo e Economia Solidária: artigos científicos & resumos expandidos (X.: 2017: Castanhal, PA). / organizadores: Adebaro Alves dos Reis ... [et al.]. Belém (PA): IFPA, 201",Castanhal - PA,,,,"Pedro Paulo dos Santos (SANTOS, P. P.), Alcione Santos de Sousa (SOUSA, Alcione Santos de), David Durval Jesus Vieira (VIEIRA, D. D. J.), Débora Aquino Nunes (NUNES, D. A.), Julianna Kelly Paulino Bezerra de Azevedo (AZEVEDO, J. K. P. B.)"
6540334430329383,10072023,Trabalho em Evento,Friedrich Schiller: boas razões para aceitarmos uma educação estética,2019,Brasil,IX Encontro Nacional de Pesquisa em Filosofia e Primeiro Encontro de Pós-graduação em Filosofia,Belém,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
