numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3147835299657656,20042023,Trabalho em Evento,Levantamento Fitossanitário do Acervo Atual do Herbário Graziela Barroso,2002,Brasil,IX Seminário de Iniciação Cientifica da UFPI,TERESINA,,,,"Lúcia Gomes Pereira dos Santos (SANTOS, L. G. P.), Jones Rodrigues dos Santos (SANTOS, J.R. dos), Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Alexandre Nojoza Amorim (AMORIM, A. N.), Ocimar de Alencar Alves Barbosa (BARBOSA, O. de A. A.), José Orlando Soares Oliveira (OLIVEIRA, J. O. S.), Sandra Maria de Souza e SIlva (SILVA, S. M. de S. e)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002,Brasil,X Seminário de Iniciação Cientifica da UFPI,,,,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002,Brasil,53º Congresso Nacional de Botânica,RECIFE,,,,"Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.), Alexandre Nojoza Amorim (AMORIM, A. N.), Francisco de Assis Rodrigues Soares (SOARES, F. de A. R.)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002,Brasil,25ª Reunião Nordestina de Botânica,RECIFE,,,,"Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.), Alexandre Nojoza Amorim (AMORIM, A. N.), Francisco de Assis Rodrigues Soares (SOARES, F. de A. R.)"
3147835299657656,20042023,Trabalho em Evento,"Carpintaria naval na comunidade de pescadores do bairro Poti Velho, Teresina, Piauí, Brasil.",2008,Brasil,59º Congresso Nacional de Botânica,Natal,,,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias de Melo Barros (BARROS, R. F. de M.)"
3147835299657656,20042023,Trabalho em Evento,Flora madeireira de uma comunidade rural do Centro-Norte piauiense: etnobotânica e uso potencial.,2019,Brasil,70º Congresso Nacional de Botânica,Maceió/AL,,,,"Karen Veloso Ribeiro (RIBEIRO, K. V.), M.H.B. SANTOS (SANTOS, M.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Trabalho em Evento,Confecção de cercas: saberes locais por duas comunidades rurais do Médio-Parnaíba piauiense.,2019,Brasil,X Simpósio Nordestino de Etnobiologia e Etnoecologia,João Pessoa/PB,,,,"Karen Veloso Ribeiro (RIBEIRO, K. V.), Ethyenne Moraes Bastos (BASTOS, E.M.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Artigo Publicado,Vinculação afetiva a quintais urbanos do Nordeste Brasileiro,2015,,,,Espacios (Caracas),,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Denis Barros de Carvalho (CARVALHO, D. B.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Artigo Publicado,"Composição, Uso Potencial E Gerenciamento De Recursos Vegetais Em Um Tipo De Sistema Agroflorestal Como Estratégia De Manutenção E Conservação",2020,,,,"Fronteiras: Journal of Social, Technological and Environmental Science",,,"Karen Veloso Ribeiro (RIBEIRO, K.V.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Artigo Publicado,A flora e fauna úteis de pescadores artesanais.,2010,,,,SAPIÊNCIA (FAPEPI. IMPRESSO),,,"Rosemary da Silva Sousa (SOUSA, R. da S.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
