numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3591530170527406,5122023,Trabalho em Evento,ANÁLISE DA AMPLIAÇÃO DO GÁS NATURAL COMO MATRIZ ENERGÉTICA-O CASO DO GASODUTO NORDESTÃO,2010.0,Brasil,62° REUNIÃO ANUAL DA SBPC,NATAL,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), MARIANA PESSÔA COELHO (COELHO, M. P.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Trabalho em Evento,"AS COMUNIDADES DE V8, V9 E ILHA DO MARUIM: A PARTIR DA MOBILIDADE E DOS SERVIÇOS DE TRANSPORTES PÚBLICOS",2010.0,Brasil,62° REUNIÃO ANUAL DA SBPC,NATAL,,,,"CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), MICHEL SATURNINO BARBOZA (BARBOZA, M. S.)"
3591530170527406,5122023,Trabalho em Evento,ELABORAÇÃO DE MAPA DE USO E OCUPAÇÃO DO SOLO DO ENTORNO DO PORTO DE SUAPE ATRAVÉS DE IMAGENS DOS SENSORES HRC E CCD DO SATÉLITE CBERS,2009.0,Brasil,III COLÓQUIO DE TECNOLOGIAS DA GEOINFORMAÇÃO,RECIFE,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CARLOS VINÍCIUS SILVA VIDAL (VIDAL, C. V. S.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Trabalho em Evento,ESTIMATIVA DO ESTRESSE HÍDRICO NO MÉDIO TRECHO DA BACIA DO IPOJUCA,2010.0,Brasil,II Workshop de Mudanças Climáticas e Recursos Hídricos,RECIFE,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Antônio Marcos dos Santos (SANTOS, A. M.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Trabalho em Evento,Análise Comparativa de Técnicas de Fusão CBERS 2B CCD/HRC para auxiliar no Mapeamento de uso e Ocupação do Solo,2011.0,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Hewerton Alves da Silva (SILVA, H. A.), Liwistone Galdino da Silva (SILVA, L. G.), Daniel Rodrigues de Lira (LIRA, D. R.), Antônio Marcos dos Santos (SANTOS, A. M.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Rejane Magalhães de Mendonça Pimentel (PIMENTEL, R. M. M.)"
3591530170527406,5122023,Trabalho em Evento,"Variação da Linha de Costa da Praia do Janga/Paulista-PE,",2011.0,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Hewerton Alves da Silva (SILVA, H. A.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Valdir do Amaral Vaz Manso (MANSO, V. A. V.)"
3591530170527406,5122023,Trabalho em Evento,Distribuição Espaço Temporal do Ecossistema Manguezal no Estuário Rio Itapessoca - Goiana-PE,2011.0,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Janaina Barbosa da Silva (SILVA, J. B.), Daniel Rodrigues de Lira (LIRA, D. R.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.), Maria Fernanda Abrantes Torres (TORRES, M. F. A.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Hewerton Alves da Silva (SILVA, H. A.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Juliana Lyra Teixeira (TEIXEIRA, J. P.), Dinah Maria da Paz (PAZ, D. M.)"
3591530170527406,5122023,Trabalho em Evento,Mapeamento do estresse hídrico na vegetação a partir da utilização do NDWI: comparação com a adaptação da metodologia australiana MWSP aplicada ao médio trecho da Bacia Hidrográfica do Ipojuca-PE,2011.0,Brasil,XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Curitiba,,,,"Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Lucielle Silva Laurentino (LAURENTINO, L. S.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), Hewerton Alves da Silva (SILVA, H. A.), JOSICLÊDA DOMICIANO GALVÍNCIO (GALVINCIO, J. D.)"
3591530170527406,5122023,Trabalho em Evento,Geoprocessamento aplicado na gestão do patrimônio histórico: um estudo de caso no município de Igarassu-PE.,2012.0,Brasil,VI Geonordeste - Simpósio Regional de Geoprocessamento e Sensoriamento Remoto,Aracaju - SE,,,,"CLÁUDIO ANTÔNIO VIEIRA DA SILVA (SILVA, C. A. V.), Neiva Marion Guimarães de Santana (SANTANA, N. M. G.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), José Gustavo da Silva Melo (MELO, J. G. S.)"
3591530170527406,5122023,Trabalho em Evento,Identificação de feições morfológicas de praias através de Imagens de Satélite Quickbird,2013.0,Brasil,XVI Simpósio Brasileiro de Sensoriamento Remoto - SBSR,Foz do Iguaçu - PR,,,,"Patricia Fernanda Passos de Oliveira (OLIVEIRA, P. F. P.), RENÊ JOSÉ ARRUDA DE MACEDO (MACEDO, R. J. A.), Hewerton Alves da Silva (SILVA, H. A.), EDUARDO PAES BARRETO (BARRETO, E. P.), Elisabeth Regina Alves Cavalcanti Silva (SILVA, E. R. A. C.), Valdir do Amaral Vaz Manso (MANSO, V. A. V.)"
