numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
326067842813408,25012024,Trabalho em Evento,"Desmatamento, Sudesenvolvimento e Pobreza: o Caso do município de Buriticupu",2011.0,Brasil,Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação,Natal,,,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), Danuzia Badu (BADU, D.), Erisvania dos Santos Almeida (ALMEIDA, E. S.), Amanda Kaline Izidório Ferreira (FERREIRA, A. K. I.)"
326067842813408,25012024,Trabalho em Evento,A IMPORTÂNCIA DO ARRANJO PRODUTIVO LOCAL DA MADEIRA E MÓVEL PARA O DESENVOLVIMENTO ECONÔMICO DO MUNICÍPIO DE BURITICUPU,2011.0,Brasil,Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação,Natal,,,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), Ubirana Dias Alves (ALVES, U. D.), Juliano Nunes de Oliveira (OLIVEIRA, J. N.), Eloa Cordeiro Barreto (BARRETO, E. C.), GILBERTH SÁ AMORIM (AMORIM, G. S.)"
326067842813408,25012024,Trabalho em Evento,Inovação no Arranjo Produtivo Local da Madeira e Móvel de Buriticupu,2013.0,Brasil,Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação,Salvador,,,,"Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.)"
326067842813408,25012024,Trabalho em Evento,Trade-off between GHG emissions and economic performance of the Brazilian Agriculture: an environmental input-output analysis.,2015.0,México,23rd International Input-Output Conference,Cidade do México,,,,"Luiz Carlos Santana Ribeiro (RIBEIRO, L. C. S.), Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), Lucio Flavio Sousa Freitas (FREITAS, L. F. S.)"
326067842813408,25012024,Trabalho em Evento,Trade-off between GHG emissions and economic performance of the Brazilian Agriculture: an environmental input-output analysis,2015.0,Brasil,XIII Encontro Nacional da Associação Brasileira de Estudos Regionais e Urbanos (ENABER),,,,,"Luiz Carlos Santana Ribeiro (RIBEIRO, L. C. S.), Eder Johnson de Area Leão Pereira (PEREIRA, E. J. A. L.), Lucio Flavio Sousa Freitas (FREITAS, L. F. S.)"
326067842813408,25012024,Trabalho em Evento,CORRELAÇÃO CRUZADA ENTRE AS EXPRESSÕES REPRESENTANDO MOEDAS NO GOOGLE TRENDS,2016.0,Brasil,Conference: Congresso Norte Nordeste de Pesquisa e Inovação,Maceio,,,,"Eder Johnson de Area Leão Pereira (PEREIRA, ÉDER JOHSON DE AREA LEÃO)"
326067842813408,25012024,Trabalho em Evento,Breve Contribuição das Redes Complexas para a Econofísica,2016.0,Brasil,Conference: Congresso Norte Nordeste de Pesquisa e Inovação,Maceio,,,,"Eder Johnson de Area Leão Pereira (PEREIRA, ÉDER JOHSON DE AREA LEÃO)"
326067842813408,25012024,Trabalho em Evento,MODELOS MATEMÁTICOS: UM MECANISMO DE GESTÃO AMBIENTAL,2019.0,Brasil,V Simpósio Internacional de Inovação e Tecnologia,Salvador,,,,"PALMEIRA, ANDERSON DA SILVA (PALMEIRA, ANDERSON DA SILVA), Eder Johnson de Area Leão Pereira (PEREIRA, EDER JOHNSON DE ÁREA LEÃO), SANTOS, CARLOS CÉSAR RIBEIRO (SANTOS, CARLOS CÉSAR RIBEIRO), XAVIER, PAULO HENRIQUE FARIAS (XAVIER, PAULO HENRIQUE FARIAS), SOLEDADE, ANDRÉ LUIZ SANTOS DA (SOLEDADE, ANDRÉ LUIZ SANTOS DA), MOREIRA, DAVIDSON MARTINS (MOREIRA, DAVIDSON MARTINS)"
326067842813408,25012024,Trabalho em Evento,Assessing productive structures in Brazil with dynamic input?output networks,2019.0,Escócia,27th International Input-Output Conference & 9th Edition of the International School of I-O Analysis,Escócia,,,,"Luiz Carlos Santana Ribeiro (RIBEIRO, L. C. S.), Eder Johnson de Area Leão Pereira (Leão, Eder Johnson de Area), Hernane Borges de Barros Pereira (PEREIRA, H. B. B.), Roberto, Monteiro (Monteiro, R.), Walter, Senna (Senna, W.)"
326067842813408,25012024,Trabalho em Evento,An inter-regional network perspective to evaluate the Brazilian economy,2019.0,Brasil,47º Encontro Nacional de Economia,São Paulo,,,,"Luiz Carlos Santana Ribeiro (RIBEIRO, L. C. S.), Eder Johnson de Area Leão Pereira (Leão, Eder Johnson de Area), Hernane Borges de Barros Pereira (PEREIRA, H. B. B.), Fernado, Perobelli (Perobelli, Fernando)"
