numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
6097010898113537,7042024,Trabalho em Evento,INVESTIGAÇÕES SOBRE A HOSPEDAGEM BED AND BREAKFAST: UMA VISÃO DAS PESQUISAS REALIZADAS NO PERÍODO DE 1991 A 2013,2015.0,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Joniery Rubim de Souza (SOUZA, J. R.), Luísa Belo Cutrim (CUTRIM, L. B.), Mauro Santos (SANTOS, M.)"
6097010898113537,7042024,Trabalho em Evento,A QUALIDADE NO SERVIÇO DOS HOTÉIS NO DESTINO RIO DE JANEIRO (RJ) E O IMPACTO NA SATISFAÇÃO DO CLIENTE: UMA ANÁLISE DAS AVALIAÇÕES DO WEBSITE TRIPADVISOR,2015.0,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Joniery Rubim de Souza (SOUZA, J. R.), Sara Joana Gadotti dos Anjos (ANJOS, S. J. G.)"
6097010898113537,7042024,Trabalho em Evento,ANÁLISE DO PERFIL HOTELEIRO DE SÃO LUÍS DO MARANHÃO: UMA ANÁLISE DO MERCADO DE MEIOS DE HOSPEDAGEM EM CIDADES PATRIMÔNIO HISTÓRICO DA HUMANIDADE,2015.0,Brasil,"III Fórum Científico de Gastronomia, Turismo e Hotelaria - III FCGTURH 'A Inovação e a Internacionalização no Ensino e na Pesquisa em Gastronomia, Turismo e Hotelaria'",BALNEÁRIO CAMBORIÚ,,,,"Mauro Santos (SANTOS, M.), Luis Carlos da Silva Flores (FLORES, L. C. S.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,7042024,Trabalho em Evento,COMUNICAÇÕES INTERCULTURAIS: UM RELATO DE EXPERIÊNCIA EM TERRAS TEXANAS,2016.0,Brasil,"II Seminário de Internacionalização do IFMA com o tema ?Os desafios da mobilidade no IFMA: estratégias, resultados e perspectivas?.",SÃO LUIS (MA),,,,"Cláudia Cristina Cólins Pereira (PEREIRA, C. C. C.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,7042024,Trabalho em Evento,A MOBILIDADE NO ENSINO DA LÍNGUA INGLESA SUSTENTADA A PARTIR DE UMA EXPERIÊNCIA DO PDPI NOS EUA,2016.0,Brasil,"II Seminário de Internacionalização do IFMA com o tema ?Os desafios da mobilidade no IFMA: estratégias, resultados e perspectivas?.",SÃO LUIS (MA),,,,"Themístocles Vieira (VIEIRA, T.), Joniery Rubim de Souza (SOUZA, J. R.)"
6097010898113537,7042024,Trabalho em Evento,Formação e prática docente na inclusão de alunos com TEA: desafios e possibilidades no IFMA,2023.0,Brasil,10º Congresso Brasileiro de Educação Especial - CBEE,São Carlos,,,,"Joniery Rubim de Souza (DE SOUZA, JONIERY RUBIM), MARTINS, MORGANA DE FÁTIMA AGOSTINI (MARTINS, MORGANA DE FÁTIMA AGOSTINI)"
990204423423277,1042024,Trabalho em Evento,Maranhão 70: Memória e Cinema Superoitista,2014.0,Brasil,"I Encontro Nacional de Ficção, Discurso e Memória- Literatura, cinema, gêneros digitais e outros Gêneros",São Luís-MA,,,,"Leide Ana Oliveira Caldas (CALDAS, L. A. O.)"
990204423423277,1042024,Trabalho em Evento,SUPEROITISMO NO MARANHÃO: Práticas fílmicas e a invenção do cinema local como espaço de subversão subterrânea e micro resistências (1970/80),2016.0,Brasil,III Simpósio Internacional em História Contemporânea - Conflitos e Revoluções no Século XX: Circulação de Ideias entre a América e a Europa,São Luís-MA,,,,"Leide Ana Oliveira Caldas (CALDAS, L. A. O.)"
990204423423277,1042024,Trabalho em Evento,"DIAGNÓSTICO SOCIOECONÔMICO DAS COMUNIDADES TRADICIONAIS SÃO PEDRO, CRUZ E BUENOS AIRES NO MUNICÍPIO DE COELHO NETO (MA) - 2018/2019",2019.0,Brasil,IV Semana Multicultural Ciência Cultura e Sustentabilidade,Coelho Neto-MA,,,,"Leide Ana Oliveira Caldas (CALDAS, L. A. O.)"
990204423423277,1042024,Trabalho em Evento,"EXPERIÊNCIAS DO IFMA CAMPUS COELHO ?CINEMA, HISTÓRIA E MEMÓRIA: CINEMA COMO ESPAÇO DE RESISTÊNCIA E MAPEAMENTO/ VISIBILIDADE DOS REMANESCENTES QUILOMBOLAS DA REGIÃO DE COELHO NETO (MA)?",2021.0,Brasil,"X SEMINÁRIO DE ENCERRAMENTO DO MÊS DA CONSCIÊNCIA NEGRA DO NEABI/IFMA E IV MOSTRA DE PESQUISA DO NEABI/IFMA: (re) existências, lutas e diversidades: diálogos ontem e hoje",Coelho Neto-MA,,,,"Leide Ana Oliveira Caldas (CALDAS, L. A. O.), Ana Beatriz Rodrigues dos Santos (SANTOS, A. B. R.), Nicole Wendy Lopes Aguia (AGUIA, N. W. L.)"
