numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
79132488060600,29032024,Trabalho em Evento,Impactos ambientais causados pelo lixo urbano no município de Buriticupu - Maranhão,2011.0,Brasil,"Seminário de Pesquisa, Pós-graduação, Inovação e Extensão","São Luís, MA",,,,"Vilson de Almeida Sousa (SOUSA, V. A.), Ana Paula de Almeida Sousa (SOUSA, A. P. A.), Elson Silva de Sousa (SOUSA, E. S.)"
79132488060600,29032024,Trabalho em Evento,A autoavalição discente como instrumento de regulação no processo de avaliação da aprendizagem,2016.0,Brasil,VII Congresso Internacional de Pesquisa (Auto)biográfica (CIPA),Cuiabá,,,,"Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Elson Silva de Sousa (SOUSA, E. S.), Isabel Cristina Rodrigues de Lucena (LUCENA, I. C. R.), Denize Rodrigues Martins (MARTINS, D. R.), Ronivaldo Castro Pacheco (PACHECO, R. C.)"
79132488060600,29032024,Trabalho em Evento,Refletindo o Feedback nas aulas de Física,2016.0,Brasil,VII Congresso Internacional de Pesquisa (Auto)Biográfica (CIPA),"Cuiabá, MT",,,,"Ronivaldo Castro Pacheco (PACHECO, R. C.), Denize Rodrigues Martins (MARTINS, D. R.), Isabel Cristina Rodrigues de Lucena (LUCENA, I. C. R.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Elson Silva de Sousa (SOUSA, E. S.)"
79132488060600,29032024,Trabalho em Evento,Concepções ambientais de estudantes de uma escola da rede federal de ensino: subsídios para educação ambiental,2013.0,Brasil,VIII Congresso Norte Nordeste de Pesquisa e Inovação (CONNEPI),Salvador,,,,"Elson Silva de Sousa (SOUSA, E. S.), Marly Soares da Costa (COSTA, M. S.)"
79132488060600,29032024,Trabalho em Evento,Fator de proteção solar: conscientização quanto aos riscos da exposição solar sem proteção e a forma correta e eficaz do uso de protetores,2013.0,Brasil,VIII Congresso Norte Nordeste de Pesquisa e Inovação (CONNEPI),Salvador,,,,"Léo Ruben Lopes Dias (DIAS, L. R. L.), Elson Silva de Sousa (SOUSA, E. S.)"
79132488060600,29032024,Trabalho em Evento,Regulação das aprendizagens por meio da autoavaliação,2017.0,Brasil,XI Encontro Nacional de Pesquisa em Educação em Ciências,"Florianópolis, SC",,,,"Elson Silva de Sousa (SOUSA, E. S.), Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.)"
79132488060600,29032024,Trabalho em Evento,O ensino de artrópodes mediado por uma sequência de ensino investigativa,2017.0,Brasil,XI Encontro Nacional de Pesquisa em Educação em Ciências,"Florianópolis, SC",,,,"Márcia Pantoja Contente (CONTENTE, M. P.), Cleide Renata da Silva Machado (MACHADO, C. R. S.), Elson Silva de Sousa (SOUSA, E. S.), Carla Regina da Silva Machado (MACHADO, C. R. S.)"
79132488060600,29032024,Trabalho em Evento,"A criação de uma horta pedagógica numa escola da rede pública municipal de Buriticupu, Maranhão: relato de uma ação do PIBID/BIOLOGIA/IFMA",2017.0,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Francisca Andreza Pereira da Silva (SILVA, F. A. P.), Kaíres Mayane Araújo da Silva (SILVA, K. M. A.), Elen Cristina Vieira Conceição (CONCEIÇÃO, E. C. V.), Luciane de Almeida Silva (SILVA, L. A.), Domingas Ferreira Silva (SILVA, D. F.), Elson Silva de Sousa (SOUSA, E. S.)"
79132488060600,29032024,Trabalho em Evento,"Contribuições para a formação docente a partir da análise de atividades desenvolvidas no âmbito do PIBID, no município de Buriticupu-MA",2017.0,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Amália dos Anjos Beims (BEIMS, A. A.), Andreson de Carvalho Alves (ALVES, A. C.), Gabriela de Sousa Lopes (LOPES, G. S.), Deuvanir Sousa da Silva (SILVA, D. S.), Elson Silva de Sousa (SOUSA, E. S.)"
79132488060600,29032024,Trabalho em Evento,"Puberdade, DST e gravidez na adolescência: o desenvolvimento de uma palestra socioeducativa sobre sexualidade numa escola pública em Buriticupu, Maranhão",2017.0,Brasil,III Workshop de Projetos e TCCs e Encontro de Iniciação a Docência,Bacabal-MA,,,,"Maria Gonçalves (GONÇALVES, M.), Iara Avelino da Rocha Brito (BRITO, I. A. R.), Francisca Andreza Pereira da Silva (SILVA, F. A. P.), Kaíres Mayane Araújo da Silva (SILVA, K. M. A.), Domingas Ferreira Silva (SILVA, D. F.), Elson Silva de Sousa (SOUSA, E. S.)"
