numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
4623016052878309,9052024,Trabalho em Evento,Uma Abordagem Real para o Ensino da Química Frente a LDB e os PCN's,2005.0,Brasil,II Semana do Químico,São Luís-MA,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.)"
4623016052878309,9052024,Trabalho em Evento,Estudo do efeito larvicida dos óleos essenciais de Pimenta dioica Lindl e Aniba duckei Kostermans,2009.0,Brasil,XI Encontro de Profissionais da Química da Amazônia,Belém-PA,,,,"Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.), Marlucy Bezerra Oliveira (OLIVEIRA, M. B.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Vitor Rabelo (RABELO, V.)"
4623016052878309,9052024,Trabalho em Evento,"Análise físico-química de carne de caranguejo-uça cordatus (Linaneus, 1763)",2009.0,Brasil,XI Encontro de Profissionais da Química da Amazônia,Belém-PA,,,,"Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.), Marlucy Bezerra Oliveira (OLIVEIRA, M. B.), Adenilde Ribeiro Nascimento (NASCIMENTO, A. R.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Silvio Carvalho Marinho (MARINHO, S.C)"
4623016052878309,9052024,Trabalho em Evento,Determinação dos principais componentes químicos da mistura de óleos essenciais de Pimenta dióica Lindl e de Aniba duckei Kostermans,2010.0,Brasil,50º Congresso Brasileiro de Química,Cuiabá-MT,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), VERBINNEN, R. T. (VERBINNEN, R. T.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Trabalho em Evento,Desempenho da mistura de óleos essenciais de Pimenta dióica Lindl e de Aniba duckei Kostermans no combate a bactérias patogênicas,2010.0,Brasil,50º Congresso Brasileiro de Química,Cuiabá-MT,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.), RABÊLO, W. F. (RABÊLO, W. F.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Trabalho em Evento,Oralidade um Instrumento de Inclusão Social na Educação de Jovens e Adultos,2010.0,Brasil,Seminário de Iniciação Científica,São Luís-MA,,,,"Inaldo dos Santos Pereira Alves (ALVES, I. S. P.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Andrea Vasconcelos Melo (MELO, A. V.), Alvimar de Jesus Schalcher Pereira (PEREIRA, A. J. S.), Márcia Helena Sauáia Guimaraes Rostas (ROSTAS, M. H. S. G.)"
4623016052878309,9052024,Trabalho em Evento,Avaliação Larvicida (Aedes aegypti) da mistura dos óleos da Pimenta dioica Lindl e Aniba Duckei K,2011.0,Brasil,IX Latin American Symposium,Salvador-BA,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Andrea Vasconcelos Melo (MELO, A. V.), Adenilde Ribeiro Nascimento (NASCIMENTO, A. R.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Trabalho em Evento,Evaluation of antibacterial activity of essential fruits oils mixture of dioecious lindl pepper and Aniba Duckei Kostermans stem,2011.0,Brasil,V Simpósio de Microbiologia Aplicada,Rio Claro-SP,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Adenilde Ribeiro Nascimento (NASCIMENTO, A. R.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Andrea Vasconcelos Melo (MELO, A. V.), Ivone Garros Rosa (ROSA, I. G.), Anderson Luís Pereira Silva (SILVA, A. L. P.), Marlucy Bezerra Oliveira (OLIVEIRA, M. B.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.), RABÊLO, W. F. (RABÊLO, W. F.), Augusto Mendel Brito Costa (COSTA, A. M. B.)"
4623016052878309,9052024,Trabalho em Evento,Utilização de materiais alternativos na evolução dos modelos atômicos,2011.0,Brasil,51º  Congresso Brasileiro de Química,São Luís-MA,,,,"FERREIRA, M. B. P. (FERREIRA, M. B. P.), CHAGAS, M. F. S. (CHAGAS, M. F. S.), GATINHO JR, A. (GATINHO JR, A.), LAVRA, T. C. C. (LAVRA, T. C. C.), OLIVEIRA, R. R. (OLIVEIRA, R. R.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), OLIVEIRA, M. M. (OLIVEIRA, M. M.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.)"
4623016052878309,9052024,Trabalho em Evento,Determinação experimental dos raios iônicos do íon sódio e íon cloro no cloreto de sódio a partir do sal de cozinha,2012.0,Brasil,64ª Reunião Anual da Anual da Sociedade Brasileira para Progresso da Ciência (SBPC),São Luís-MA,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Rosane Saraiva Melo (MELO, R. S.), Hawbertt Rocha Costa (COSTA, H. R.), Adilson Luís Pereira Silva (SILVA, A. L. P.), Jaldyr de Jesus Gomes Varela Júnior (VARELA JUNIOR, J. J. G.)"
