numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3789595345955753,16052024,Trabalho em Evento,Estudo fitossociológico de Humiria balsamifera (Aubl.) A. St. Hil em área de pasto apícola em Floresta Ombrófila para determinação de seus usos na Agricultura Familiar,2009.0,Brasil,VI Congresso Brasileiro de Agroecologia e II Congresso Latino Americano de Agroecologia,Curitiba,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ariadne Enes Rocha (ROCHA, A. E.)"
3789595345955753,16052024,Trabalho em Evento,Analise Polínica de mel de abelhas Apis mellifera em área de restinga no municipio de Morros - Maranhão,2006.0,Brasil,VII Encontro sobre Abelhas,Ribeirão Preto -SP,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), José Malheiros Silva (SILVA, J. M.), Francisca Helena Muniz (MUNIZ, F. H.)"
3789595345955753,16052024,Trabalho em Evento,Bacterial Community in soil contaminated with chromium,2018.0,Eslováquia,International Conference Contaminated sites 2018,Bansaká Bystrica,,,,"Ademir Sergio de Ferreira Araújo (ARAUJO, A. S. F.), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA)"
3789595345955753,16052024,Trabalho em Evento,Soil Contamination by the presence of Chromium and temporal effects on bacterial community,2018.0,Eslováquia,International Conference Contaminated Sites 2018,Banská Bystrica,,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), Ademir Sergio de Ferreira Araújo (ARAUJO, A. S. F.)"
3789595345955753,16052024,Trabalho em Evento,SOIL BACTERIAL DIVERSITY AFTER EIGHT YEARS OF COMPOSTED TANNERY SLUDGE AMENDMENT,2017.0,Holanda,Wageningen Soil Conference 2017,Wageningen,,,,"Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA)"
3789595345955753,16052024,Trabalho em Evento,Avaiação de atributos microbianos do solo em Cerrado Maranhense,2019.0,Brasil,Semana Nacional de Ciencia e Tecnologia,Caxias,,,,"Louhana dos Santos Oliveira (OLIVEIRA, L. S.), Francinete Sousa de Oliveira (OLIVEIRA, F. S.), Roniclecia Figuereido e Silva (SILVA, R. F. E.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Regia Maria Reis Gualter (GUALTER, R. M. R.)"
4754106250302979,4042024,Trabalho em Evento,ACESSIBILIDADE EM WEBSITES PARA PORTADORES DE  DEFICIÊNCIA AUDITIVA,2010.0,Brasil,V Congresso de Pesquisa e Inovação da Rede Norte Nordeste de Educação Tecnológica (CONNEPI 2010),"Maceió, AL",,,,"FILIPE ALMEIDA REIS OLIVEIRA (OLIVEIRA, F. A. R.), SIMONE AZEVEDO BANDEIRA DE MELO (MELO, S. A. B.), Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Trabalho em Evento,Ambiente virtual 3D para Operação e Controle de sistemas de potência integrando SCADA/SMS e GIS,2010.0,Brasil,Simpósio Brasileiro de Sistemas Elétricos,Belém,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Anselmo Cardoso de Paiva (PAIVA, A. C.), Cláudio de Souza Baptista (BAPTISTA, C. S.), Fábio Luis Leite Jr (LEITE, F. L.), Ana Gabrielle R. Falcão (FALCÃO, A. G. R.), Rogério Augusto C. Fernandes (FERNANDES, R. A. C.)"
4754106250302979,4042024,Trabalho em Evento,Visualização tridimensional de sistemas de potência,2011.0,Brasil,"XXIV Sibgrapi ? Conference on Graphics, Patterns and Images",Maceió,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Anselmo Cardoso de Paiva (PAIVA, A. C.), Cláudio de Souza Baptista (BAPTISTA, C. S.), Fábio Luis Leite Jr (LEITE, F. L.), Ana Gabrielle R. Falcão (FALCÃO, A. G. R.), Rogério Augusto C. Fernandes (FERNANDES, R. A. C.)"
4754106250302979,4042024,Trabalho em Evento,A VISUALIZATION METHOD FOR POWER SYSTEMS USING GEOGRAPHICAL VIEWS USING THIESSEN POLYGONS,2011.0,Brasil,International Conference on Power and Energy Systems and Applications,"Pittsburgh, USA",,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Anselmo Cardoso de Paiva (PAIVA, A. C.), Cláudio de Souza Baptista (BAPTISTA, C. S.), Fábio Luis Leite Jr (LEITE, F. L.), Rogério Augusto C. Fernandes (FERNANDES, R. A. C.)"
