numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
5520499679953825,8042024,Trabalho em Evento,Análise Sistemática de um Conversor Forward a duas Chaves Simulado em Ambiente Spice,2009.0,Brasil,Congresso de Pesquisa e Inovação da Rede Norte Nordeste de Educação Tecnológica,Belém,,,,"GOMES, E. C. (GOMES, E. C.), Miranda, R.S. (MIRANDA, R.S.), GOMES, A. P. M. (GOMES, A. P. M.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.)"
5520499679953825,8042024,Trabalho em Evento,Nova estratégia de desguarnecimento e renovação na Estrada de Ferro Carajás,2013.0,Brasil,IV Encontro de Ferrovias ANTF,Vitória,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Eduardo Antônio Freire de Medeiros Filho (MEDEIROS FILHO, E. A. F.), Marcelo Augusto Santos (SANTOS, M. A.)"
5520499679953825,8042024,Trabalho em Evento,Arranjo Físico do Sistema Produtivo de uma Fábrica de Uniformes,2014.0,Brasil,XXXIV Encontro Nacional de Engenharia de Produção,Curitiba,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Mauro Enrique Carozzo Todaro (TODARO, M. E. C.)"
5520499679953825,8042024,Trabalho em Evento,Teste de Flexibilidade Sentar e Alcançar Automatizado com Arduino,2018.0,Brasil,III Simpósio Nacional de Tecnologias Digitais na Educação,São Luís,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Ana Karine Pires Miranda (MIRANDA, A. K. P.), Lethycia Pereira Rosa (ROSA, L. P.), Annya Gabryelle Costa Moura (MOURA, A. G. C.), Anderson Araújo Meireles (MEIRELES, A. A.), Renan de Andrade Correa (CORREA, R. A.)"
5520499679953825,8042024,Trabalho em Evento,Algoritmos de Otimização Combinados Aplicados à Identificação de Sistemas,2019.0,Brasil,"Conferência Brasileira de Dinâmica, Controle e Aplicações - DINCON 2019",São Carlos,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Gideon Villar Leandro (LEANDRO, G. V.)"
5520499679953825,8042024,Trabalho em Evento,PARAMETER ESTIMATION OF THE HYDRAULIC AMPLIFIER PLUS HYDRAULIC TURBINE USING METAHEURISTICS,2019.0,Brasil,25th International Congress of Mechanical Engineering,,,,,"BERGAMINI, MARIANE (BERGAMINI, MARIANE), ORLANDO DE MORAES, CARLA EDUARDA (ORLANDO DE MORAES, CARLA EDUARDA), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, ÁDAMO), COSTA OLIVEIRA, GUSTAVO HENRIQUE (COSTA OLIVEIRA, GUSTAVO HENRIQUE), LEANDRO, GIDEON (LEANDRO, GIDEON), PARENTE RIBEIRO, EDUARDO (PARENTE RIBEIRO, EDUARDO)"
5520499679953825,8042024,Trabalho em Evento,INVERSE MODEL BASED ON NEURAL NETWORKS TRAINED WITH EXTREME LEARNING MACHINE AND LEVENBERG-MARQUARDT ALGORITHM,2019.0,Brasil,25th International Congress of Mechanical Engineering,,,,,"Ádamo Henrique Rocha de Oliveira (OLIVEIRA, ÁDAMO), LEANDRO, GIDEON (LEANDRO, GIDEON)"
5520499679953825,8042024,Trabalho em Evento,Fluxo de Potência Ótimo Aplicado à Programação da Operação de um Dia à Frente de Microrredes Isoladas,2020.0,Brasil,VIII Simpósio Brasileiro de Sistemas Elétricos,Santo André - SP,,,,"Wagner Felipe Santana Souza (SOUZA, W. F. S.), Ádamo Henrique Rocha de Oliveira (OLIVEIRA, Á. H. R.), Roman Kuiava (KUIAVA, R.), Gideon Villar Leandro (LEANDRO, G. V.)"
5520499679953825,8042024,Trabalho em Evento,Programação da Operação de um Dia à Frente de Microrredes Isoladas,2022.0,Brasil,XXIV Congresso Brasileiro de Automática,Online,,,,"WAGNER F. S. SOUZA (WAGNER F. S. SOUZA), Ádamo Henrique Rocha de Oliveira (ÁDAMO H. R. DE OLIVEIRA), ROMAN KUIAVA (ROMAN KUIAVA), GIDEON V. LEANDRO (GIDEON V. LEANDRO)"
5520499679953825,8042024,Trabalho em Evento,Stochastic Optimal Power Flow Applied in Day-Ahead Planning of Isolated Microgrids,2020.0,Canadá,2020 IEEE Power & Energy Society General Meeting (PESGM),Montreal,,,,"SOUZA, WAGNER F. S. (SOUZA, WAGNER F. S.), Ádamo Henrique Rocha de Oliveira (DE OLIVEIRA, ADAMO H. R.), RODRIGUES, LUCAS FARIAS M. (RODRIGUES, LUCAS FARIAS M.), KUIAVA, ROMAN (KUIAVA, ROMAN), LEANDRO, GIDEON V. (LEANDRO, GIDEON V.)"
1430247353953025,12012024,Trabalho em Evento,INTOLERÂNCIA DE GÊNERO NO ESPAÇO DAS REDES SOCIAIS,2018.0,Brasil,VII ENALIC - Encontro Nacional das Licenciaturas,Fortaleza - CE,,,,"Daniel Barcelos da Cunha (CUNHA, D. B.), Maria Consuelo Alves Lima (LIMA, M. C. A.), Jackson Ronie Sá-Silva (SÁ-SILVA, J. R.)"
3744640013966658,25032024,Trabalho em Evento,Memórias e realato oral em estudo sobre a escolarização/formação docente.,2002.0,Brasil,XIII Seminário de Iniciação Científica da UFPA,Belém,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,Cinema e cidade: um estudo sobre o lazer na Belém dos anos de 1920.,2010.0,Brasil,"III SIMPÓSIO INTERNACIONAL DE HISTÓRIA DA AMAZÔNIA - VII ENCONTRO REGIONAL DE HISTÓRIA - ANPUH NÚCLEO PARÁ - III ENCONTRO PARAENSE DE ESTUDANTES DE HISTÓRIA &quot;SABERES, PRÁTICAS E PLURALIDADE NA AMAZÔNIA: O ENSINO E A PESQUISA EM HISTÓRIA&quot;",Belém,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,NA SOIRÉE DA MODA: o cotidiano das salas de cinema em Belém do Pará nos anos de 1920,2011.0,Brasil,XXVI SIMPÓSIO NACIONAL DE HISTÓRIA,São Paulo,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,Espectadoras: recepção e gênero na Belém dos anos de 1920.,2012.0,Brasil,XVI  Encontro da SOCINE Cinema Brasileiro e as Novas Cartografias do Cinema Mundial.,São Paulo,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,O espectador cinematográfico na Belém dos anos de 1920,2012.0,Brasil,VIII ENCONTRO REGIONAL DE HISTÓRIA ? ANPUH SEÇÃO PARÁ,Belém,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,Notas sobre a recepção cinematográfica na Amazônia através de Os Espectadores,2012.0,Brasil,"2º Encontro Regional Norte de História da Mídia e 2º Seminário de História, Cultura e Meios de Comunicação na Amazônia",Belém,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
3744640013966658,25032024,Trabalho em Evento,?Os Espectadores?: Notas sobre a recepção cinematográfica na Amazônia,2013.0,Brasil,XVII Encontro da SOCINE -  A sobrevivência das imagens,Florianópolis,,,,"Eva Dayna Felix Carneiro (CARNEIRO, E. D. F.)"
