numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
124789976698969,21052024,Trabalho em Evento,"A posição do narrador na representação da violência da ditadura civil-militar brasileira em K. relato de uma busca, de Bernardo Kucinski",2021.0,Brasil,"III Encontro Nacional de Estudos Linguísticos e Literários e I Encontro Internacional de Pesquisas em Letras: Língua, Literatura e Educação",Caxias,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Trabalho em Evento,"Literatura brasileira e violência: um olhar sobre o romance Essa gente, de Chico Buarque",2021.0,Brasil,"IV Congresso Internacional de Letras, Línguas e Literatura",Bacabal,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.), Silvana Maria Pantoja dos Santos (SANTOS, S. M. P.)"
6540334430329383,10072023,Trabalho em Evento,Sobre Schiller e Kant na ?Reconciliação? de dois Acordos,2019.0,Brasil,IMPASSES DA RACIONALIDADE,SÃO PAULO,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Trabalho em Evento,Multidisciplinaridade e sustentabilidade em debate: educação ambiental além da escola,2018.0,Brasil,"Anais do X Seminário Internacional de Desenvolvimento Rural   Sustentável, Cooperativismo e Economia Solidária: artigos científicos & resumos expandidos (X.: 2017: Castanhal, PA). / organizadores: Adebaro Alves dos Reis ... [et al.]. Belém (PA): IFPA, 201",Castanhal - PA,,,,"Pedro Paulo dos Santos (SANTOS, P. P.), Alcione Santos de Sousa (SOUSA, Alcione Santos de), David Durval Jesus Vieira (VIEIRA, D. D. J.), Débora Aquino Nunes (NUNES, D. A.), Julianna Kelly Paulino Bezerra de Azevedo (AZEVEDO, J. K. P. B.)"
6540334430329383,10072023,Trabalho em Evento,Friedrich Schiller: boas razões para aceitarmos uma educação estética,2019.0,Brasil,IX Encontro Nacional de Pesquisa em Filosofia e Primeiro Encontro de Pós-graduação em Filosofia,Belém,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
2660971989902220,21042024,Trabalho em Evento,Caracterização dos Pacientes Submetidos a Angioplastia em um Hospital do Interior do Ceará,2012.0,Brasil,II Congresso Piauiense de Saúde Pública e II seminário de Ensino na Saúde,luis Correia-PI,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S), Danusa de Araujo Felinto (Felinto, D.A), Francisca Elisangela Lima Texeira (TEXEIRA, F. E. L.), Adriana Gomes Nogueira Ferreira (FERREIRA, A. G. N.), Keila Maria de Azevedo Ponte (Ponte, K.M.A), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), ALDIÂNIA CARLOS BALBINO (BALBINO, A. C), maria luciana alves silveira (SILVEIRA, M. L. A.), Edileusa maria pereira da silva (SILVA, E. M. P)"
2660971989902220,21042024,Trabalho em Evento,Avaliação do Risco Cardiovascular em Pacientes Hipertensos na Unidade de Saúde nº V do Município de Floriano-PI,2012.0,Brasil,II Congresso Piauiense de Saúde Pública e II seminário de Ensino na Saúde,luis Correia-PI,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), daniela dantas costa (COSTA, D. D), Danusa de Araujo Felinto (Felinto, D.A), Lígia Caline Martins Virginio (VIRGINIO, L. C. M), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Pollyanna Vieira de Sousa (SOUSA, P.V), Edileusa maria pereira da silva (SILVA, E. M. P), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S), Adriana da Silva barros (Barros, A.S), maria luciana alves silveira (SILVEIRA, M. L. A.)"
2660971989902220,21042024,Trabalho em Evento,Analise das Atividades de Educação em Saúde do Enfermeiro na ESF,2012.0,Brasil,II Congresso Piauiense de Saúde Pública e II seminário de Ensino na Saúde,luis Correia-PI,,,,"Edileusa maria pereira da silva (SILVA, E. M. P), Danusa de Araujo Felinto (Felinto, D.A), márcia de sousa saraiva (SARAIVA, M. S), cristina torres miranda (MIRANDA, T.C), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Pollyanna Vieira de Sousa (SOUSA, P.V), Adriana da Silva barros (Barros, A.S), maria luciana alves silveira (SILVEIRA, M. L. A.)"
2660971989902220,21042024,Trabalho em Evento,Analise da Prescrição Farmacológica de Pacientes Hipertensos Atendidos Em Uma Unidade Básica de Saúde Em Floriano-PI,2012.0,Brasil,II Congresso Piauiense de Saúde Pública e II seminário de Ensino na Saúde,luis Correia-PI,,,,"Edileusa maria pereira da silva (SILVA, E. M. P), Savia Penha (PENHA, S.), maria luciana alves silveira (SILVEIRA, M. L. A.), Danusa de Araujo Felinto (Felinto, D.A), Helinny Rodrigues da Fonseca (FONSECA, H. R), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S), francisca maria dias castro (CASTRO, M. F), Lindoval cipriano alves (ALVES, L. C)"
2660971989902220,21042024,Trabalho em Evento,Câncer de Pele: Conhecimento dos agentes comunitários de saúde sobre medidas de auto proteção,2011.0,Brasil,XI simpósio de produção cientifica e X seminário de iniciação cientifica,Teresina-PI,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Adriana da Silva barros (Barros, A.S), Klycia Giselle Farias Vieira (Vieira, K.G.F), Ana Maria de Araújo Dias (DIAS, A. M. A)"
2660971989902220,21042024,Trabalho em Evento,Oxigenoterapia De Recém-Nascidos Em Alta Complexidade Pediátrica: Um Estudo Documental,2012.0,Brasil,15º CBCENF-Congresso Brasileiro dos Conselhos de Enfermagem,Fortaleza,,,,"Aldiane Carlos Balbino (BALBINO, A.C), Danusa de Araujo Felinto (Felinto, D.A), FERNANDA ROCHELY DO NASCIMENTO MOTA (MOTA, F. R. N.), Antonio Guanacuy Almeida Moura (MOURA, A. G. A.)"
2660971989902220,21042024,Trabalho em Evento,Auto-exame de mama: Percepção de Um grupo de mulheres acerca deste procedimento,2012.0,Brasil,II jornada cientifica da Faesf,Floriano,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Adriana da Silva barros (Barros, A.S), Pollyanna Vieira de Sousa (SOUSA, P.V)"
2660971989902220,21042024,Trabalho em Evento,"Auto-exame das mamas: conhecimento, atitude e pratica das mulheres no municipio de Bonfim do Piauí",2012.0,Brasil,XII simpósio de produção cientifica e XI seminário de iniciação cientifica,Teresina,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Pollyanna Vieira de Sousa (SOUSA, P.V), Adriana da Silva barros (Barros, A.S), Fabíola Ferreira dos Santos (SANTOS, F. F.), Juliana Rocha de Passos (PASSOS, J. R.), Glauba da Silva Costa (COSTA, G. S.), Elaine Chayana da Silva Sá (SA, E.Elaine Chayana da Silva Sá C. S.), Vanessa da Silva Arruda (ARRUDA, V. S.), Edileusa maria pereira da silva (SILVA, E. M. P)"
