numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3147835299657656,20042023,Trabalho em Evento,Levantamento Fitossanitário do Acervo Atual do Herbário Graziela Barroso,2002.0,Brasil,IX Seminário de Iniciação Cientifica da UFPI,TERESINA,,,,"Lúcia Gomes Pereira dos Santos (SANTOS, L. G. P.), Jones Rodrigues dos Santos (SANTOS, J.R. dos), Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Alexandre Nojoza Amorim (AMORIM, A. N.), Ocimar de Alencar Alves Barbosa (BARBOSA, O. de A. A.), José Orlando Soares Oliveira (OLIVEIRA, J. O. S.), Sandra Maria de Souza e SIlva (SILVA, S. M. de S. e)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002.0,Brasil,X Seminário de Iniciação Cientifica da UFPI,,,,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002.0,Brasil,53º Congresso Nacional de Botânica,RECIFE,,,,"Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.), Alexandre Nojoza Amorim (AMORIM, A. N.), Francisco de Assis Rodrigues Soares (SOARES, F. de A. R.)"
3147835299657656,20042023,Trabalho em Evento,"Plantas Úteis de Áreas de Cerrado e de Transição entre Cerrado, Caatinga e Carrasco no Estado do Piauí, Brasil",2002.0,Brasil,25ª Reunião Nordestina de Botânica,RECIFE,,,,"Antonio Alberto Jorge Farias Castro (CASTRO, A. A. J. F.), Maria Elisane Araújo Sousa (SOUSA, M. E. A.), Alexandre Nojoza Amorim (AMORIM, A. N.), Francisco de Assis Rodrigues Soares (SOARES, F. de A. R.)"
3147835299657656,20042023,Trabalho em Evento,"Carpintaria naval na comunidade de pescadores do bairro Poti Velho, Teresina, Piauí, Brasil.",2008.0,Brasil,59º Congresso Nacional de Botânica,Natal,,,,"Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias de Melo Barros (BARROS, R. F. de M.)"
3147835299657656,20042023,Trabalho em Evento,Flora madeireira de uma comunidade rural do Centro-Norte piauiense: etnobotânica e uso potencial.,2019.0,Brasil,70º Congresso Nacional de Botânica,Maceió/AL,,,,"Karen Veloso Ribeiro (RIBEIRO, K. V.), M.H.B. SANTOS (SANTOS, M.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
3147835299657656,20042023,Trabalho em Evento,Confecção de cercas: saberes locais por duas comunidades rurais do Médio-Parnaíba piauiense.,2019.0,Brasil,X Simpósio Nordestino de Etnobiologia e Etnoecologia,João Pessoa/PB,,,,"Karen Veloso Ribeiro (RIBEIRO, K. V.), Ethyenne Moraes Bastos (BASTOS, E.M.), Alexandre Nojoza Amorim (AMORIM, A. N.), Roseli Farias Melo de Barros (BARROS, R. F. M.)"
8635822084355007,23052024,Trabalho em Evento,Qual a importância da disciplina Filosofia no Ensino Fundamental e Médio?,2010.0,Brasil,VIII Semana da Pesquisa Científica,Teresina,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), AMORIM, L.L.C. (AMORIM), MESQUITA,Hartemes Silva de. (MESQUITA), SILVA, Josemar Pereira da. (SILVA), ALVES, N.V.de Oliveira. (ALVES)"
8635822084355007,23052024,Trabalho em Evento,PARTICIPAÇÃO CIDADÃ NA SAÚDE. O PROJOVEM ADOLESCENTE NA MOBILIZAÇÃO CONTRA A DENGUE.,2013.0,Brasil,III CONGRESSO PIAUIENSE DE SAÚDE PÚBLICA - COPISP,Parnaiba-PI,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Moisé do Nascimento Bonfim (BONFIM, M. N.), Cristiani Hembecker Bonfim (BONFIM, C. H.), Francisco Pereira de Sousa Filho (SOUSA FILHO, F. P.)"
8635822084355007,23052024,Trabalho em Evento,LAÇOS DE EDUCAÇÃO FAMILIAR,2017.0,Brasil,III Simpósio de História da UESPI: sociedade e mundos do trabalho,Teresina,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Isabel Cristina de Sousa Silva (SILVA, I. C. S.), Maycon Rodrigues da Silva (SILVA, M. R.)"
8635822084355007,23052024,Trabalho em Evento,EMPREENDEDORISMO FEMININO E A IMPORTÂNCIA DAS MULHERES PARA A SOCIEDADE,2017.0,Brasil,III Simpósio de História da UESPI: sociedade e mundos do trabalho,Teresina,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Isabel Cristina de Sousa Silva (SILVA, I. C. S.), Maycon Rodrigues da Silva (SILVA, M. R.)"
8635822084355007,23052024,Trabalho em Evento,TRAÇANDO EMPRESAS NOVAS EM FAMÍLIA,2017.0,Brasil,III Simpósio de História da UESPI: sociedade e mundos do trabalho,Teresina,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Isabel Cristina de Sousa Silva (SILVA, I. C. S.), Maycon Rodrigues da Silva (SILVA, M. R.)"
8635822084355007,23052024,Trabalho em Evento,HISTÓRIA E MEMÓRIA DO CAMPUS BURITICUPU,2016.0,Brasil,XI Congresso Norte Nordeste de Pesquisa e Inovação,Alagoas,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Jhonata Wilson Pereira Fernandes (FERNANDES, J. W. P.), Railson Silva Paz (PAZ, R. S.)"
8635822084355007,23052024,Trabalho em Evento,JUVENTUDE E POLÍTICAS PÚBLICAS: abrangência e relevância,2016.0,Brasil,XI Congresso Norte Nordeste de Pesquisa e Inovação,Alagoas,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Jhonata Wilson Pereira Fernandes (FERNANDES, J. W. P.), Railson Silva Paz (PAZ, R. S.)"
8635822084355007,23052024,Trabalho em Evento,SUCESSOS E MALOGROS EMPRESARIAIS: empreendedores em Buriticupu-MA,2016.0,Brasil,XI Congresso Norte Nordeste de Pesquisa e Inovação,Alagoas,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.), Lucelia da Silva Almeida (ALMEIDA, L. S.), Beatriz Pereira Sousa (SOUSA, B. P.)"
8635822084355007,23052024,Trabalho em Evento,"Agenda midiática, suítes e soslais: o poder da midiatização influenciando o dia a dia das pessoas",2019.0,Brasil,III Seminário Internacional de Pesquisas em Midiatização e Processos Sociais,São Leopoldo/RS,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.)"
8635822084355007,23052024,Trabalho em Evento,SANTIDADE EM ALTAR: a cultura do bumba-meu-boi a midiatização em torno de São Marçal,2019.0,Brasil,42º Congresso Brasileiro de Ciências da Comunicação,Belém,,,,"Antônio Jorlan Soares de Abreu (ABREU, A. J. S.)"
