numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), Rodrigo Baluz (BALUZ, R.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), David Miranda Rodrigues (RODRIGUES, D. M.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), Nécio de Lima Veras (VERAS, Nécio de Lima)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Ariel Soares Teles (TELES, A. S.), Francisco José da Silva e Silva (SILVA, F. J. S. E.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Vitor Pinheiro (PINHEIRO, V.), Markus Endler (ENDLER, Markus)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), Dejailson Nascimento Pinheiro (PINHEIRO, D. N.), Jesseildo Figueredo Gonçalves (GONCALVES, J. F.), Rômulo de Carvalho Batista (BATISTA, R. C.), Vitor Pinheiro (PINHEIRO, V.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Markus Endler (ENDLER, Markus)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, ARIEL S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.), Francisco José da Silva e Silva (SILVA, F. J. S. E.), Zair Abdelouahab (ABDELOUAHAB, Z.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, ARIEL S.), Evandro Jose dos Santos Diniz (DINIZ, E. J. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (TELES, A. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL), Eville Ribeiro-Novaes (RIBEIRO-NOVAES, E.), Odaleia Alves da Costa (COSTA, O. A.), Dailson Coelho Abreu (ABREU, D. C.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (SOARES TELES, ARIEL), Daniele Lavra Vieira (VIEIRA, D. L.), Gilmar Pereira Limeira Junior (LIMEIRA JUNIOR, G. P.), Éville Karina Maciel Delgado Ribeiro Novaes (NOVAES, E. K. M. D. R.), Isa Marilia Silva de Oliveira (OLIVEIRA, I. M. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares), Daniele Lavra Vieira (VIEIRA, D. L.), Alexsandra Pinheiro Vasconcelos (VASCONCELOS, A. P.), Hellem Torres Saraiva (SARAIVA, H. T.), Joyce Melo Mesquita (MESQUITA, J. M.), Luana Lopes Padilha (PADILHA, L. L.), Mirelle Cutrim Penha Pestana (PESTANA, M. C. P.), Rodson Regi de Sousa Correia (CORREIA, R. R. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares), Nick Titov (TITOV, N.), Pepijn Van de Ven (VEN, P. V.), Terry Fleming (FLEMING, T.), Janika Thielecke (THIELECKE, J.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares), DURCILENE ALVES DA SILVA (SILVA, D. A.), Cintia Martins Perinotto (PERINOTTO, C. M.), Silmar Silva Teixeira (TEIXEIRA, S. S.)"
5012476998883237,4032024,Outro Tipo de Produção Técnica,,,,,,,,,"Ariel Soares Teles (Teles, Ariel Soares), GUSTAVO PINTO FONSECA (FONSECA, G. P.)"
