numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), VERBINNEN, R. T. (VERBINNEN, R. T.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.), RABÊLO, W. F. (RABÊLO, W. F.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Andrea Vasconcelos Melo (MELO, A. V.), Ivone Garros Rosa (ROSA, I. G.), Anderson Luís Pereira Silva (SILVA, A. L. P.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Andrea Vasconcelos Melo (MELO, A. V.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Neuton Silva Souza (SOUZA, N. S.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"FERREIRA, M. B. P. (FERREIRA, M. B. P.), CHAGAS, M. F. S. (CHAGAS, M. F. S.), GATINHO JR, A. (GATINHO JR, A.), LAVRA, T. C. C. (LAVRA, T. C. C.), OLIVEIRA, R. R. (OLIVEIRA, R. R.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), OLIVEIRA, M. M. (OLIVEIRA, M. M.), Gilvan Pereira de Figueredo (FIGUEREDO, G. P.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Rosane Saraiva Melo (MELO, R. S.), Hawbertt Rocha Costa (COSTA, H. R.), Anderson Luís Pereira Silva (SILVA, A. L. P.), Jaldyr de Jesus Gomes Varela Júnior (VARELA JUNIOR, J. J. G.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Marlucy Bezerra Oliveira (OLIVEIRA, M. B.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Silvio Carvalho Marinho (MARINHO, S.C), Valdez Diniz Júnior (DINIZ-JÚNIOR, V.), RABÊLO, W. F. (RABÊLO, W. F.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Marlucy Bezerra Oliveira (OLIVEIRA, M. B.), Victor Elias Mouchrek Filho (MOUCHREK-FILHO, V. E.), Adenilde Ribeiro Nascimento (NASCIMENTO, A. R.), Aldemir da Guia Schalcher Pereira (PEREIRA, A. G. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Josilene Lima Serra (SERRA, J. L.), Silvio Carvalho Marinho (MARINHO, S.C.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Lana Fernanda Borges da Silva (SILVA, L. F. B.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Maria da Assunção Silva Carlos (CARLOS, M. A. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), José Adalmir Torres de Souza (SOUZA, J. A. T.), Glayde Maria Carvalho Véras (VÉRAS, G. M. C.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Maria  Assunção da Silva Carlos (CARLOS, M. A. S.), Lana Fernanda Borges da Silva (SILVA, L. F. B.), Francisco Lucivio dos Santos (SANTOS, F. L.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.)"
4623016052878309,9052024,Outro Tipo de Produção Técnica,,,,,,,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), VASCONCELOS, A. T. C (VASCONCELOS, A. T. C), VIEIRA, A. C. P. (VIEIRA, A. C. P.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), JANSEN, P. C. (JANSEN, P. C.), PIRES, J. R. C. (PIRES, J. R. C.)"
