numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Heloína Alves Arnaldo (Arnaldo, H. A.), Sanches Wendyl Ibiapina Araújo (Araújo, S.W.I.), Vinícius Ponte Machado (Vinícius Ponte Machado)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Vinícius Ponte Machado (Vinícius Ponte Machado)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Vinícius Ponte Machado (Vinícius Ponte Machado), Rodrigo de Melo Sousa Veras (VERAS, R. M. S.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Lúcia Emília S. Silva (SILVA, L. E. S.), Adrião Duarte Dória Neto (DORIA NETO, A. D.), Vinicius Ponte Machado (MACHADO, V. P.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Vinícius Ponte Machado (Vinícius Ponte Machado)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), ROCHA, DIEGO PORTO (ROCHA, DIEGO PORTO)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.), Daniel Barroso de Carvalho Ribeiro (RIBEIRO, D. B. C.), Daisy Damasceno Araújo (ARAUJO, D. D.), André Wallas da Silva Ribeiro (RIBEIRO, A. W. S.), Annaya Assuncao Pereira Ribeiro (RIBEIRO, A. A. P.), Andrea Lima Barros (BARROS, A. L.), Francisco Alan de Oliveira Santos (SANTOS, F. A. O.), Ivalda Vasconcelos de Moraes Negrinho (NEGRINHO, I. V. M.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
6744627108761351,5042024,Outro Tipo de Produção Técnica,,,,,,,,,"Bruno Vicente Alves de Lima (LIMA, B. V. A.)"
