numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ronald Ribeiro Corrêa (CORREA, R. R.), Ronaldo Ribeiro Corrêa (CORREA, R. R.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Walter da Silva Castro (CASTRO, W. S.), Ronaldo Ribeiro Corrêa (CORREA, R. R.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.), Vladimir Fokin (FOKIN, V.), Edgar Dutra Zanotto (ZANOTTO, E. D.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Dalmo Inácio Galdez Costa (COSTA, D. I. G.), Adalto Rodrigues Gomes Santos Filho (SANTOS FILHO, A. R. G.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Dalmo Inácio Galdez Costa (COSTA, D. I. G.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Adalto Rodrigues Gomes Santos Filho (SANTOS FILHO, A. R. G.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"KINDERSLEY MACEDO MASCARENHAS (MASCARENHAS, K. M.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Antonio Ernandes Macedo Paiva (PAIVA, A. E. M.), José Manuel Rivas Mercury (MERCURY, J. M. R.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Mara Cristina Freitas (FREITAS, M. C.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Adalto Rodrigues Gomes Santos Filho (SANTOS FILHO, A. R. G.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Vladimir Fokin (FOKIN, V.), Aluísio Alves Cabral Júnior (CABRAL, A. A.), Raphael M. C. V. Reis (REIS, R. M. C. V.), Márcio Luis Ferreira Nascimento (NASCIMENTO, M. L. F.), Edgar Dutra Zanotto (ZANOTTO, E. D.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.), EDUARDO BELINI FERREIRA (FERREIRA, E.B.), Edgar Dutra Zanotto (ZANOTTO, E. D.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Leidiane Alencar da Silva (SILVA, L. A.), Ana Cândida Martins Rodrigues (RODRIGUES, A. C. M.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Leidiane Alencar da Silva (SILVA, L. A.), José Manuel Rivas Mercury (MERCURY, J. M. R.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Leyliane dos Santos Everton (Everton, L.S.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Leyliane dos Santos Everton (Everton, L.S.), ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"GUACIRA MANAUARA DE SOUZA MELO (MELO, G. M. S.), Marcel Castro Cantanhede Araujo (ARAUJO, M. C. C.), CLAUDIO LUCAS SALGADO FREIRE (FREIRE, C. L. S.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Leyliane dos Santos Everton (Everton, L.S.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Thiago Vannucci Rocha Marques (Marques, T. V. R.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aluísio Alves Cabral Júnior (Cabral, A.A.), José Manuel Rivas Mercury (MERCURY, J. M. R.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALISSON MENDES RODRIGUES (RODRIGUES, A.M.), José Manuel Rivas Mercury (MERCURY, J. M. R.), Valdemar Silva Leal (LEAL, V. S.), Aluísio Alves Cabral Júnior (Cabral, A.A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"Marcel Castro Cantanhede Araujo (ARAUJO, M. C. C.), CARLOS VITAL PINTO COSTA JUNIOR (COSTA JUNIOR, C. V. P.), ALBERTH MATHEWS CARVALHO COSTA (COSTA, A. M. C.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
1770068905157044,30052024,Outro Tipo de Produção Técnica,,,,,,,,,"GUACIRA MANAUARA DE SOUZA MELO (MELO, G. M. S.), Leyliane dos Santos Everton (Everton, L.S.), Aluísio Alves Cabral Júnior (CABRAL, A. A.)"
