numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Tiago Silva Moreira (MOREIRA, T. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"Hudalet da Conceição Oliveira (OLIVEIRA, H. C.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Tiago Silva Moreira (MOREIRA, T. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Outro Tipo de Produção Técnica,,,,,,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
