numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Meirijane Rodrigues Sousa (SOUSA, M.R.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), José Geraldo Donizetti dos Santos (SANTOS, J. G. D.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ariadne Enes Rocha (ROCHA, A. E.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Francisca Helena Muniz (MUNIZ, F. H.), José Malheiros Silva (SILVA, J. M.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Francisca Helena Muniz (MUNIZ, F. H.), José Malheiros Silva (SILVA, J. M.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Christoph Gehring (GEHRING, C.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Christoph Gehring (GEHRING, C.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Francisca Helena Muniz (MUNIZ, F. H.), José Malheiros Silva (SILVA, J. M.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Caroline Kie Ishimoto (Ishimoto, C. K.), Alexandre Hild Aono (Aono, A.H.), James Shiniti Nagai (Nagai, J. S.), Herio Sousa (Sousa, H.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ademir Sergio de Ferreira Araújo (ARAUJO, A. S. F.), Reginaldo Massanobu Kuroshu (Kuroshu, R. M.), Elisa Esposito (Esposito, E.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Vilson de Almeida Sousa (SOUSA, V. de Almeida)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Luiz Antonio Silva Figueiredo Filho (FIGUEIREDO FILHO, L. A. S.)"
3789595345955753,16052024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Anselmo Cardoso de Paiva (PAIVA, A. C.), Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Carlos de Salles Soares Neto (SOARES NETO, Carlos de Salles), Daniel Lima Gomes Júnior (GOMES JR, D. L.), Leandro Sousa Marques (MARQUES, Leandro Sousa)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Cláudio de Souza Baptista (BAPTISTA, C. S.), Anselmo Cardoso de Paiva (PAIVA, A. C.), Fábio Luis Leite Jr (LEITE, F. L.), Ana Gabrielle R. Falcão (FALCÃO, A. G. R.), Rogério Augusto C. Fernandes (FERNANDES, R. A. C.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Rafaela Cristina Neri Magalhães (NERI, R. C. M.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Taynan Vieira Lima (LIMA, T. V.), Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Anselmo Cardoso de Paiva (PAIVA, A. C.), Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (Junior, Daniel Lima Gomes), Alex Martins Santos (SANTOS, A. M.), Omar Andreas Carmona Cortes (CORTES, O. A. C.), Josenildo Costa da Silva (SILVA, J. C.), MAURO LOPES CARVALHO SILVA (SILVA, M. L. C.), JOÃO OTÁVIO BANDEIRA DINIZ (DINIZ, J. O. B.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (Junior, Daniel Lima Gomes), Alex Martins Santos (SANTOS, A. M.), JOÃO OTÁVIO BANDEIRA DINIZ (DINIZ, J. O. B.), Omar Andreas Carmona Cortes (CORTES, O. A. C.), Josenildo Costa da Silva (SILVA, J. C.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (Junior, Daniel Lima Gomes), Alex Martins Santos (SANTOS, A. M.), MAURO LOPES CARVALHO SILVA (SILVA, M. L. C.), Marcelo Portela Sousa (SOUSA, M. P.), Flávio da Silva Carvalho (CARVALHO, F. S.), Filipe Hiluy Lima (LIMA, F. H.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Adilla Danubia Marvao Nascimento Serrao (SERRAO, A. D. M. N.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
4754106250302979,4042024,Outro Tipo de Produção Técnica,,,,,,,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.)"
