numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
124789976698969,21052024,Outro Tipo de Produção Técnica,,,,,,,,,"Adão Marcelo Lima Freire Alves (ALVES, A. M. L. F.)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Pedro Paulo dos Santos (SANTOS, P. P.), Julianna Kelly Paulino Bezerra de Azevedo (AZEVEDO, J. K. P. B.), Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de), Pedro Paulo dos Santos (SANTOS, P. P.)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Pedro Paulo dos Santos (SANTOS, P. P.), Alcione Santos de Sousa (SOUSA, Alcione Santos de), David Durval Jesus Vieira (VIEIRA, D. D. J.), Rafael Pires Pinheiro (PINHEIRO, R. P.), Filipe Batista dos Santos (SANTOS, F. B.)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de), Julianna Kelly Paulino Bezerra de Azevedo (AZEVEDO, J. K. P. B.)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"David Durval Jesus Vieira (VIEIRA, D. D. J.), Pedro Paulo dos Santos (SANTOS, P. P.), Julianna Kelly Paulino Bezerra de Azevedo (AZEVEDO, J. K. P. B.), Débora Aquino Nunes (NUNES, D. A.), Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
6540334430329383,10072023,Outro Tipo de Produção Técnica,,,,,,,,,"Alcione Santos de Sousa (SOUSA, Alcione Santos de)"
2660971989902220,21042024,Outro Tipo de Produção Técnica,,,,,,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Klycia Giselle Farias Vieira (Vieira, K.G.F), Adriana da Silva barros (Barros, A.S), Ana Maria de Araújo Dias (DIAS, A. M. A)"
2660971989902220,21042024,Outro Tipo de Produção Técnica,,,,,,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Edileusa maria pereira da silva (SILVA, E. M. P), Danusa de Araujo Felinto (Felinto, D.A), Francisca Elisangela Lima Texeira (TEXEIRA, F. E. L.), Adriana Gomes Nogueira Ferreira (FERREIRA, A. G. N.), Keila Maria de Azevedo Ponte (Ponte, K.M.A), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Aldiane Carlos Balbino (BALBINO, A.C), maria luciana alves silveira (SILVEIRA, M. L. A.), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S)"
2660971989902220,21042024,Outro Tipo de Produção Técnica,,,,,,,,,"Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), daniela dantas costa (COSTA, D. D), Danusa de Araujo Felinto (Felinto, D.A), Lígia Caline Martins Virginio (VIRGINIO, L. C. M), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Pollyanna Vieira de Sousa (SOUSA, P.V), Edileusa maria pereira da silva (SILVA, E. M. P), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S), Adriana da Silva barros (Barros, A.S), maria luciana alves silveira (SILVEIRA, M. L. A.)"
2660971989902220,21042024,Outro Tipo de Produção Técnica,,,,,,,,,"Edileusa maria pereira da silva (SILVA, E. M. P), Savia Penha (PENHA, S.), maria luciana alves silveira (SILVEIRA, M. L. A.), Danusa de Araujo Felinto (Felinto, D.A), Helinny Rodrigues da Fonseca (FONSECA, H. R), Célia Maria Soares de Oliveira (OLIVEIRA, C. M. S.), Antonio Guanacuy Almeida Moura (MOURA, A. G. A.), Ceanny conceição formiga sinval cavalcante (CAVALCANTE, C. C.  F. S), francisca maria dias castro (CASTRO, M. F), Lindoval cipriano alves (ALVES, L. C)"
