numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Milena Ferreira Alves (M.F.Alves), Ivandilson Pessoa Pinto de Menezes (I.P.P. de Menezez), Paulo Augusto Vieira Barroso (P.A.V.Barroso), Francisco P de Andrade (ANDRADE, F. P.), Lucia Vieira Hoffmann (HOFFMANN, L. V.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ivandilson Pessoa Pinto de Menezes (I.P.P. de Menezez), Milena Ferreira Alves (M.F.Alves), Valeska S. Lucena (V.S.Lucena), Lucia Vieira Hoffmann (HOFFMANN, L. V.), Paulo Augusto Vieira Barroso (P.A.V.Barroso), Ana Carolina de Assis Dantas (DANTAS, A. C. A.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Lucia Vieira Hoffmann (HOFFMANN, L. V.), Ivandilson Pessoa Pinto de Menezes (I.P.P. de Menezez), Milena Ferreira Alves (M.F.Alves), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Paulo Augusto Vieira Barroso (P.A.V.Barroso)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), Paulo Augusto Vieira Barroso (P.A.V.Barroso), SOARES, L.V(LIIV SEVERINO sOARES) (SOARES, L. S.), Osmundo Brilhante (BRILHANTE, O.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), PAULO BAROSSO (BAROSSO, P.), LIV (SEVERINO, L .S.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), iona (ARAÚJO, I. S.), GLAUBER (NUNES, G. H. S.), LEIDIANE (ALBUQUERQUE, L. B.), RUI (JUNIOR, R. S), SAKAMOTO (SAKAMOTO, S. M.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), ROMEU NETO (NETO, R. de C. A.), GLAUBER (NUNES, G. H. S.), ELAÍNE (PEREIRA, E. W. L.), Livia (MAIA, L. K. R.), GABRIEL (COSTA, G. G.), HAMILTON (FILHO, J. H. C), WILLAME (CANDIDO, W. dos S.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), iona (ARAÚJO, I. S.), GLAUBER (NUNES, G. H. S.), LEIDIANE (ALBUQUERQUE, L. B.), EMANUELA (ALVES, E. de O.), RUI (JUNIOR, R. S), SAKAMOTO (SAKAMOTO, S. M.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Tiago José Querino da Costa Borges (BORGES, T. J. Q. C.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Lindomar Maria da Silveira (SILVEIRA, L. M.), Rafaela Priscila Antonio (ANTONIO, R. P.), José Sisenando de Senna e Silva Neto (SILVA NETO, J. S. S. E.), LEIDIANE (ALBUQUERQUE, L. B.)"
1.16E+15,11062024,Outro Tipo de Produção Técnica,,,,,,,,,"Rafaela Priscila Antonio (ANTONIO, R. P.), Lindomar Maria da Silveira (SILVEIRA, L. M.), Giordanio Bruno Silva Oliveira (OLIVEIRA, G. B. S.), GLAUBER (NUNES, G. H. S.), Antonio Jose R. da Silva Filho (SILVA FILHO, A. J. R.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.)"
