Arquivo,Numero_de_Linhas,,
ACAILANDIA,192,,
ALCANTARA,18,,
ARAIOSES,152,,
BACABAL,30,,
BARRA DO CORDA,7,,
BARREIRINHAS,14,,
BURITICUPU,91,,
CAMPUS AVANCADO CAROLINA,70,,
CAXIAS,231,,
CENTRO HISTORICO,133,,
CODO,393,,
COELHO NETO,29,,
ITAPECURU MIRIN,77,,
MARACANA,510,,
MONTE CASTELO,627,,
PEDREIRAS,23,,
PINHEIRO,78,,
PORTO FRANCO,43,,
PRESIDENTE DUTRA,9,,
REITORIA,222,,
ROSAÅRIO,25,,
SANTA INES,79,,
SAO JOAO DOS PATOS,94,,
SAO JOSE RIBAMAR,8,,
SAO RAIMUNDO DAS MANGABEIRAS,220,,
TIMON,83,,
VIANA,20,,
ZE DOCA,50,,
